<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
LPG.US,D,20140508,000000,12.5024,12.6993,11.8177,12.265,5677058.7446146,0
LPG.US,D,20140509,000000,12.265,12.5086,12.1401,12.5024,446354.56525961,0
LPG.US,D,20140512,000000,12.5024,12.6143,12.3378,12.5675,226539.17278291,0
LPG.US,D,20140513,000000,12.5024,12.6863,12.0213,12.5415,151564.45280925,0
LPG.US,D,20140514,000000,12.5805,12.6143,12.5024,12.5415,71841.307792137,0
LPG.US,D,20140515,000000,12.5216,12.5284,11.8115,12.206,560549.16103883,0
LPG.US,D,20140516,000000,12.206,12.5675,12.206,12.5024,102473.02304346,0
LPG.US,D,20140519,000000,12.5024,12.5675,12.5024,12.5476,72841.38851341,0
LPG.US,D,20140520,000000,12.5024,12.6264,12.4495,12.5943,66954.490377351,0
LPG.US,D,20140521,000000,12.6264,12.8302,12.4557,12.5553,72417.072280494,0
LPG.US,D,20140522,000000,12.5147,13.0286,12.5147,12.9688,79828.897678232,0
LPG.US,D,20140523,000000,12.903,12.9627,12.8378,12.9298,77954.072722948,0
LPG.US,D,20140527,000000,13.0616,13.1267,12.8302,12.9298,71546.244811709,0
LPG.US,D,20140528,000000,12.857,12.9888,12.8302,12.9627,85406.371361364,0
LPG.US,D,20140529,000000,13.1925,13.4169,13.0807,13.1534,466238.67672828,0
LPG.US,D,20140530,000000,13.1267,13.5218,13.1267,13.3642,741375.76685838,0
LPG.US,D,20140602,000000,13.3642,13.6207,13.3442,13.4101,465557.15957879,0
LPG.US,D,20140603,000000,13.5877,13.5877,13.3503,13.5809,439135.96694641,0
LPG.US,D,20140604,000000,13.489,13.5541,13.3503,13.5088,399308.9925307,0
LPG.US,D,20140605,000000,13.6866,13.9033,13.5027,13.5418,213270.47778252,0
LPG.US,D,20140606,000000,13.6207,14.3973,13.5088,14.166,299629.92868244,0
LPG.US,D,20140609,000000,14.2127,14.4762,13.6537,13.7064,302673.25526375,0
LPG.US,D,20140610,000000,13.9302,14.3246,13.7915,14.2656,340426.95528602,0
LPG.US,D,20140611,000000,14.3706,14.4762,13.9952,14.3445,488300.5096631,0
LPG.US,D,20140612,000000,14.3383,14.4035,14.166,14.3116,199738.05392352,0
LPG.US,D,20140613,000000,14.3116,14.3116,13.9822,14.2327,164310.91244604,0
LPG.US,D,20140616,000000,14.4563,14.4563,13.2853,13.6407,590847.95124586,0
LPG.US,D,20140617,000000,14.1407,14.3116,13.7984,13.9163,533627.92804581,0
LPG.US,D,20140618,000000,14.081,15.213,14.081,14.5291,760535.27676005,0
LPG.US,D,20140619,000000,14.8048,15.1013,14.4892,14.706,620196.27309116,0
LPG.US,D,20140620,000000,14.6332,15.0416,14.3506,14.9366,447871.65899084,0
LPG.US,D,20140623,000000,14.9695,15.2261,14.7857,15.0813,460141.57885837,0
LPG.US,D,20140624,000000,15.1073,15.6144,15.0614,15.351,688261.81920455,0
LPG.US,D,20140625,000000,15.331,15.3571,14.8048,14.8378,302384.72022537,0
LPG.US,D,20140626,000000,15.292,15.6405,15.1334,15.4367,353623.84292391,0
LPG.US,D,20140627,000000,15.5547,15.6275,15.1931,15.1931,1579046.512409,0
LPG.US,D,20140630,000000,15.1334,16.4041,15.0285,15.1273,675363.91131231,0
LPG.US,D,20140701,000000,15.4689,15.9238,15.1472,15.259,582707.60751592,0
LPG.US,D,20140702,000000,15.3051,15.3249,14.6861,14.9895,374165.97095069,0
LPG.US,D,20140703,000000,14.9895,15.4766,14.9626,15.4429,142078.04742965,0
LPG.US,D,20140707,000000,15.4497,15.4497,14.5153,14.713,686358.27130427,0
LPG.US,D,20140708,000000,14.8308,15.292,14.8117,14.9236,254823.4400749,0
LPG.US,D,20140709,000000,14.9236,15.2001,14.713,14.8905,202518.95723462,0
LPG.US,D,20140710,000000,14.7589,15.1073,14.5291,15.0354,389756.00214223,0
LPG.US,D,20140711,000000,15.0354,15.1801,14.8048,14.9297,192806.68506029,0
LPG.US,D,20140714,000000,15.0545,15.1143,14.9035,14.9236,278612.5664748,0
LPG.US,D,20140715,000000,14.8976,14.9895,14.6141,14.7918,167997.89411299,0
LPG.US,D,20140716,000000,14.7458,14.9097,14.6141,14.6471,307417.76354197,0
LPG.US,D,20140717,000000,14.5941,14.627,14.3445,14.4035,283167.7644337,0
LPG.US,D,20140718,000000,14.3644,14.5681,14.2855,14.4892,188839.00188543,0
LPG.US,D,20140721,000000,14.4563,14.5022,14.1209,14.2059,84750.96598006,0
LPG.US,D,20140722,000000,14.2189,14.5291,14.2189,14.3836,67740.454599553,0
LPG.US,D,20140723,000000,14.3644,14.5881,14.3644,14.5421,172960.43565549,0
LPG.US,D,20140724,000000,14.4824,14.6409,14.4762,14.6072,183578.78618566,0
LPG.US,D,20140725,000000,14.5421,14.627,14.3904,14.5681,316002.00733096,0
LPG.US,D,20140728,000000,14.5291,14.5291,14.068,14.186,225693.1514939,0
LPG.US,D,20140729,000000,14.2127,14.3246,14.1209,14.2526,170742.24094864,0
LPG.US,D,20140730,000000,14.3246,14.3307,13.6866,13.7455,203575.17825749,0
LPG.US,D,20140731,000000,13.7716,13.7716,13.1534,13.2063,398935.59424573,0
LPG.US,D,20140801,000000,13.1596,13.5541,13.1596,13.5088,439837.06792203,0
LPG.US,D,20140804,000000,13.5287,13.5479,13.0677,13.5218,245660.82062073,0
LPG.US,D,20140805,000000,13.4951,13.5679,13.1664,13.3044,270785.56396301,0
LPG.US,D,20140806,000000,13.1795,13.8574,12.8969,13.0026,703013.66263754,0
LPG.US,D,20140807,000000,12.9949,13.0026,12.7651,12.8509,334277.63387976,0
LPG.US,D,20140808,000000,12.844,12.9497,12.7062,12.9167,244411.37251334,0
LPG.US,D,20140811,000000,13.0026,13.1067,12.8378,12.9167,336613.3315434,0
LPG.US,D,20140812,000000,13.0286,13.0286,12.4227,12.6334,496786.83432141,0
LPG.US,D,20140813,000000,12.6264,13.0286,12.5744,12.8908,354293.60977771,0
LPG.US,D,20140814,000000,12.9627,12.9949,12.8509,12.9428,113116.1797534,0
LPG.US,D,20140815,000000,13.1143,13.3242,12.9949,13.0217,200786.44141592,0
LPG.US,D,20140818,000000,13.0876,13.1067,12.9298,13.0416,142383.55511735,0
LPG.US,D,20140819,000000,13.0477,13.1067,12.9949,13.0148,140551.81457956,0
LPG.US,D,20140820,000000,12.9428,13.0026,12.8639,12.9428,71676.803652606,0
LPG.US,D,20140821,000000,13.0416,13.0616,12.903,12.9888,78745.259298785,0
LPG.US,D,20140822,000000,12.9949,13.0087,12.857,12.9688,122217.43655235,0
LPG.US,D,20140825,000000,12.9827,13.0477,12.6671,12.7712,177511.71684917,0
LPG.US,D,20140826,000000,12.8378,12.9428,12.7123,12.857,169396.179299,0
LPG.US,D,20140827,000000,12.8302,12.9428,12.7789,12.8509,129896.90757392,0
LPG.US,D,20140828,000000,12.8378,12.9167,12.7912,12.8708,135247.20887389,0
LPG.US,D,20140829,000000,12.8969,12.9949,12.8302,12.9167,197641.27893872,0
LPG.US,D,20140902,000000,12.8969,13.0876,12.5147,12.8049,791309.30114796,0
LPG.US,D,20140903,000000,12.8969,13.3381,12.6402,12.7261,645635.66323999,0
LPG.US,D,20140904,000000,12.7712,12.9298,12.4028,12.5147,794932.30898286,0
LPG.US,D,20140905,000000,12.4495,12.5744,12.3706,12.4886,272950.22954509,0
LPG.US,D,20140908,000000,12.4688,12.5216,12.3438,12.4358,437411.28465815,0
LPG.US,D,20140909,000000,12.4626,12.5147,12.2711,12.4427,129263.69719558,0
LPG.US,D,20140910,000000,12.5147,12.6671,12.4495,12.6402,411405.26913983,0
LPG.US,D,20140911,000000,12.6264,13.1267,12.5353,12.9428,134959.97942394,0
LPG.US,D,20140912,000000,12.9558,12.9949,12.7184,12.9627,300456.36614531,0
LPG.US,D,20140915,000000,12.9167,12.9497,12.7712,12.8302,174550.64233762,0
LPG.US,D,20140916,000000,12.8769,13.3181,12.6264,12.6923,144933.36928007,0
LPG.US,D,20140917,000000,12.6993,12.9888,12.6863,12.8378,652833.37213867,0
LPG.US,D,20140918,000000,12.8509,13.0217,12.7184,12.8111,254622.37945993,0
LPG.US,D,20140919,000000,12.818,12.9298,12.6594,12.7062,73474.598891762,0
LPG.US,D,20140922,000000,12.6923,12.6923,12.4688,12.4688,100801.86987997,0
LPG.US,D,20140923,000000,12.4688,12.6004,12.3178,12.3378,1172426.224788,0
LPG.US,D,20140924,000000,12.4297,12.4297,12.2519,12.3706,169268.23163491,0
LPG.US,D,20140925,000000,12.4098,12.4297,11.6668,11.9295,257493.36837124,0
LPG.US,D,20140926,000000,11.9953,12.1073,11.7648,12.0153,217866.14898211,0
LPG.US,D,20140929,000000,11.8438,12.1401,11.8438,12.0413,176315.79786656,0
LPG.US,D,20140930,000000,12.0673,12.0673,11.679,11.7258,230053.81677987,0
LPG.US,D,20141001,000000,11.7519,11.8046,11.5213,11.5803,467087.30919411,0
LPG.US,D,20141002,000000,11.7318,11.8376,11.1995,11.4822,496987.8949364,0
LPG.US,D,20141003,000000,11.535,11.7448,11.4883,11.6269,214342.36586629,0
LPG.US,D,20141006,000000,11.7318,11.9433,11.5151,11.7119,200731.60670275,0
LPG.US,D,20141007,000000,11.679,11.7119,11.2914,11.3044,169413.15194831,0
LPG.US,D,20141008,000000,11.2715,11.3635,10.7446,11.1927,427725.12425198,0
LPG.US,D,20141009,000000,11.1927,11.1995,10.8833,10.9093,172887.32270459,0
LPG.US,D,20141010,000000,10.8112,10.8901,9.83695,10.1525,493904.09511441,0
LPG.US,D,20141013,000000,10.1326,10.3762,9.9227,10.0147,279061.68888748,0
LPG.US,D,20141014,000000,10.0545,10.3501,9.93579,10.2191,532511.64995615,0
LPG.US,D,20141015,000000,10.1326,10.4091,9.9227,10.0016,584023.64063216,0
LPG.US,D,20141016,000000,9.75804,10.5807,9.75804,10.3172,644796.16989303,0
LPG.US,D,20141017,000000,10.4091,10.6664,10.2582,10.4229,161831.6000574,0
LPG.US,D,20141020,000000,10.5998,10.7446,10.2582,10.2973,109297.33365716,0
LPG.US,D,20141021,000000,10.2383,10.6925,10.2383,10.5209,153618.14337656,0
LPG.US,D,20141022,000000,10.5148,10.5209,10.0545,10.1402,182846.35108824,0
LPG.US,D,20141023,000000,10.1992,10.2582,9.97563,10.0736,464175.8470421,0
LPG.US,D,20141024,000000,10.0804,10.0804,9.93579,10.0016,84107.310894436,0
LPG.US,D,20141027,000000,9.89671,9.9817,9.56046,9.69297,174694.25706259,0
LPG.US,D,20141028,000000,9.79711,9.91654,9.69297,9.84378,279060.38329907,0
LPG.US,D,20141029,000000,9.89671,10.0284,9.26477,9.51445,306562.60313408,0
LPG.US,D,20141030,000000,9.47538,9.50838,9.19887,9.3567,585036.77723753,0
LPG.US,D,20141031,000000,9.44863,9.48837,9.33682,9.42867,129385.11691762,0
LPG.US,D,20141103,000000,9.44249,9.48154,9.15296,9.34983,390018.42541245,0
LPG.US,D,20141104,000000,9.34369,9.34369,9.12005,9.23187,544925.18454865,0
LPG.US,D,20141105,000000,9.3567,9.40263,9.06718,9.3567,377209.297532,0
LPG.US,D,20141106,000000,9.3567,10.0345,9.23187,9.91654,668125.72917297,0
LPG.US,D,20141107,000000,9.96178,10.0475,9.72512,10.0284,397944.65264331,0
LPG.US,D,20141110,000000,10.0545,10.2253,9.92887,10.1924,190200.73059597,0
LPG.US,D,20141111,000000,10.1326,10.2321,9.61329,9.99469,809141.0276377,0
LPG.US,D,20141112,000000,10.0016,10.1854,9.74419,10.0674,242772.85906008,0
LPG.US,D,20141113,000000,10.1005,10.1992,9.83695,9.94262,384134.1384532,0
LPG.US,D,20141114,000000,9.90895,10.2582,9.88979,10.2054,544141.83150328,0
LPG.US,D,20141117,000000,10.1402,10.4229,10.1402,10.3371,793146.26403938,0
LPG.US,D,20141118,000000,10.37,10.5998,10.2644,10.3439,1006286.182981,0
LPG.US,D,20141119,000000,10.3042,10.3831,10.1005,10.1854,342564.20351152,0
LPG.US,D,20141120,000000,10.1264,10.2644,10.0284,10.1402,174809.1488426,0
LPG.US,D,20141121,000000,10.2842,10.2973,9.90288,10.0016,188045.20413276,0
LPG.US,D,20141124,000000,10.0935,10.2054,9.95561,9.97563,131316.08217448,0
LPG.US,D,20141125,000000,9.96861,10.0606,9.89671,9.95561,176425.46729291,0
LPG.US,D,20141126,000000,9.9227,10.0016,9.75187,9.77795,127843.21700661,0
LPG.US,D,20141128,000000,9.71896,9.71896,8.86344,8.94234,443162.40159969,0
