<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FPAS.US,D,20241104,000000,25.005,25.021,25.005,25.021,4140,0
FPAS.US,D,20241105,000000,25.01,25.01,24.975,24.9962,2200,0
FPAS.US,D,20241106,000000,24.89,24.89,24.88,24.8853,500,0
FPAS.US,D,20241107,000000,25,25.0035,24.99,25.0035,1800,0
FPAS.US,D,20241111,000000,25,25,24.98,24.98,500,0
FPAS.US,D,20241112,000000,24.88,24.88,24.8494,24.8634,7485,0
FPAS.US,D,20241114,000000,24.815,24.83,24.7693,24.7693,2380,0
FPAS.US,D,20241202,000000,25.04,25.0792,25.0396,25.0792,2200,0
FPAS.US,D,20241203,000000,25.1,25.1,25.066,25.066,3900,0
FPAS.US,D,20241210,000000,25.0731,25.0811,25.0731,25.0811,800,0
FPAS.US,D,20241216,000000,24.87,24.87,24.8537,24.8537,1425,0
FPAS.US,D,20241217,000000,24.8569,24.8569,24.8494,24.8494,2000,0
FPAS.US,D,20241218,000000,24.79,24.79,24.7097,24.7097,342,0
FPAS.US,D,20241219,000000,24.7,24.7,24.6896,24.6896,160,0
FPAS.US,D,20241224,000000,24.65,24.6884,24.65,24.6884,101,0
FPAS.US,D,20241227,000000,24.72,24.72,24.6869,24.6869,2422,0
FPAS.US,D,20241231,000000,24.81,24.81,24.7748,24.7748,300,0
FPAS.US,D,20250102,000000,24.7999,24.8,24.7814,24.7814,683,0
FPAS.US,D,20250103,000000,24.8,24.8,24.7507,24.7507,2359,0
FPAS.US,D,20250107,000000,24.72,24.72,24.6957,24.6957,608,0
FPAS.US,D,20250108,000000,24.73,24.73,24.7296,24.7296,251,0
FPAS.US,D,20250110,000000,24.65,24.65,24.5811,24.5811,3106,0
FPAS.US,D,20250113,000000,24.51,24.51,24.4942,24.4942,604,0
FPAS.US,D,20250114,000000,24.52,24.52,24.4984,24.4984,864,0
FPAS.US,D,20250116,000000,24.73,24.73,24.7084,24.7084,1203,0
FPAS.US,D,20250121,000000,24.74,24.74,24.7398,24.7398,559,0
FPAS.US,D,20250128,000000,24.79,24.8178,24.79,24.8178,500,0
FPAS.US,D,20250129,000000,24.81,24.81,24.7958,24.7958,506,0
FPAS.US,D,20250203,000000,24.82,24.82,24.7956,24.7956,834,0
FPAS.US,D,20250204,000000,24.86,24.87,24.8497,24.8497,327,0
FPAS.US,D,20250205,000000,24.94,24.94,24.9148,24.9148,143,0
FPAS.US,D,20250206,000000,24.92,24.92,24.9038,24.9038,270,0
FPAS.US,D,20250213,000000,24.75,24.75,24.7112,24.7112,715,0
FPAS.US,D,20250214,000000,24.81,24.81,24.79,24.79,148,0
FPAS.US,D,20250218,000000,24.76,24.76,24.7218,24.7218,954,0
FPAS.US,D,20250219,000000,24.77,24.77,24.7666,24.7666,306,0
FPAS.US,D,20250228,000000,25.11,25.195,25.11,25.195,2558,0
FPAS.US,D,20250303,000000,25.16,25.192,25.16,25.192,1816,0
FPAS.US,D,20250304,000000,25.28,25.28,25.1895,25.1895,199,0
FPAS.US,D,20250305,000000,25.16,25.16,25.099,25.099,140,0
FPAS.US,D,20250310,000000,25.18,25.21,25.18,25.2077,2119,0
FPAS.US,D,20250311,000000,25.21,25.24,25.1576,25.1576,2100,0
FPAS.US,D,20250312,000000,25.14,25.14,25.1107,25.1107,224,0
FPAS.US,D,20250313,000000,25.1,25.1059,25.1,25.1059,328,0
FPAS.US,D,20250314,000000,25.1,25.1,25.055,25.055,646,0
FPAS.US,D,20250317,000000,25.06,25.06,25.055,25.055,1282,0
FPAS.US,D,20250318,000000,25.04,25.48,25.04,25.48,1541,0
FPAS.US,D,20250319,000000,25.01,25.11,25.01,25.1003,3184,0
FPAS.US,D,20250320,000000,25.14,25.15,25.1243,25.1243,4756,0
FPAS.US,D,20250321,000000,25.16,25.16,25.1275,25.1275,815,0
FPAS.US,D,20250325,000000,25.08,25.1,25.08,25.1,3901,0
FPAS.US,D,20250326,000000,25.0799,25.1,25.0766,25.0959,8275,0
FPAS.US,D,20250327,000000,25.0633,25.21,25.0633,25.09,3470,0
FPAS.US,D,20250331,000000,25.25,25.49,25.21,25.375,3257,0
FPAS.US,D,20250401,000000,25.3,25.321,25.3,25.321,2632,0
FPAS.US,D,20250402,000000,25.26,25.26,25.243,25.243,116,0
FPAS.US,D,20250404,000000,25.66,25.71,25.56,25.57,3873,0
