<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FLCE.US,D,20241226,000000,25.68,25.7,25.68,25.6973,9406,0
FLCE.US,D,20241227,000000,25.53,25.53,25.39,25.4265,51464,0
FLCE.US,D,20241230,000000,25.26,25.26,25.1949,25.1949,14804,0
FLCE.US,D,20241231,000000,25.0935,25.0935,25.0708,25.0708,847,0
FLCE.US,D,20250102,000000,24.96,25.0424,24.935,25.0424,9356,0
FLCE.US,D,20250103,000000,25.1704,25.312,25.1704,25.3017,8399,0
FLCE.US,D,20250106,000000,25.56,25.585,25.39,25.4,3064,0
FLCE.US,D,20250107,000000,25.35,25.35,25.15,25.1984,15709,0
FLCE.US,D,20250108,000000,25.15,25.28,25.15,25.2693,3022,0
FLCE.US,D,20250110,000000,24.88,24.96,24.87,24.8973,6503,0
FLCE.US,D,20250113,000000,24.7898,24.9679,24.7898,24.9679,17812,0
FLCE.US,D,20250114,000000,24.915,24.9899,24.915,24.9899,1978,0
FLCE.US,D,20250115,000000,25.355,25.45,25.355,25.4056,22244,0
FLCE.US,D,20250116,000000,25.39,25.43,25.39,25.4099,35938,0
FLCE.US,D,20250117,000000,25.62,25.64,25.5976,25.5976,13496,0
FLCE.US,D,20250121,000000,25.7482,25.86,25.7482,25.86,1763,0
FLCE.US,D,20250122,000000,26.01,26.01,26.01,26.01,426,0
FLCE.US,D,20250123,000000,26.05,26.1187,26.05,26.1187,507,0
FLCE.US,D,20250124,000000,26.13,26.13,26.03,26.0697,7284,0
FLCE.US,D,20250127,000000,25.725,25.7775,25.6899,25.7775,5639,0
FLCE.US,D,20250128,000000,25.8536,25.9601,25.8536,25.9508,4244,0
FLCE.US,D,20250129,000000,25.87,25.93,25.849,25.8547,7332,0
FLCE.US,D,20250130,000000,25.974,26.09,25.974,26.0509,26315,0
FLCE.US,D,20250131,000000,26.06,26.06,25.9095,25.9095,2592,0
FLCE.US,D,20250203,000000,25.6609,25.85,25.6609,25.7646,5260,0
FLCE.US,D,20250204,000000,25.88,25.8818,25.84,25.8818,14101,0
FLCE.US,D,20250205,000000,25.965,25.9973,25.84,25.9973,670,0
FLCE.US,D,20250206,000000,26.04,26.0499,25.97,26.0456,4573,0
FLCE.US,D,20250207,000000,25.884,25.884,25.82,25.8233,4650,0
FLCE.US,D,20250210,000000,25.906,26.0099,25.906,25.96,763,0
FLCE.US,D,20250211,000000,25.92,26.03,25.92,25.9875,1756,0
FLCE.US,D,20250212,000000,25.9092,25.9092,25.8906,25.8906,734,0
FLCE.US,D,20250213,000000,26.1318,26.15,26.1273,26.1273,3738,0
FLCE.US,D,20250214,000000,26.106,26.1207,26.106,26.1082,2072,0
FLCE.US,D,20250218,000000,26.0909,26.1324,26.084,26.1324,902,0
FLCE.US,D,20250219,000000,26.1,26.2252,26.1,26.2252,2978,0
FLCE.US,D,20250220,000000,26.0744,26.1229,26.0744,26.1229,8496,0
FLCE.US,D,20250221,000000,25.7695,25.7695,25.6793,25.6873,601,0
FLCE.US,D,20250224,000000,25.62,25.7167,25.6,25.6,1735,0
FLCE.US,D,20250225,000000,25.56,25.57,25.5218,25.5218,7393,0
FLCE.US,D,20250226,000000,25.68,25.68,25.47,25.518,876,0
FLCE.US,D,20250227,000000,25.57,25.58,25.1909,25.1909,3813,0
FLCE.US,D,20250228,000000,25.33,25.5387,25.28,25.5387,5726,0
FLCE.US,D,20250303,000000,25.5241,25.54,25.1519,25.1519,3238,0
FLCE.US,D,20250304,000000,24.9,24.99,24.8505,24.8505,6671,0
FLCE.US,D,20250305,000000,24.8592,25.12,24.8592,25.1046,6633,0
FLCE.US,D,20250306,000000,24.91,24.91,24.71,24.7162,909,0
FLCE.US,D,20250307,000000,24.74,24.82,24.72,24.8,11321,0
FLCE.US,D,20250310,000000,24.4072,24.4072,24.08,24.2311,5256,0
FLCE.US,D,20250311,000000,24,24.23,23.87,24.01,6054,0
FLCE.US,D,20250312,000000,24.11,24.2,24.07,24.07,7283,0
FLCE.US,D,20250313,000000,23.7465,23.8842,23.74,23.7401,1189,0
FLCE.US,D,20250314,000000,24.14,24.2475,24.14,24.2475,5014,0
FLCE.US,D,20250317,000000,24.3001,24.51,24.3001,24.4523,1180,0
FLCE.US,D,20250318,000000,24.24,24.25,24.18,24.2155,2470,0
FLCE.US,D,20250319,000000,24.37,24.5312,24.37,24.4582,999,0
FLCE.US,D,20250320,000000,24.374,24.4075,24.37,24.4075,965,0
FLCE.US,D,20250321,000000,24.31,24.3734,24.27,24.3734,30575,0
FLCE.US,D,20250324,000000,24.71,24.7844,24.71,24.7844,1880,0
FLCE.US,D,20250325,000000,24.73,24.81,24.73,24.7829,14847,0
FLCE.US,D,20250326,000000,24.774,24.774,24.53,24.5757,5439,0
FLCE.US,D,20250327,000000,24.5643,24.5859,24.5,24.5226,598,0
FLCE.US,D,20250328,000000,24.1843,24.1843,24.0495,24.0495,1789,0
FLCE.US,D,20250331,000000,23.88,24.2028,23.88,24.2028,11551,0
FLCE.US,D,20250401,000000,24.2,24.2316,24.12,24.2316,2951,0
FLCE.US,D,20250402,000000,24.2983,24.46,24.1,24.4151,6726,0
FLCE.US,D,20250403,000000,23.53,23.53,23.351,23.351,4015,0
FLCE.US,D,20250404,000000,22.57,22.57,22.0192,22.0192,4076,0
