date,strategy,benchmark,invested,turnover,transaction_cost,holdings,stop_exits,portfolio_value,cash,qqq
2026-01-02,-0.0029910269192422456,-0.00027364266140728066,0.9999999999999992,0.997008973080757,0.002991026919242271,5,0,0.9970089730807578,7.515689459669517e-16,-0.0019371327180087716
2026-01-05,-0.000958758666095294,0.006894153504768186,0.9999999999999992,0.0,0.0,5,0,0.9960530820876418,7.515689459669517e-16,0.007942980167014335
2026-01-06,0.047302081767179205,0.006469104310086182,0.9999999999999993,0.0,0.0,5,0,1.0431684664210024,7.515689459669517e-16,0.008786549944173716
2026-01-07,-0.005700139920380876,0.0015755608848113667,0.9999999999999993,0.0,0.0,5,0,1.0372222602018735,7.515689459669517e-16,0.0009624330307016482
2026-01-08,-0.04061778616758838,-0.004420319136441364,0.9999999999999992,0.0,0.0,5,0,0.995092588228731,7.515689459669517e-16,-0.005688920226915695
2026-01-09,0.021373754005167278,0.008148630197078122,0.9999999999999993,0.0,0.0,5,0,1.0163614524218971,7.515689459669517e-16,0.009960191467758284
2026-01-12,-0.0018833365506767397,0.0026424348421194566,0.9999999999999993,0.0,0.0,5,0,1.014447301749852,7.515689459669517e-16,0.0008298093034391218
2026-01-13,0.005669269160245349,-0.001012475825717729,0.9999999999999993,0.0,0.0,5,0,1.0201984765523566,7.515689459669517e-16,-0.0014828515394549324
2026-01-14,-0.021363536825048213,-0.010043074888221648,0.9999999999999992,0.0,0.0,5,0,0.9984034288296723,7.515689459669517e-16,-0.010682805314256583
2026-01-15,0.012080343679584882,0.0024825588207100235,0.9999999999999993,0.0,0.0,5,0,1.0104644853808107,7.515689459669517e-16,0.003599386651601977
2026-01-16,0.0033323409417760352,-0.0006217589275318014,0.9999999999999993,0.0,0.0,5,0,1.0138316975556558,7.515689459669517e-16,-0.0008363086622277249
2026-01-20,0.004337535481542476,-0.02385969358790141,0.9999999999999993,0.0,0.0,5,0,1.0182292285161159,7.515689459669517e-16,-0.021247142903132454
2026-01-21,0.031823559923468636,0.011784274158415542,0.9999999999999993,0.0,0.0,5,0,1.0506329073856258,7.515689459669517e-16,0.01351840278919858
2026-01-22,-0.004051460269522078,0.009093719563811442,0.9999999999999993,0.0,0.0,5,0,1.0463763099035004,7.515689459669517e-16,0.007269422989550245
2026-01-23,-0.009102076311294893,0.0027828957305890967,0.9999999999999993,0.0,0.0,5,0,1.0368521128804276,7.515689459669517e-16,0.003157419936851591
2026-01-26,-0.010950193552274667,0.004260200738343878,0.9999999999999993,0.0,0.0,5,0,1.025498381559302,7.515689459669517e-16,0.004400051387461579
2026-01-27,0.025044590187890847,0.009140998654314725,0.9999999999999993,0.0,0.0,5,0,1.0511815682638,7.515689459669517e-16,0.009065327918651889
2026-01-28,0.030704002813251474,0.0016941609179959016,0.9999999999999993,0.0,0.0,5,0,1.0834570500930099,7.515689459669517e-16,0.0033115206058973445
2026-01-29,-0.0017876224110191519,-0.007223320178812109,0.9999999999999993,0.0,0.0,5,0,1.0815202379888869,7.515689459669517e-16,-0.005985281576703305
