<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FOXX.US,D,20240930,000000,9.7,12.8,8.45,11.35,220025,0
FOXX.US,D,20241001,000000,10.1,11.9,10.04,11.12,15762,0
FOXX.US,D,20241002,000000,10.75,11.04,8.7,9.52,44994,0
FOXX.US,D,20241003,000000,9.54,12.22,9.43,10.31,123786,0
FOXX.US,D,20241004,000000,9.61,10.04,9.512,9.512,9621,0
FOXX.US,D,20241007,000000,9.69,10.67,9,10,53552,0
FOXX.US,D,20241008,000000,9.85,10.89,8.8,9.78,58105,0
FOXX.US,D,20241009,000000,9.4,11.24,9.13,9.99,62455,0
FOXX.US,D,20241010,000000,10.19,10.35,9.26,9.34,20169,0
FOXX.US,D,20241011,000000,9.3,10.2,9.21,9.27,16317,0
FOXX.US,D,20241014,000000,9.23,10,8.89,8.9501,82555,0
FOXX.US,D,20241015,000000,9.2,9.33,9.1,9.1,6066,0
FOXX.US,D,20241016,000000,8.6375,9.24,8.6375,8.95,30288,0
FOXX.US,D,20241017,000000,8.85,10.58,8.3,9.21,84101,0
FOXX.US,D,20241018,000000,9.2,10.29,8.61,9.58,71157,0
FOXX.US,D,20241021,000000,9.23,9.85,8.702,9.09,29218,0
FOXX.US,D,20241022,000000,9.11,9.11,8.9,9,22250,0
FOXX.US,D,20241023,000000,8.81,9.4,8.5,8.6,49933,0
FOXX.US,D,20241024,000000,8.4,9.74,8.4,8.75,37288,0
FOXX.US,D,20241025,000000,8.6,9.09,8.3,8.33,44628,0
FOXX.US,D,20241028,000000,8.3,8.34,8.28,8.28,10447,0
FOXX.US,D,20241029,000000,8,8,7.47,7.47,11687,0
FOXX.US,D,20241030,000000,7.26,9.2,7.21,7.7,44093,0
FOXX.US,D,20241031,000000,8.68,9.8,7.85,8.1,66687,0
FOXX.US,D,20241101,000000,8.25,8.25,7.72,7.72,30566,0
FOXX.US,D,20241104,000000,7.76,9.04,7.31,7.31,22227,0
FOXX.US,D,20241105,000000,7.475,7.7,7.3,7.3,16294,0
FOXX.US,D,20241106,000000,7.45,7.8,7.35,7.7,96103,0
FOXX.US,D,20241107,000000,7.9,8.25,7.51,7.82,25695,0
FOXX.US,D,20241108,000000,7.73,7.73,7.29,7.29,5904,0
FOXX.US,D,20241111,000000,7.41,7.48,7.26,7.26,10068,0
FOXX.US,D,20241112,000000,7.43,7.43,7,7,5848,0
FOXX.US,D,20241113,000000,7,7.5,6.59,6.85,16860,0
FOXX.US,D,20241114,000000,6.88,7.1,6.86,6.86,1970,0
FOXX.US,D,20241115,000000,6.98,7.37,6.6,7.1,6858,0
FOXX.US,D,20241118,000000,7.3,8.45,7.2,7.21,14855,0
FOXX.US,D,20241119,000000,7.7,7.7,6.33,6.72,23965,0
FOXX.US,D,20241120,000000,7.61,7.61,6.65,6.7,27179,0
FOXX.US,D,20241121,000000,6.31,6.55,5.63,5.63,21031,0
FOXX.US,D,20241122,000000,5.81,5.94,4.8,5.12,23447,0
FOXX.US,D,20241125,000000,5.1225,7.57,4.96,6.25,60047,0
FOXX.US,D,20241126,000000,6.68,7.8,5.9,5.9,35259,0
FOXX.US,D,20241127,000000,5.75,6.2,3.83,4.63,33917,0
FOXX.US,D,20241129,000000,4.74,4.9,4.45,4.74,6583,0
FOXX.US,D,20241202,000000,4.55,4.63,3.1301,3.33,43599,0
FOXX.US,D,20241203,000000,3.48,3.48,2.9658,3.37,24482,0
FOXX.US,D,20241204,000000,3.24,3.25,2.8901,3.2,49128,0
FOXX.US,D,20241205,000000,5.41,7.05,4.2,4.95,4703469,0
FOXX.US,D,20241206,000000,4.62,6,4.3831,6,338825,0
FOXX.US,D,20241209,000000,5.37,5.64,5.02,5.12,156178,0
FOXX.US,D,20241210,000000,5.05,5.8,5,5.49,70290,0
FOXX.US,D,20241211,000000,5.45,6.02,5.45,5.81,43600,0
FOXX.US,D,20241212,000000,5.68,6.45,5.5686,6.28,47213,0
FOXX.US,D,20241213,000000,6.325,6.99,6.2,6.37,31137,0
FOXX.US,D,20241216,000000,6.31,7.01,6.0075,7,30748,0
FOXX.US,D,20241217,000000,7.2,7.2,6.11,6.36,38751,0
FOXX.US,D,20241218,000000,6.84,6.85,5.9,6,16200,0
FOXX.US,D,20241219,000000,6.17,6.71,5.93,6.27,19434,0
FOXX.US,D,20241220,000000,6,6.26,5.44,5.82,38135,0
FOXX.US,D,20241223,000000,5.609,5.609,4.8,5.07,22975,0
FOXX.US,D,20241224,000000,4.85,6.32,4.85,5.82,31764,0
FOXX.US,D,20241226,000000,5.86,6.04,5.1,5.11,23426,0
FOXX.US,D,20241227,000000,5.12,6.1,5.12,5.68,25754,0
FOXX.US,D,20241230,000000,5.12,6.16,5.12,5.55,174146,0
FOXX.US,D,20241231,000000,5.1,5.71,5.03,5.71,99279,0
FOXX.US,D,20250102,000000,5.29,6,5.29,5.35,64392,0
FOXX.US,D,20250103,000000,5.8,6.97,5.265,6.63,60338,0
FOXX.US,D,20250106,000000,7.64,7.64,5.04,6.2,75725,0
FOXX.US,D,20250107,000000,6.01,6.6,5.27,5.57,34876,0
FOXX.US,D,20250108,000000,5.49,5.91,4.96,5.03,31771,0
FOXX.US,D,20250110,000000,5.15,5.15,4.6318,4.98,18425,0
FOXX.US,D,20250113,000000,4.87,4.96,4.62,4.89,12883,0
FOXX.US,D,20250114,000000,4.74,4.81,4.37,4.53,34447,0
FOXX.US,D,20250115,000000,4.7,4.72,4.13,4.14,48192,0
FOXX.US,D,20250116,000000,4.27,4.6,4,4.16,30094,0
FOXX.US,D,20250117,000000,4.25,4.4,3.8,3.9,33197,0
FOXX.US,D,20250121,000000,3.9,4.06,3.64,3.69,16537,0
FOXX.US,D,20250122,000000,3.8,4,3.65,3.97,20176,0
FOXX.US,D,20250123,000000,3.85,3.91,3.6,3.6,12410,0
FOXX.US,D,20250124,000000,3.59,3.6299,3.3,3.31,37165,0
FOXX.US,D,20250127,000000,3.32,3.82,3.08,3.3,69037,0
FOXX.US,D,20250128,000000,3.18,3.235,2.82,2.82,11911,0
FOXX.US,D,20250129,000000,3.13,3.36,2.445,2.89,28044,0
FOXX.US,D,20250130,000000,2.92,11,2.85,6.39,33524144,0
