<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
DMN.US,D,20241118,000000,4,4.95,2.15,2.41,1040300,0
DMN.US,D,20241119,000000,2.42,2.45,1.53,1.82,992354,0
DMN.US,D,20241120,000000,1.75,1.75,1.45,1.49,675025,0
DMN.US,D,20241121,000000,1.44,1.46,1.23,1.31,439416,0
DMN.US,D,20241122,000000,1.29,1.443,1.28,1.3197,355088,0
DMN.US,D,20241125,000000,1.43,1.4791,1.1,1.26,919412,0
DMN.US,D,20241126,000000,1.2,1.45,0.9,0.9299,2951693,0
DMN.US,D,20241127,000000,0.89,0.9,0.78,0.8147,633272,0
DMN.US,D,20241129,000000,0.83,0.9788,0.8,0.816,579892,0
DMN.US,D,20241202,000000,0.88,0.9568,0.7632,0.928,1340953,0
DMN.US,D,20241203,000000,0.95,0.9544,0.815,0.9544,964730,0
DMN.US,D,20241204,000000,0.9317,1.0877,0.9201,1.03,903827,0
DMN.US,D,20241205,000000,1.02,1.05,0.88,0.913,579666,0
DMN.US,D,20241206,000000,0.9186,0.9539,0.8505,0.88,316914,0
DMN.US,D,20241209,000000,0.8815,0.9499,0.88,0.9111,416998,0
DMN.US,D,20241210,000000,0.9331,1.03,0.9235,0.9699,441776,0
DMN.US,D,20241211,000000,0.9496,0.9734,0.88,0.9031,387450,0
DMN.US,D,20241212,000000,0.91,0.929899,0.8642,0.8767,360493,0
DMN.US,D,20241213,000000,0.866,0.902,0.833,0.86,242656,0
DMN.US,D,20241216,000000,0.869,0.869,0.7513,0.7688,444686,0
DMN.US,D,20241217,000000,0.768,0.827899,0.76,0.7801,299914,0
DMN.US,D,20241218,000000,0.7852,0.8295,0.6321,0.6322,697921,0
DMN.US,D,20241219,000000,0.657,0.71,0.581,0.583,511696,0
DMN.US,D,20241220,000000,0.607,0.6499,0.512,0.55,329840,0
DMN.US,D,20241223,000000,0.57,0.668,0.56,0.6303,468084,0
DMN.US,D,20241224,000000,0.622,0.7291,0.622,0.727,179645,0
DMN.US,D,20241226,000000,0.71,0.83,0.676,0.785,474966,0
DMN.US,D,20241227,000000,0.799,0.84,0.7658,0.8073,324664,0
DMN.US,D,20241230,000000,0.799,0.8799,0.76,0.8615,324639,0
DMN.US,D,20241231,000000,0.88,0.888,0.8151,0.85,222995,0
DMN.US,D,20250102,000000,0.84,0.93,0.8202,0.9259,518852,0
DMN.US,D,20250103,000000,0.93,0.93,0.82,0.88,396342,0
DMN.US,D,20250106,000000,0.93,0.93,0.8666,0.888,330644,0
DMN.US,D,20250107,000000,0.91,1.08,0.8588,0.92,553321,0
DMN.US,D,20250108,000000,0.92,0.9499,0.8076,0.83,268699,0
DMN.US,D,20250110,000000,0.8151,0.83,0.7507,0.766,195624,0
DMN.US,D,20250113,000000,0.743,0.756,0.6859,0.6859,210646,0
DMN.US,D,20250114,000000,0.63,0.7285,0.61,0.6855,1421507,0
DMN.US,D,20250115,000000,0.675,0.72,0.660001,0.7174,215652,0
DMN.US,D,20250116,000000,0.727,0.7615,0.71,0.7592,105885,0
DMN.US,D,20250117,000000,0.745,0.7592,0.68,0.7289,1090711,0
DMN.US,D,20250121,000000,0.6763,0.6899,0.601,0.6421,271056,0
DMN.US,D,20250122,000000,0.646,0.6749,0.6122,0.6365,144444,0
DMN.US,D,20250123,000000,0.63,0.7288,0.63,0.6926,552906,0
DMN.US,D,20250124,000000,0.691,0.7127,0.6001,0.6133,347338,0
DMN.US,D,20250127,000000,0.6301,0.642,0.56,0.5717,145163,0
DMN.US,D,20250128,000000,0.5846,0.6,0.55,0.5721,102384,0
DMN.US,D,20250129,000000,0.58,0.5966,0.5615,0.58,109399,0
DMN.US,D,20250130,000000,0.58,0.63,0.58,0.6103,207563,0
DMN.US,D,20250131,000000,0.61,0.61,0.5303,0.55,1773852,0
DMN.US,D,20250203,000000,0.5303,0.552199,0.484,0.529,365688,0
DMN.US,D,20250204,000000,0.5131,0.528899,0.492,0.514,235554,0
DMN.US,D,20250205,000000,0.4986,0.52,0.47,0.492,169152,0
DMN.US,D,20250206,000000,0.508,0.5482,0.495,0.5482,163558,0
DMN.US,D,20250207,000000,0.55,0.55,0.5047,0.5179,126924,0
DMN.US,D,20250210,000000,0.509,0.538599,0.5,0.5385,57164,0
DMN.US,D,20250211,000000,0.516,0.516,0.456,0.4958,791171,0
DMN.US,D,20250212,000000,0.49,0.49,0.4501,0.4728,309906,0
DMN.US,D,20250213,000000,0.4639,0.478,0.45,0.478,190669,0
DMN.US,D,20250214,000000,0.48,0.51,0.4639,0.5033,303176,0
DMN.US,D,20250218,000000,0.5,0.51,0.452,0.49,211513,0
DMN.US,D,20250219,000000,0.46,0.519,0.441,0.450483,836922,0
DMN.US,D,20250220,000000,0.4507,0.46,0.366,0.387,589576,0
DMN.US,D,20250221,000000,0.3716,0.388,0.33,0.36,778406,0
DMN.US,D,20250224,000000,0.37,0.37,0.28,0.3068,944105,0
DMN.US,D,20250225,000000,0.3611,0.4199,0.2404,0.242,70655968,0
DMN.US,D,20250226,000000,0.2075,0.24,0.1923,0.218,4337363,0
DMN.US,D,20250227,000000,0.224,0.285,0.1832,0.185,10327730,0
DMN.US,D,20250228,000000,0.185,0.195,0.1563,0.169,3850929,0
DMN.US,D,20250303,000000,0.1679,0.195,0.1579,0.1698,3588742,0
DMN.US,D,20250304,000000,0.1636,0.1689,0.1494,0.1689,1087476,0
DMN.US,D,20250305,000000,0.1568,0.1899,0.1549,0.187,2193713,0
DMN.US,D,20250306,000000,0.18,0.1845,0.17,0.183,1551182,0
DMN.US,D,20250307,000000,0.173,0.202,0.1706,0.1888,1964003,0
DMN.US,D,20250310,000000,0.1831,0.1831,0.1691,0.176,1132355,0
DMN.US,D,20250311,000000,0.173,0.1801,0.1551,0.1754,1684477,0
DMN.US,D,20250312,000000,0.173,0.1791,0.1668,0.1787,12869319,0
DMN.US,D,20250313,000000,0.2181,0.2276,0.161,0.161,108521325,0
DMN.US,D,20250314,000000,0.15,0.178,0.1462,0.162,5833595,0
DMN.US,D,20250317,000000,0.15,0.1561,0.1437,0.1499,3295935,0
DMN.US,D,20250318,000000,0.1194,0.1271,0.105,0.1258,7093453,0
DMN.US,D,20250319,000000,0.1176,0.135,0.1167,0.1345,1574051,0
DMN.US,D,20250320,000000,0.1268,0.1303,0.12,0.1244,2113175,0
DMN.US,D,20250321,000000,0.0433,0.045,0.0351,0.0373,304101047,0
DMN.US,D,20250324,000000,0.0459,0.048,0.0376,0.04,227139278,0
DMN.US,D,20250325,000000,0.037,0.037,0.032,0.0322,104285474,0
DMN.US,D,20250326,000000,0.0344,0.0409,0.0336,0.0389,210750470,0
DMN.US,D,20250327,000000,0.0484,0.0551,0.0431,0.0446,432532280,0
DMN.US,D,20250328,000000,0.0382,0.0389,0.033,0.0343,314349694,0
DMN.US,D,20250331,000000,0.0175,0.0178,0.01,0.0138,590862012,0
DMN.US,D,20250401,000000,0.0135,0.0135,0.0112,0.012,399031152,0
DMN.US,D,20250402,000000,0.0145,0.0164,0.013,0.0138,831017393,0
DMN.US,D,20250403,000000,0.018,0.0189,0.0142,0.0151,776312724,0
DMN.US,D,20250404,000000,0.0146,0.0158,0.013,0.0139,293028918,0
DMN.US,D,20250407,000000,0.0153,0.0175,0.0137,0.0145,442909240,0
DMN.US,D,20250408,000000,0.0135,0.0137,0.0122,0.0124,258751343,0
DMN.US,D,20250409,000000,0.0115,0.0128,0.0089,0.0121,760700332,0
DMN.US,D,20250410,000000,0.0069,0.0069,0.0041,0.0042,314584307,0
DMN.US,D,20250411,000000,0.0039,0.0042,0.0029,0.0031,10064614,0
