<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
GPATW.US,D,20240702,000000,0.1501,0.16,0.15,0.15,344604,0
GPATW.US,D,20240703,000000,0.155381,0.17,0.13,0.155,173084,0
GPATW.US,D,20240705,000000,0.17,0.17,0.14,0.145,318361,0
GPATW.US,D,20240708,000000,0.18,0.18,0.15,0.15,36766,0
GPATW.US,D,20240709,000000,0.1796,0.1796,0.15,0.15,53696,0
GPATW.US,D,20240711,000000,0.12,0.1786,0.12,0.15,11739,0
GPATW.US,D,20240712,000000,0.1786,0.1786,0.1501,0.1501,2977,0
GPATW.US,D,20240715,000000,0.1114,0.1114,0.1114,0.1114,275,0
GPATW.US,D,20240716,000000,0.124955,0.13,0.1249,0.13,103535,0
GPATW.US,D,20240717,000000,0.13,0.13,0.13,0.13,750,0
GPATW.US,D,20240718,000000,0.1224,0.1224,0.1224,0.1224,574,0
GPATW.US,D,20240722,000000,0.1224,0.1224,0.1224,0.1224,2680,0
GPATW.US,D,20240723,000000,0.11,0.1212,0.1,0.1212,57860,0
GPATW.US,D,20240725,000000,0.13,0.13,0.13,0.13,1521,0
GPATW.US,D,20240726,000000,0.104,0.14,0.1001,0.125,9438,0
GPATW.US,D,20240729,000000,0.13,0.16,0.128901,0.1599,10660,0
GPATW.US,D,20240730,000000,0.1555,0.1555,0.1555,0.1555,260,0
GPATW.US,D,20240801,000000,0.16,0.16,0.16,0.16,833,0
GPATW.US,D,20240802,000000,0.125,0.136,0.125,0.1355,35012,0
GPATW.US,D,20240806,000000,0.172,0.1721,0.172,0.1721,250,0
GPATW.US,D,20240808,000000,0.16,0.16,0.16,0.16,1241,0
GPATW.US,D,20240809,000000,0.12,0.12,0.12,0.12,15632,0
GPATW.US,D,20240812,000000,0.15,0.15,0.15,0.15,300,0
GPATW.US,D,20240813,000000,0.14,0.14,0.14,0.14,194,0
GPATW.US,D,20240814,000000,0.13,0.13,0.12,0.12,247049,0
GPATW.US,D,20240815,000000,0.122,0.13,0.12,0.1201,49472,0
GPATW.US,D,20240816,000000,0.122,0.122,0.12,0.12,3702,0
GPATW.US,D,20240823,000000,0.1135,0.1298,0.1135,0.1298,250800,0
GPATW.US,D,20240827,000000,0.1145,0.12,0.1,0.12,337420,0
GPATW.US,D,20240828,000000,0.1051,0.1051,0.1,0.1,32069,0
GPATW.US,D,20240903,000000,0.1001,0.102,0.0802,0.09,17254,0
GPATW.US,D,20240904,000000,0.092,0.092,0.09,0.09,29000,0
GPATW.US,D,20240905,000000,0.0802,0.1,0.0802,0.095,41500,0
GPATW.US,D,20240906,000000,0.1,0.1047,0.1,0.1,12420,0
GPATW.US,D,20240909,000000,0.085101,0.102,0.085101,0.1,1402,0
