<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ESMV.US,D,20211105,000000,24.7904,24.7904,24.7508,24.7657,549.8042665411,0
ESMV.US,D,20211108,000000,24.7804,24.7874,24.7804,24.7874,4298.1935754456,0
ESMV.US,D,20211110,000000,24.7804,24.7804,24.7804,24.7804,624.73155148408,0
ESMV.US,D,20211111,000000,24.6916,24.7064,24.6916,24.7064,114.4159891697,0
ESMV.US,D,20211112,000000,24.9078,24.9138,24.9078,24.9138,164.03000217248,0
ESMV.US,D,20211115,000000,24.9374,24.9474,24.9078,24.9187,4305.2812915889,0
ESMV.US,D,20211117,000000,24.9277,24.9277,24.9277,24.9277,104.29068039361,0
ESMV.US,D,20211123,000000,24.6916,24.6916,24.6916,24.6916,208.58136078723,0
ESMV.US,D,20211124,000000,24.7607,24.8022,24.7409,24.8022,202.50617552158,0
ESMV.US,D,20211129,000000,24.6521,24.7667,24.6521,24.7667,262.24549730045,0
ESMV.US,D,20211130,000000,24.3667,24.3667,24.2117,24.2117,297.68407801672,0
ESMV.US,D,20211201,000000,24.179,24.179,24.0171,24.0171,274.39586783175,0
ESMV.US,D,20211203,000000,24.1987,24.3519,24.1987,24.3519,217.6941386857,0
ESMV.US,D,20211208,000000,24.8585,24.9039,24.8555,24.9039,1672.7010098083,0
ESMV.US,D,20211210,000000,24.975,25.0304,24.975,25.0304,183.26808884704,0
ESMV.US,D,20211215,000000,24.9177,24.9277,24.9177,24.9277,206.55629903201,0
ESMV.US,D,20211216,000000,25.2041,25.2614,25.1943,25.2614,303.75926328238,0
ESMV.US,D,20211220,000000,24.774,24.8281,24.774,24.8281,303.75926328238,0
ESMV.US,D,20211221,000000,24.9277,25.0222,24.9277,25.0222,101.25308776079,0
ESMV.US,D,20211222,000000,25.135,25.219,25.135,25.219,1974.4352113354,0
ESMV.US,D,20211223,000000,25.3424,25.3424,25.3424,25.3424,103.27814951601,0
ESMV.US,D,20211227,000000,25.5795,25.6141,25.5795,25.6141,102.2656186384,0
ESMV.US,D,20211228,000000,25.688,25.688,25.6567,25.6567,220.73173131853,0
ESMV.US,D,20220103,000000,25.4808,25.5134,25.4808,25.5134,33868.145325108,0
ESMV.US,D,20220104,000000,25.5004,25.5004,25.4339,25.4339,436.40080824901,0
