<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
HOOX.US,D,20250319,000000,21.1,23.68,20.6639,22.6679,21293,0
HOOX.US,D,20250320,000000,22.09,24.1,22.09,23.5993,18832,0
HOOX.US,D,20250321,000000,22.24,24.37,22.24,24.3149,10269,0
HOOX.US,D,20250324,000000,26.6044,29.32,26.595,28.6263,163643,0
HOOX.US,D,20250325,000000,29.47,30.16,27.34,28.4288,38461,0
HOOX.US,D,20250326,000000,28.29,28.29,23.39,24.431,38563,0
HOOX.US,D,20250327,000000,23.76,25.309,23.1378,23.553,28278,0
HOOX.US,D,20250328,000000,22.11,22.1747,19.92,21.2633,31714,0
HOOX.US,D,20250331,000000,19.02,21.17,18.65,21.0215,31962,0
HOOX.US,D,20250401,000000,21.095,22.73,21.095,21.4667,9919,0
HOOX.US,D,20250402,000000,19.79,22.5825,19.79,21.94,17379,0
HOOX.US,D,20250403,000000,17.07,18.77,16.85,17.864,23025,0
HOOX.US,D,20250404,000000,14.99,14.99,12,13.9278,78365,0
HOOX.US,D,20250407,000000,10.22,16.1185,10.22,14.6782,75934,0
HOOX.US,D,20250408,000000,16.26,16.74,12.8301,13.72,163180,0
HOOX.US,D,20250409,000000,13.42,20.32,13.42,20.17,71449,0
HOOX.US,D,20250410,000000,18.04,19.8,16,18.4838,51736,0
HOOX.US,D,20250411,000000,18.4407,21.43,18.28,21.43,41229,0
