<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BBBI.US,D,20240126,000000,50.13,50.13,50.11,50.1108,904,0
BBBI.US,D,20240129,000000,50.29,50.29,50.2841,50.2841,160,0
BBBI.US,D,20240130,000000,50.23,50.3406,50.23,50.3406,935,0
BBBI.US,D,20240131,000000,50.57,50.6,50.5095,50.5095,200,0
BBBI.US,D,20240201,000000,50.79,50.84,50.79,50.805,292,0
BBBI.US,D,20240202,000000,50.4,50.4348,50.4,50.4348,101,0
BBBI.US,D,20240205,000000,50.14,50.14,50.03,50.05,3322,0
BBBI.US,D,20240206,000000,50.1896,50.3377,50.1896,50.2944,310,0
BBBI.US,D,20240207,000000,50.24,50.255,50.24,50.255,203,0
BBBI.US,D,20240208,000000,50.15,50.15,50.0663,50.0663,645,0
BBBI.US,D,20240209,000000,50.02,50.02,50.0007,50.0007,287,0
BBBI.US,D,20240212,000000,50.03,50.0665,50.03,50.0665,151,0
BBBI.US,D,20240213,000000,49.74,49.7401,49.658,49.658,505,0
BBBI.US,D,20240214,000000,49.8228,49.8228,49.8228,49.8228,2,0
BBBI.US,D,20240215,000000,49.99,49.99,49.9864,49.9864,231,0
BBBI.US,D,20240216,000000,49.8,49.8,49.8,49.8,40,0
BBBI.US,D,20240220,000000,49.96,49.9699,49.9458,49.9458,2751,0
BBBI.US,D,20240221,000000,49.9,49.9,49.8703,49.8703,1500,0
BBBI.US,D,20240222,000000,49.8845,49.8845,49.8845,49.8845,1,0
BBBI.US,D,20240223,000000,49.965,49.965,49.965,49.965,7,0
BBBI.US,D,20240226,000000,49.8211,49.8211,49.8211,49.8211,10,0
BBBI.US,D,20240227,000000,49.8074,49.8074,49.8074,49.8074,7,0
BBBI.US,D,20240228,000000,49.8035,49.8035,49.8035,49.8035,7,0
BBBI.US,D,20240229,000000,49.8705,49.8705,49.8705,49.8705,2,0
BBBI.US,D,20240301,000000,49.8,49.8835,49.8,49.8835,100,0
BBBI.US,D,20240304,000000,49.7888,49.7888,49.7888,49.7888,7,0
BBBI.US,D,20240305,000000,49.99,49.99,49.96,49.9837,402,0
BBBI.US,D,20240306,000000,50.11,50.11,50.0542,50.0542,8002,0
BBBI.US,D,20240307,000000,50.2094,50.2094,50.2094,50.2094,42,0
BBBI.US,D,20240308,000000,50.2833,50.2833,50.2833,50.2833,2,0
BBBI.US,D,20240311,000000,50.2512,50.2512,50.2512,50.2512,7,0
BBBI.US,D,20240312,000000,50.1301,50.1301,50.1301,50.1301,6,0
BBBI.US,D,20240313,000000,50.119,50.119,50.119,50.119,4,0
BBBI.US,D,20240314,000000,49.8805,49.8805,49.8124,49.8124,311,0
BBBI.US,D,20240315,000000,49.85,49.85,49.8149,49.8149,481,0
BBBI.US,D,20240318,000000,49.6,49.755,49.51,49.755,6211,0
BBBI.US,D,20240319,000000,49.9054,49.9054,49.9054,49.9054,1,0
BBBI.US,D,20240320,000000,50.02,50.02,50.0159,50.0159,160,0
BBBI.US,D,20240321,000000,50.0759,50.0759,50.0759,50.0759,2,0
BBBI.US,D,20240322,000000,50.2196,50.2196,50.2196,50.2196,2,0
BBBI.US,D,20240325,000000,50.0957,50.0957,50.0957,50.0957,2,0
BBBI.US,D,20240326,000000,50.08,50.08,50.0631,50.0631,200,0
BBBI.US,D,20240327,000000,50.2,50.31,50.2,50.31,2100,0
BBBI.US,D,20240328,000000,50.2968,50.2968,50.2968,50.2968,1,0
BBBI.US,D,20240401,000000,49.77,49.77,49.7507,49.7507,642,0
BBBI.US,D,20240402,000000,49.595,49.6966,49.595,49.6966,153,0
BBBI.US,D,20240403,000000,49.7541,49.7541,49.7541,49.7541,66,0
BBBI.US,D,20240404,000000,49.74,49.8168,49.74,49.8168,231,0
BBBI.US,D,20240405,000000,49.66,49.69,49.66,49.66,754,0
BBBI.US,D,20240408,000000,49.6058,49.6058,49.6058,49.6058,1,0
BBBI.US,D,20240409,000000,49.7706,49.7706,49.7706,49.7706,21,0
BBBI.US,D,20240410,000000,49.1861,49.1861,49.1861,49.1861,122,0
BBBI.US,D,20240411,000000,49.14,49.1519,49.12,49.1519,1000,0
BBBI.US,D,20240412,000000,49.27,49.28,49.2,49.2,6800,0
BBBI.US,D,20240415,000000,48.99,48.99,48.8,48.8,3815,0
BBBI.US,D,20240416,000000,48.6778,48.6778,48.6778,48.6778,15,0
BBBI.US,D,20240417,000000,48.84,48.9154,48.84,48.9154,412,0
BBBI.US,D,20240418,000000,48.85,48.85,48.79,48.79,1200,0
BBBI.US,D,20240419,000000,48.88,48.88,48.83,48.83,900,0
BBBI.US,D,20240422,000000,48.82,48.94,48.82,48.93,1201,0
BBBI.US,D,20240423,000000,49.03,49.06,49.03,49.06,400,0
BBBI.US,D,20240424,000000,48.87,48.92,48.87,48.92,1800,0
BBBI.US,D,20240425,000000,48.63,48.8,48.63,48.8,546,0
BBBI.US,D,20240426,000000,48.98,49.01,48.95,48.96,4611,0
BBBI.US,D,20240429,000000,49.09,49.13,49.05,49.09,1800,0
BBBI.US,D,20240430,000000,48.97,48.98,48.9,48.9,1501,0
BBBI.US,D,20240501,000000,48.84,48.89,48.75,48.87,7117,0
BBBI.US,D,20240502,000000,49.15,49.16,49.15,49.16,900,0
BBBI.US,D,20240503,000000,49.46,49.48,49.44,49.45,3001,0
BBBI.US,D,20240506,000000,49.49,49.52,49.48,49.52,2921,0
BBBI.US,D,20240507,000000,49.67,49.67,49.53,49.5594,1678,0
BBBI.US,D,20240508,000000,49.42,49.4583,49.42,49.4583,109,0
BBBI.US,D,20240509,000000,49.5081,49.5081,49.5081,49.5081,7,0
BBBI.US,D,20240510,000000,49.35,49.35,49.35,49.35,306,0
BBBI.US,D,20240513,000000,49.5,49.5,49.37,49.37,705,0
BBBI.US,D,20240514,000000,49.51,49.51,49.5,49.5,208,0
BBBI.US,D,20240515,000000,49.8595,49.8595,49.8595,49.8595,4,0
BBBI.US,D,20240516,000000,49.81,49.81,49.8,49.8,1226,0
BBBI.US,D,20240517,000000,49.8,49.8,49.7465,49.7465,402,0
BBBI.US,D,20240520,000000,49.71,49.74,49.7,49.7,1585,0
BBBI.US,D,20240521,000000,49.7901,49.7901,49.7896,49.7896,205,0
BBBI.US,D,20240522,000000,49.729,49.7299,49.7072,49.7072,502,0
BBBI.US,D,20240523,000000,49.72,49.72,49.5349,49.5349,480,0
BBBI.US,D,20240524,000000,49.6196,49.6196,49.6196,49.6196,1,0
BBBI.US,D,20240528,000000,49.64,49.64,49.39,49.39,1094,0
BBBI.US,D,20240529,000000,49.29,49.29,49.2607,49.2607,1900,0
BBBI.US,D,20240530,000000,49.4776,49.4776,49.4776,49.4776,2,0
BBBI.US,D,20240531,000000,49.65,49.73,49.65,49.7,2018,0
BBBI.US,D,20240603,000000,49.53,49.74,49.53,49.71,16957,0
BBBI.US,D,20240604,000000,49.87,49.87,49.85,49.85,913,0
BBBI.US,D,20240605,000000,49.97,49.9999,49.8699,49.9999,7431,0
BBBI.US,D,20240606,000000,50.005,50.005,49.9888,49.9888,215,0
BBBI.US,D,20240607,000000,49.68,49.68,49.62,49.62,362,0
BBBI.US,D,20240610,000000,49.574,49.574,49.574,49.574,1,0
BBBI.US,D,20240611,000000,49.725,49.725,49.725,49.725,1,0
BBBI.US,D,20240612,000000,50.16,50.17,49.9694,49.9694,800,0
BBBI.US,D,20240613,000000,50.14,50.22,50.139,50.1843,702,0
BBBI.US,D,20240614,000000,50.1653,50.1653,50.1653,50.1653,1,0
BBBI.US,D,20240617,000000,50,50.0083,50,50.0083,630,0
BBBI.US,D,20240618,000000,50.1766,50.22,50.1766,50.182,598,0
BBBI.US,D,20240620,000000,50.06,50.0747,50.06,50.0747,502,0
BBBI.US,D,20240621,000000,50.1,50.1,50.1,50.1,2,0
BBBI.US,D,20240624,000000,50.1215,50.1215,50.1215,50.1215,1,0
BBBI.US,D,20240625,000000,50.1205,50.1205,50.1205,50.1205,1,0
BBBI.US,D,20240626,000000,49.89,49.9009,49.89,49.9009,113,0
BBBI.US,D,20240627,000000,50.03,50.0301,50.0175,50.0175,641,0
BBBI.US,D,20240628,000000,49.8614,49.8614,49.8614,49.8614,5,0
BBBI.US,D,20240701,000000,49.77,49.77,49.4301,49.4301,1403,0
BBBI.US,D,20240702,000000,49.6405,49.6405,49.6405,49.6405,2,0
BBBI.US,D,20240703,000000,49.9492,49.9492,49.9492,49.9492,4,0
BBBI.US,D,20240705,000000,50.1999,50.1999,50.1863,50.1863,115,0
BBBI.US,D,20240708,000000,50.2019,50.2019,50.2019,50.2019,4,0
BBBI.US,D,20240709,000000,50.1104,50.1104,50.1104,50.1104,101,0
BBBI.US,D,20240710,000000,50.1894,50.1894,50.1894,50.1894,57,0
BBBI.US,D,20240711,000000,50.47,50.47,50.4446,50.4446,280,0
BBBI.US,D,20240712,000000,50.5939,50.5939,50.5939,50.5939,1,0
BBBI.US,D,20240715,000000,50.5,50.5,50.4472,50.4472,1446,0
BBBI.US,D,20240716,000000,50.62,50.66,50.62,50.62,7501,0
BBBI.US,D,20240717,000000,50.6202,50.6202,50.6202,50.6202,2,0
BBBI.US,D,20240718,000000,50.48,50.48,50.48,50.48,10,0
BBBI.US,D,20240719,000000,50.3469,50.3469,50.3469,50.3469,1,0
BBBI.US,D,20240722,000000,50.3686,50.3686,50.3686,50.3686,10,0
