<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PSH.US,D,20231220,000000,50.34,50.41,50.25,50.25,800,0
PSH.US,D,20231221,000000,50.44,50.44,50.3,50.415,1511,0
PSH.US,D,20231222,000000,50.41,50.41,50.31,50.31,704,0
PSH.US,D,20231226,000000,50.375,50.435,50.375,50.415,868,0
PSH.US,D,20231227,000000,50.45,50.61,50.44,50.5941,3125,0
PSH.US,D,20231228,000000,50.44,50.4656,50.3701,50.425,1881,0
PSH.US,D,20231229,000000,50.5,50.5,50.455,50.455,575,0
PSH.US,D,20240102,000000,50.23,50.24,50.19,50.2,1605,0
PSH.US,D,20240103,000000,50.17,50.22,50.1592,50.1592,2105,0
PSH.US,D,20240104,000000,50.08,50.08,50.0281,50.0281,526,0
PSH.US,D,20240105,000000,50.22,50.26,50.08,50.105,1800,0
PSH.US,D,20240108,000000,50.23,50.31,50.23,50.31,4125,0
PSH.US,D,20240109,000000,50.31,50.35,50.31,50.3493,4386,0
PSH.US,D,20240110,000000,50.45,50.47,50.3975,50.3975,4378,0
PSH.US,D,20240111,000000,50.46,50.5,50.33,50.5,6455,0
PSH.US,D,20240112,000000,50.58,50.62,50.5166,50.5166,4006,0
PSH.US,D,20240116,000000,50.45,50.45,50.3057,50.32,4270,0
PSH.US,D,20240117,000000,50.23,50.2814,50.23,50.2814,3776,0
PSH.US,D,20240118,000000,50.36,50.36,50.343,50.343,190,0
PSH.US,D,20240119,000000,50.35,50.43,50.27,50.43,1966,0
PSH.US,D,20240122,000000,50.45,50.53,50.41,50.445,11197,0
PSH.US,D,20240123,000000,50.36,50.4152,50.36,50.4152,906,0
PSH.US,D,20240124,000000,50.53,50.53,50.41,50.43,1808,0
PSH.US,D,20240125,000000,50.54,50.65,50.54,50.65,4700,0
PSH.US,D,20240126,000000,50.63,50.64,50.6121,50.6121,4562,0
PSH.US,D,20240129,000000,50.65,50.7,50.62,50.6934,2803,0
PSH.US,D,20240130,000000,50.66,50.69,50.62,50.6424,2601,0
PSH.US,D,20240131,000000,50.74,50.75,50.53,50.53,8751,0
PSH.US,D,20240201,000000,50.33,50.44,50.25,50.39,9503,0
PSH.US,D,20240202,000000,50.23,50.29,50.23,50.2673,2002,0
PSH.US,D,20240205,000000,50.22,50.25,50.12,50.24,5202,0
PSH.US,D,20240206,000000,50.32,50.41,50.32,50.37,2300,0
PSH.US,D,20240207,000000,50.41,50.44,50.3857,50.3936,4589,0
PSH.US,D,20240208,000000,50.405,50.405,50.405,50.405,73,0
PSH.US,D,20240209,000000,50.48,50.52,50.48,50.4852,790,0
PSH.US,D,20240212,000000,50.53,50.54,50.43,50.44,5343,0
PSH.US,D,20240213,000000,50.14,50.35,50.08,50.23,44272,0
PSH.US,D,20240214,000000,50.35,50.39,50.35,50.37,986,0
PSH.US,D,20240215,000000,50.46,50.47,50.42,50.445,3310,0
PSH.US,D,20240216,000000,50.37,50.37,50.32,50.34,6506,0
PSH.US,D,20240220,000000,50.36,50.43,50.36,50.385,8894,0
PSH.US,D,20240221,000000,50.4,50.4,50.31,50.34,2122,0
PSH.US,D,20240222,000000,50.46,50.467,50.44,50.467,3201,0
PSH.US,D,20240223,000000,50.54,50.55,50.51,50.51,4733,0
PSH.US,D,20240226,000000,50.52,50.52,50.4098,50.4098,477,0
PSH.US,D,20240227,000000,50.48,50.48,50.4689,50.4689,143,0
PSH.US,D,20240228,000000,50.51,50.51,50.465,50.465,1502,0
PSH.US,D,20240229,000000,50.53,50.61,50.5,50.507,3321,0
PSH.US,D,20240301,000000,50.25,50.33,50.25,50.3,3048,0
PSH.US,D,20240304,000000,50.3,50.35,50.28,50.3,3464,0
PSH.US,D,20240305,000000,50.31,50.39,50.25,50.26,9647,0
PSH.US,D,20240306,000000,50.39,50.39,50.3449,50.3449,2510,0
PSH.US,D,20240307,000000,50.4,50.4,50.365,50.3701,7439,0
PSH.US,D,20240308,000000,50.425,50.51,50.36,50.38,6040,0
PSH.US,D,20240311,000000,50.38,50.4,50.36,50.3976,1465,0
PSH.US,D,20240312,000000,50.42,50.47,50.37,50.4404,1905,0
PSH.US,D,20240313,000000,50.4303,50.49,50.43,50.47,490,0
PSH.US,D,20240314,000000,50.45,50.45,50.36,50.39,3777,0
PSH.US,D,20240315,000000,50.34,50.43,50.34,50.3966,1720,0
PSH.US,D,20240318,000000,50.445,50.445,50.445,50.445,1,0
PSH.US,D,20240319,000000,50.52,50.61,50.52,50.565,8633,0
PSH.US,D,20240320,000000,50.69,50.75,50.6858,50.6858,5552,0
PSH.US,D,20240321,000000,50.6901,50.6901,50.6743,50.6743,2350,0
PSH.US,D,20240322,000000,50.72,50.72,50.6468,50.6468,715,0
PSH.US,D,20240325,000000,50.58,50.6,50.57,50.5819,1003,0
PSH.US,D,20240326,000000,50.615,50.615,50.55,50.56,1654,0
PSH.US,D,20240327,000000,50.75,50.75,50.75,50.75,101,0
PSH.US,D,20240328,000000,50.68,50.8,50.68,50.6997,3779,0
PSH.US,D,20240401,000000,50.27,50.27,50.21,50.2379,3626,0
PSH.US,D,20240402,000000,50.14,50.2297,50.14,50.2297,3100,0
PSH.US,D,20240403,000000,50.28,50.28,50.26,50.2637,947,0
PSH.US,D,20240404,000000,50.23,50.23,50.16,50.1987,2040,0
PSH.US,D,20240405,000000,50.22,50.25,50.19,50.21,9015,0
PSH.US,D,20240408,000000,50.285,50.285,50.285,50.285,30,0
PSH.US,D,20240409,000000,50.34,50.39,50.34,50.3552,1829,0
PSH.US,D,20240410,000000,50.19,50.2,50.06,50.1398,8836,0
PSH.US,D,20240411,000000,50.18,50.2043,50.08,50.2043,3971,0
PSH.US,D,20240412,000000,50.12,50.1652,50.12,50.1652,2052,0
PSH.US,D,20240415,000000,50.13,50.13,49.98,50,9122,0
PSH.US,D,20240416,000000,50.05,50.05,49.93,49.97,4374,0
PSH.US,D,20240417,000000,50.01,50.01,49.9999,49.9999,190,0
PSH.US,D,20240418,000000,50,50.0383,49.92,50.0383,1900,0
PSH.US,D,20240419,000000,50.13,50.13,50.13,50.13,478,0
PSH.US,D,20240422,000000,50.1877,50.29,50.1877,50.25,3266,0
PSH.US,D,20240423,000000,50.33,50.39,50.33,50.3589,5978,0
PSH.US,D,20240424,000000,50.25,50.3143,50.23,50.3143,400,0
PSH.US,D,20240425,000000,50.12,50.3,50.12,50.3,5039,0
PSH.US,D,20240426,000000,50.37,50.37,50.3376,50.3376,405,0
PSH.US,D,20240429,000000,50.417,50.417,50.417,50.417,73,0
PSH.US,D,20240430,000000,50.27,50.27,50.22,50.22,1406,0
PSH.US,D,20240501,000000,50.03,50.15,49.9705,49.9705,7321,0
PSH.US,D,20240502,000000,50.14,50.15,50.13,50.14,825,0
PSH.US,D,20240503,000000,50.29,50.29,50.235,50.235,5542,0
PSH.US,D,20240506,000000,50.28,50.2896,50.28,50.2896,271,0
PSH.US,D,20240507,000000,50.292,50.292,50.292,50.292,76,0
PSH.US,D,20240508,000000,50.245,50.245,50.245,50.245,3,0
PSH.US,D,20240509,000000,50.2736,50.2736,50.2736,50.2736,22,0
PSH.US,D,20240510,000000,50.2,50.24,50.1999,50.24,2518,0
PSH.US,D,20240513,000000,50.1804,50.1804,50.1804,50.1804,28,0
PSH.US,D,20240514,000000,50.2556,50.265,50.2556,50.265,115,0
PSH.US,D,20240515,000000,50.38,50.399,50.363,50.363,6046,0
PSH.US,D,20240516,000000,50.35,50.35,50.3192,50.3192,770,0
PSH.US,D,20240517,000000,50.3101,50.3101,50.3101,50.3101,10,0
PSH.US,D,20240520,000000,50.34,50.34,50.3032,50.3135,1911,0
PSH.US,D,20240521,000000,50.34,50.425,50.34,50.425,1702,0
PSH.US,D,20240522,000000,50.31,50.31,50.2862,50.2862,137,0
PSH.US,D,20240523,000000,50.24,50.28,50.21,50.2601,18122,0
PSH.US,D,20240524,000000,50.28,50.3558,50.2799,50.3558,9637,0
PSH.US,D,20240528,000000,50.32,50.32,50.19,50.2,6096,0
PSH.US,D,20240529,000000,50.13,50.19,50.13,50.15,6359,0
PSH.US,D,20240530,000000,50.24,50.29,50.24,50.2502,6270,0
PSH.US,D,20240531,000000,50.36,50.3753,50.29,50.3753,9519,0
PSH.US,D,20240603,000000,49.99,50.07,49.99,50.06,6754,0
PSH.US,D,20240604,000000,50.08,50.11,50.04,50.05,8013,0
PSH.US,D,20240605,000000,50.1,50.15,50.06,50.0905,4964,0
PSH.US,D,20240606,000000,50.09,50.1,50.06,50.06,3818,0
PSH.US,D,20240607,000000,49.95,50.04,49.94,49.995,10298,0
PSH.US,D,20240610,000000,49.93,50.08,49.93,50.08,3922,0
PSH.US,D,20240611,000000,50.12,50.12,50.1,50.1,3837,0
PSH.US,D,20240612,000000,50.2683,50.28,50.205,50.205,8347,0
PSH.US,D,20240613,000000,50.2399,50.24,50.1941,50.2207,1762,0
PSH.US,D,20240614,000000,50.08,50.12,50.05,50.0957,15540,0
PSH.US,D,20240617,000000,50.07,50.17,50.066,50.17,6807,0
PSH.US,D,20240618,000000,50.22,50.27,50.2199,50.26,2748,0
PSH.US,D,20240620,000000,50.22,50.2468,50.2097,50.242,624,0
PSH.US,D,20240621,000000,50.27,50.3,50.24,50.3,4095,0
PSH.US,D,20240624,000000,50.35,50.35,50.29,50.29,3585,0
PSH.US,D,20240625,000000,50.275,50.2999,50.24,50.2811,4865,0
PSH.US,D,20240626,000000,50.18,50.29,50.18,50.265,4119,0
PSH.US,D,20240627,000000,50.265,50.2951,50.265,50.2951,277,0
PSH.US,D,20240628,000000,50.38,50.38,50.28,50.28,2090,0
PSH.US,D,20240701,000000,49.88,49.95,49.83,49.95,17608,0
PSH.US,D,20240702,000000,49.94,50,49.94,50,7150,0
PSH.US,D,20240703,000000,50.06,50.09,50.0499,50.09,2658,0
PSH.US,D,20240705,000000,50.17,50.19,50.1,50.1699,14887,0
PSH.US,D,20240708,000000,50.24,50.24,50.1487,50.2,2315,0
PSH.US,D,20240709,000000,50.19,50.24,50.14,50.19,21673,0
PSH.US,D,20240710,000000,50.24,50.27,50.24,50.27,2873,0
PSH.US,D,20240711,000000,50.36,50.36,50.3054,50.33,4258,0
PSH.US,D,20240712,000000,50.41,50.43,50.41,50.42,2526,0
PSH.US,D,20240715,000000,50.43,50.48,50.4254,50.48,10035,0
PSH.US,D,20240716,000000,50.53,50.58,50.5222,50.56,2544,0
PSH.US,D,20240717,000000,50.49,50.55,50.49,50.5368,1619,0
PSH.US,D,20240718,000000,50.47,50.48,50.4413,50.4413,3248,0
PSH.US,D,20240719,000000,50.3917,50.45,50.37,50.4,3850,0
PSH.US,D,20240722,000000,50.57,50.57,50.5385,50.57,1309,0
