<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
IBIE.US,D,20230921,000000,24.82,24.82,24.82,24.82,4,0
IBIE.US,D,20230922,000000,24.865,24.865,24.865,24.865,2,0
IBIE.US,D,20230925,000000,24.7776,24.7776,24.7776,24.7776,2,0
IBIE.US,D,20230926,000000,24.735,24.735,24.735,24.735,1,0
IBIE.US,D,20230927,000000,24.7142,24.7142,24.7142,24.7142,1,0
IBIE.US,D,20230928,000000,24.825,24.825,24.825,24.825,37,0
IBIE.US,D,20230929,000000,24.7938,24.7938,24.7938,24.7938,1,0
IBIE.US,D,20231002,000000,24.68,24.68,24.68,24.68,17,0
IBIE.US,D,20231003,000000,24.5788,24.5788,24.5788,24.5788,1,0
IBIE.US,D,20231004,000000,24.65,24.65,24.65,24.65,50,0
IBIE.US,D,20231005,000000,24.675,24.68,24.6731,24.676,1466,0
IBIE.US,D,20231006,000000,24.6075,24.618,24.6075,24.615,1142,0
IBIE.US,D,20231009,000000,24.81,24.81,24.72,24.79,1800,0
IBIE.US,D,20231010,000000,24.76,24.81,24.76,24.7963,28708,0
IBIE.US,D,20231011,000000,24.81,24.8372,24.81,24.83,375,0
IBIE.US,D,20231012,000000,24.8,24.8,24.7719,24.7719,5560,0
IBIE.US,D,20231013,000000,24.88,24.88,24.86,24.865,2891,0
IBIE.US,D,20231016,000000,24.85,24.85,24.826,24.8336,7615,0
IBIE.US,D,20231017,000000,24.74,24.74,24.7,24.705,1378,0
IBIE.US,D,20231018,000000,24.75,24.75,24.6724,24.6757,3700,0
IBIE.US,D,20231019,000000,24.67,24.7392,24.67,24.73,2293,0
IBIE.US,D,20231020,000000,24.76,24.8006,24.76,24.785,2658,0
IBIE.US,D,20231023,000000,24.73,24.79,24.7299,24.7817,24101,0
IBIE.US,D,20231024,000000,24.76,24.8083,24.69,24.745,37319,0
IBIE.US,D,20231025,000000,24.71,24.73,24.69,24.695,20905,0
IBIE.US,D,20231026,000000,24.73,24.8082,24.73,24.8,8684,0
IBIE.US,D,20231027,000000,24.83,24.87,24.7993,24.87,16389,0
IBIE.US,D,20231030,000000,24.8,24.84,24.7952,24.84,44949,0
IBIE.US,D,20231031,000000,24.85,24.85,24.795,24.795,10194,0
IBIE.US,D,20231101,000000,24.7953,24.93,24.7953,24.93,5720,0
IBIE.US,D,20231102,000000,25.0094,25.0094,24.943,24.95,2187,0
IBIE.US,D,20231103,000000,25.0665,25.1091,25.06,25.09,8811,0
IBIE.US,D,20231106,000000,25.07,25.07,25.005,25.02,7193,0
IBIE.US,D,20231107,000000,25.03,25.0631,25.0193,25.045,7581,0
IBIE.US,D,20231108,000000,25.025,25.0465,25.025,25.035,1562,0
IBIE.US,D,20231109,000000,25.027,25.027,24.9,24.9,3073,0
IBIE.US,D,20231110,000000,24.94,24.9466,24.89,24.895,21453,0
IBIE.US,D,20231113,000000,24.86,24.9065,24.8554,24.9,10526,0
IBIE.US,D,20231114,000000,25.0866,25.095,25.085,25.095,7623,0
IBIE.US,D,20231115,000000,25.02,25.02,24.9752,25.01,9526,0
IBIE.US,D,20231116,000000,25.07,25.0898,25.0457,25.07,5896,0
IBIE.US,D,20231117,000000,25.1,25.1,25.05,25.09,21792,0
IBIE.US,D,20231120,000000,25.1082,25.13,25.07,25.125,9946,0
IBIE.US,D,20231121,000000,25.13,25.1392,25.0889,25.1,18705,0
IBIE.US,D,20231122,000000,25.07,25.1,25.04,25.1,5206,0
IBIE.US,D,20231124,000000,25.07,25.07,25.035,25.035,5392,0
IBIE.US,D,20231127,000000,25.06,25.79,25.04,25.08,8505,0
IBIE.US,D,20231128,000000,25.0886,25.2,25.0886,25.2,1709,0
IBIE.US,D,20231129,000000,25.252,25.285,25.24,25.27,29281,0
IBIE.US,D,20231130,000000,25.26,25.26,25.2,25.209,7068,0
IBIE.US,D,20231201,000000,25.22,25.345,25.21,25.345,12260,0
IBIE.US,D,20231204,000000,25.2635,25.29,25.24,25.265,7047,0
IBIE.US,D,20231205,000000,25.3,25.345,25.3,25.3122,1942,0
IBIE.US,D,20231206,000000,25.31,25.31,25.2813,25.295,4422,0
IBIE.US,D,20231207,000000,25.31,25.3269,25.3,25.3,4808,0
IBIE.US,D,20231208,000000,25.2,25.24,25.19,25.24,919,0
IBIE.US,D,20231211,000000,25.22,25.22,25.19,25.22,11622,0
IBIE.US,D,20231212,000000,25.204,25.2199,25.204,25.215,2198,0
IBIE.US,D,20231213,000000,25.2277,25.4923,25.2277,25.4923,18897,0
IBIE.US,D,20231214,000000,25.498,25.498,25.47,25.49,1293,0
IBIE.US,D,20231215,000000,25.4508,25.4699,25.4486,25.46,4948,0
IBIE.US,D,20231218,000000,25.48,25.48,25.425,25.425,8607,0
IBIE.US,D,20231219,000000,25.46,25.465,25.425,25.425,3361,0
IBIE.US,D,20231220,000000,25.505,25.505,25.5047,25.5047,426,0
IBIE.US,D,20231221,000000,25.51,25.537,25.4909,25.5,5820,0
IBIE.US,D,20231222,000000,25.51,25.51,25.475,25.475,5672,0
IBIE.US,D,20231226,000000,25.48,25.49,25.4697,25.4797,2342,0
IBIE.US,D,20231227,000000,25.54,25.5463,25.54,25.54,599,0
IBIE.US,D,20231228,000000,25.5411,25.5411,25.495,25.495,4145,0
IBIE.US,D,20231229,000000,25.48,25.51,25.48,25.495,5828,0
IBIE.US,D,20240102,000000,25.46,25.47,25.443,25.45,4064,0
IBIE.US,D,20240103,000000,25.43,25.49,25.39,25.485,5186,0
IBIE.US,D,20240104,000000,25.425,25.43,25.425,25.425,1676,0
IBIE.US,D,20240105,000000,25.3799,25.41,25.375,25.375,1349,0
IBIE.US,D,20240108,000000,25.41,25.4353,25.3999,25.425,5597,0
IBIE.US,D,20240109,000000,25.4002,25.43,25.4002,25.41,15261,0
IBIE.US,D,20240110,000000,25.4299,25.4299,25.38,25.395,2671,0
IBIE.US,D,20240111,000000,25.4436,25.51,25.4436,25.505,2749,0
IBIE.US,D,20240112,000000,25.6166,25.62,25.6011,25.62,827,0
IBIE.US,D,20240116,000000,25.6,25.6,25.47,25.5129,6566,0
IBIE.US,D,20240117,000000,25.41,25.4323,25.4,25.4323,940,0
IBIE.US,D,20240118,000000,25.45,25.48,25.4499,25.46,8638,0
IBIE.US,D,20240119,000000,25.43,25.4327,25.42,25.4327,1209,0
IBIE.US,D,20240122,000000,25.4454,25.4454,25.4454,25.4454,118,0
IBIE.US,D,20240123,000000,25.397,25.405,25.397,25.405,396,0
IBIE.US,D,20240124,000000,25.41,25.41,25.37,25.3751,9383,0
IBIE.US,D,20240125,000000,25.44,25.45,25.44,25.45,375,0
IBIE.US,D,20240126,000000,25.435,25.4447,25.41,25.425,1432,0
IBIE.US,D,20240129,000000,25.47,25.51,25.47,25.51,1181,0
IBIE.US,D,20240130,000000,25.4701,25.4701,25.4701,25.4701,13,0
IBIE.US,D,20240131,000000,25.57,25.5992,25.56,25.58,5031,0
IBIE.US,D,20240201,000000,25.59,25.59,25.59,25.59,4,0
IBIE.US,D,20240202,000000,25.43,25.43,25.4003,25.4003,2116,0
IBIE.US,D,20240205,000000,25.389,25.39,25.34,25.34,135524,0
IBIE.US,D,20240206,000000,25.4204,25.43,25.4204,25.425,2476,0
IBIE.US,D,20240207,000000,25.43,25.435,25.4,25.4,2983,0
IBIE.US,D,20240208,000000,25.38,25.38,25.38,25.38,164,0
IBIE.US,D,20240209,000000,25.3706,25.3706,25.35,25.35,341,0
IBIE.US,D,20240212,000000,25.38,25.38,25.36,25.36,1613,0
IBIE.US,D,20240213,000000,25.2996,25.2996,25.24,25.24,4732,0
IBIE.US,D,20240214,000000,25.3,25.34,25.291,25.31,4537,0
IBIE.US,D,20240215,000000,25.38,25.38,25.35,25.355,4601,0
IBIE.US,D,20240216,000000,25.3121,25.32,25.3,25.32,3005,0
IBIE.US,D,20240220,000000,25.35,25.3674,25.35,25.35,10813,0
IBIE.US,D,20240221,000000,25.3565,25.3565,25.3187,25.3222,6978,0
IBIE.US,D,20240222,000000,25.3,25.31,25.275,25.2777,6479,0
IBIE.US,D,20240223,000000,25.28,25.2972,25.28,25.28,6501,0
IBIE.US,D,20240226,000000,25.29,25.31,25.29,25.31,2657,0
IBIE.US,D,20240227,000000,25.3085,25.3085,25.29,25.298,4024,0
IBIE.US,D,20240228,000000,25.33,25.36,25.32,25.34,4084,0
IBIE.US,D,20240229,000000,25.3815,25.41,25.3815,25.3881,10927,0
IBIE.US,D,20240301,000000,25.39,25.485,25.3772,25.485,800,0
IBIE.US,D,20240304,000000,25.47,25.47,25.465,25.465,327,0
IBIE.US,D,20240305,000000,25.505,25.53,25.505,25.53,10396,0
IBIE.US,D,20240306,000000,25.5601,25.565,25.525,25.525,742,0
IBIE.US,D,20240307,000000,25.55,25.56,25.55,25.56,6268,0
IBIE.US,D,20240308,000000,25.5993,25.5993,25.575,25.575,1583,0
IBIE.US,D,20240311,000000,25.56,25.56,25.5327,25.54,1189,0
