<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
LQIG.US,D,20220513,000000,99.1738,99.1787,99.0597,99.1353,54445.82916239,0
LQIG.US,D,20220516,000000,99.581,99.591,99.241,99.241,274.12889939785,0
LQIG.US,D,20220517,000000,98.7319,98.7319,98.7319,98.7319,28.219151408602,0
LQIG.US,D,20220518,000000,98.9927,98.9927,98.9927,98.9927,4.031307344086,0
LQIG.US,D,20220519,000000,99.2834,99.2834,99.2834,99.2834,54.422649145161,0
LQIG.US,D,20220520,000000,99.7722,99.7722,99.7722,99.7722,4.031307344086,0
LQIG.US,D,20220523,000000,99.4696,99.4696,99.4696,99.4696,5.0391341801075,0
LQIG.US,D,20220524,000000,100.355,100.735,100.255,100.735,3205.8971653844,0
LQIG.US,D,20220525,000000,101.774,101.774,101.774,101.774,50.391341801075,0
LQIG.US,D,20220526,000000,101.896,101.896,101.896,101.896,23.180017228494,0
LQIG.US,D,20220527,000000,102.327,102.327,102.327,102.327,1.0078268360215,0
LQIG.US,D,20220531,000000,101.548,101.548,101.548,101.548,10.078268360215,0
LQIG.US,D,20220601,000000,101.853,101.853,100.872,100.872,226.76103810484,0
LQIG.US,D,20220602,000000,100.857,100.857,100.857,100.857,5.0391341801075,0
LQIG.US,D,20220603,000000,100.503,100.545,100.503,100.545,516.00734004301,0
LQIG.US,D,20220606,000000,99.9524,99.9524,99.9524,99.9524,1.0078268360215,0
LQIG.US,D,20220607,000000,100.407,100.407,100.407,100.407,10.078268360215,0
LQIG.US,D,20220608,000000,99.9176,99.9176,99.9176,99.9176,6.046961016129,0
LQIG.US,D,20220609,000000,99.2539,99.2539,99.2539,99.2539,2.015653672043,0
LQIG.US,D,20220610,000000,98.3869,98.3869,98.3869,98.3869,2.015653672043,0
LQIG.US,D,20220613,000000,96.1959,96.1959,96.1959,96.1959,5.0391341801075,0
LQIG.US,D,20220614,000000,95.6138,95.6138,95.6138,95.6138,2.015653672043,0
LQIG.US,D,20220615,000000,97.142,97.142,97.142,97.142,1.0078268360215,0
LQIG.US,D,20220616,000000,96.3757,97.1976,96.2963,97.1976,5144.9559978897,0
LQIG.US,D,20220617,000000,97.3996,97.3996,97.3996,97.3996,2.015653672043,0
LQIG.US,D,20220621,000000,96.4859,96.4859,96.4859,96.4859,2.015653672043,0
LQIG.US,D,20220622,000000,97.0831,97.0831,97.0831,97.0831,1.0078268360215,0
LQIG.US,D,20220623,000000,97.6259,97.7462,97.6259,97.7462,505.92907168279,0
LQIG.US,D,20220624,000000,97.9386,97.9386,97.9386,97.9386,1.0078268360215,0
LQIG.US,D,20220627,000000,97.1253,97.1253,97.1253,97.1253,2.015653672043,0
LQIG.US,D,20220628,000000,97.1048,97.1048,97.1048,97.1048,2.015653672043,0
LQIG.US,D,20220629,000000,97.5653,97.5653,97.5653,97.5653,2.015653672043,0
LQIG.US,D,20220630,000000,97.8993,97.8993,97.8993,97.8993,4.031307344086,0
LQIG.US,D,20220701,000000,98.6049,98.6049,98.6049,98.6049,2.015653672043,0
LQIG.US,D,20220705,000000,98.5674,98.5674,98.5674,98.5674,4.031307344086,0
LQIG.US,D,20220706,000000,98.2068,98.2068,98.2068,98.2068,1.0078268360215,0
LQIG.US,D,20220707,000000,98.257,98.257,98.257,98.257,2.015653672043,0
LQIG.US,D,20220708,000000,98.1258,98.1258,98.1258,98.1258,52.406995473118,0
LQIG.US,D,20220711,000000,98.3171,98.3171,98.3171,98.3171,2.015653672043,0
LQIG.US,D,20220712,000000,98.628,98.628,98.4951,98.4951,327.54372170699,0
LQIG.US,D,20220713,000000,97.5564,99.1255,97.5564,99.1255,151.17402540322,0
LQIG.US,D,20220714,000000,98.5696,98.5696,98.5696,98.5696,66.516571177419,0
LQIG.US,D,20220715,000000,99.2258,99.2258,99.2258,99.2258,50.391341801075,0
