<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FUSI.US,D,20230317,000000,50.148,50.148,50.14,50.14,100,0
FUSI.US,D,20230320,000000,50.21,50.21,50.18,50.18,220,0
FUSI.US,D,20230321,000000,50.21,50.21,50.21,50.21,30,0
FUSI.US,D,20230322,000000,50.21,50.215,50.21,50.215,384,0
FUSI.US,D,20230323,000000,50.205,50.205,50.205,50.205,50,0
FUSI.US,D,20230324,000000,50.17,50.17,50.17,50.17,20,0
FUSI.US,D,20230327,000000,50.17,50.17,50.17,50.17,1,0
FUSI.US,D,20230328,000000,50.2,50.2,50.2,50.2,20,0
FUSI.US,D,20230329,000000,50.2372,50.25,50.2186,50.2186,1000,0
FUSI.US,D,20230330,000000,50.249,50.249,50.21,50.21,300,0
FUSI.US,D,20230331,000000,50.225,50.225,50.225,50.225,20,0
FUSI.US,D,20230403,000000,50.25,50.25,50.25,50.25,20,0
FUSI.US,D,20230404,000000,50.3,50.3,50.26,50.26,210,0
FUSI.US,D,20230405,000000,50.29,50.29,50.29,50.29,20,0
FUSI.US,D,20230406,000000,50.29,50.29,50.29,50.29,20,0
FUSI.US,D,20230410,000000,50.34,50.34,50.34,50.34,20,0
FUSI.US,D,20230411,000000,50.3599,50.3599,50.325,50.325,394,0
FUSI.US,D,20230412,000000,50.35,50.35,50.35,50.35,61,0
FUSI.US,D,20230413,000000,50.375,50.375,50.375,50.375,1,0
FUSI.US,D,20230414,000000,50.37,50.37,50.37,50.37,61,0
FUSI.US,D,20230417,000000,50.44,50.44,50.4,50.4,100,0
FUSI.US,D,20230418,000000,50.4587,50.4587,50.435,50.435,477,0
FUSI.US,D,20230419,000000,50.45,50.45,50.45,50.45,32,0
FUSI.US,D,20230420,000000,50.488,50.488,50.48,50.48,992,0
FUSI.US,D,20230421,000000,50.47,50.47,50.47,50.47,32,0
FUSI.US,D,20230424,000000,50.5,50.5,50.5,50.5,32,0
FUSI.US,D,20230425,000000,50.559,50.56,50.52,50.52,200,0
FUSI.US,D,20230426,000000,50.56,50.56,50.56,50.56,293,0
FUSI.US,D,20230427,000000,50.58,50.58,50.54,50.54,213,0
FUSI.US,D,20230428,000000,50.5585,50.59,50.55,50.55,3000,0
FUSI.US,D,20230501,000000,50.225,50.225,50.225,50.225,18,0
FUSI.US,D,20230502,000000,50.24,50.24,50.24,50.24,32,0
FUSI.US,D,20230503,000000,50.279,50.31,50.2545,50.2861,1527,0
FUSI.US,D,20230504,000000,50.2842,50.3,50.28,50.28,1996,0
FUSI.US,D,20230505,000000,50.3,50.3,50.3,50.3,21,0
FUSI.US,D,20230508,000000,50.29,50.29,50.29,50.29,19,0
FUSI.US,D,20230509,000000,50.32,50.32,50.32,50.32,19,0
FUSI.US,D,20230510,000000,50.4,50.4,50.33,50.33,2043,0
FUSI.US,D,20230511,000000,50.3786,50.38,50.365,50.365,1198,0
FUSI.US,D,20230512,000000,50.369,50.37,50.35,50.35,1001,0
FUSI.US,D,20230515,000000,50.39,50.392,50.39,50.392,200,0
FUSI.US,D,20230516,000000,50.38,50.4,50.38,50.385,298,0
FUSI.US,D,20230517,000000,50.42,50.42,50.405,50.405,198,0
FUSI.US,D,20230518,000000,50.439,50.439,50.425,50.425,115,0
FUSI.US,D,20230519,000000,50.415,50.415,50.415,50.415,19,0
FUSI.US,D,20230522,000000,50.445,50.445,50.445,50.445,19,0
FUSI.US,D,20230523,000000,50.47,50.47,50.46,50.46,300,0
FUSI.US,D,20230524,000000,50.475,50.475,50.475,50.475,19,0
FUSI.US,D,20230525,000000,50.505,50.53,50.505,50.525,2630,0
FUSI.US,D,20230526,000000,50.519,50.52,50.505,50.505,955,0
FUSI.US,D,20230530,000000,50.549,50.55,50.52,50.525,1175,0
FUSI.US,D,20230531,000000,50.535,50.535,50.535,50.535,200,0
FUSI.US,D,20230601,000000,50.2832,50.29,50.27,50.27,1905,0
FUSI.US,D,20230602,000000,50.265,50.265,50.265,50.265,1,0
FUSI.US,D,20230605,000000,50.295,50.295,50.295,50.295,8,0
FUSI.US,D,20230606,000000,50.31,50.31,50.31,50.31,19,0
FUSI.US,D,20230607,000000,50.34,50.34,50.3248,50.3248,112,0
FUSI.US,D,20230608,000000,50.345,50.345,50.345,50.345,146,0
FUSI.US,D,20230609,000000,50.355,50.355,50.355,50.355,1,0
FUSI.US,D,20230612,000000,50.36,50.365,50.36,50.365,800,0
FUSI.US,D,20230613,000000,50.395,50.395,50.395,50.395,1,0
FUSI.US,D,20230614,000000,50.405,50.405,50.405,50.405,46,0
FUSI.US,D,20230615,000000,50.45,50.46,50.445,50.445,903,0
FUSI.US,D,20230616,000000,50.455,50.455,50.455,50.455,46,0
FUSI.US,D,20230620,000000,50.51,50.51,50.465,50.475,3433,0
FUSI.US,D,20230621,000000,50.48,50.49,50.475,50.475,900,0
FUSI.US,D,20230622,000000,50.49,50.495,50.49,50.495,501,0
FUSI.US,D,20230623,000000,50.52,50.525,50.502,50.52,2579,0
FUSI.US,D,20230626,000000,50.55,50.55,50.535,50.535,323,0
FUSI.US,D,20230627,000000,50.545,50.545,50.545,50.545,46,0
FUSI.US,D,20230628,000000,50.76,50.76,50.555,50.555,4006,0
FUSI.US,D,20230629,000000,50.599,50.6,50.585,50.585,39523,0
FUSI.US,D,20230630,000000,50.6146,50.6146,50.605,50.605,113,0
FUSI.US,D,20230703,000000,50.45,50.45,50.385,50.385,2940,0
FUSI.US,D,20230705,000000,50.409,50.41,50.405,50.405,1608,0
FUSI.US,D,20230706,000000,50.44,50.44,50.425,50.425,1340,0
FUSI.US,D,20230707,000000,50.42,50.455,50.42,50.455,6973,0
FUSI.US,D,20230710,000000,50.8,50.8,50.459,50.464,13541,0
FUSI.US,D,20230711,000000,50.469,50.47,50.45,50.46,2173,0
FUSI.US,D,20230712,000000,50.451,50.46,50.45,50.46,901,0
FUSI.US,D,20230713,000000,50.509,50.51,50.495,50.495,2193,0
FUSI.US,D,20230714,000000,50.51,50.51,50.51,50.51,1,0
FUSI.US,D,20230717,000000,50.539,50.54,50.525,50.525,2100,0
FUSI.US,D,20230718,000000,50.52,50.53,50.52,50.53,331,0
FUSI.US,D,20230719,000000,50.5346,50.535,50.5346,50.535,446,0
FUSI.US,D,20230720,000000,50.5781,50.5781,50.575,50.575,1460,0
FUSI.US,D,20230721,000000,50.61,50.665,50.6057,50.62,7402,0
FUSI.US,D,20230724,000000,50.629,50.63,50.615,50.615,1110,0
FUSI.US,D,20230725,000000,50.6,50.615,50.6,50.615,240,0
FUSI.US,D,20230726,000000,50.64,50.69,50.635,50.635,1504,0
FUSI.US,D,20230727,000000,50.685,50.685,50.685,50.685,80,0
FUSI.US,D,20230728,000000,50.72,50.72,50.72,50.72,17,0
FUSI.US,D,20230731,000000,50.74,50.75,50.74,50.74,1000,0
FUSI.US,D,20230801,000000,50.519,50.52,50.5053,50.5053,1376,0
FUSI.US,D,20230802,000000,50.549,50.55,50.505,50.505,557,0
FUSI.US,D,20230803,000000,50.56,50.56,50.5202,50.5202,186,0
FUSI.US,D,20230804,000000,50.5709,50.5709,50.54,50.54,506,0
FUSI.US,D,20230807,000000,50.599,50.6,50.59,50.6,3287,0
FUSI.US,D,20230808,000000,50.57,50.57,50.57,50.57,17,0
FUSI.US,D,20230809,000000,50.595,50.64,50.595,50.595,795,0
FUSI.US,D,20230810,000000,50.6155,50.6155,50.6155,50.6155,49,0
FUSI.US,D,20230811,000000,50.669,50.669,50.625,50.625,175,0
FUSI.US,D,20230814,000000,50.669,50.669,50.651,50.66,822,0
FUSI.US,D,20230815,000000,50.6617,50.68,50.6617,50.6775,1108,0
FUSI.US,D,20230816,000000,50.699,50.7,50.69,50.69,1526,0
FUSI.US,D,20230817,000000,50.6801,50.705,50.6801,50.705,207,0
FUSI.US,D,20230818,000000,50.739,50.74,50.71,50.71,432,0
FUSI.US,D,20230821,000000,50.74,50.74,50.71,50.7252,465,0
FUSI.US,D,20230822,000000,50.749,50.75,50.7302,50.7302,872,0
FUSI.US,D,20230823,000000,50.759,50.759,50.71,50.735,317,0
FUSI.US,D,20230824,000000,50.77,50.77,50.74,50.74,100,0
FUSI.US,D,20230825,000000,50.7652,50.78,50.7652,50.78,100,0
FUSI.US,D,20230828,000000,50.72,50.79,50.72,50.79,569,0
FUSI.US,D,20230829,000000,50.82,50.82,50.8102,50.8102,4026,0
FUSI.US,D,20230830,000000,50.785,50.785,50.785,50.785,34,0
FUSI.US,D,20230831,000000,50.8499,50.85,50.8201,50.8201,3387,0
FUSI.US,D,20230901,000000,50.609,50.63,50.565,50.565,928,0
FUSI.US,D,20230905,000000,50.62,50.62,50.575,50.575,449,0
FUSI.US,D,20230906,000000,50.595,50.62,50.5802,50.5802,2453,0
FUSI.US,D,20230907,000000,50.65,50.65,50.61,50.6102,3100,0
FUSI.US,D,20230908,000000,50.6,50.6232,50.59,50.59,3456,0
FUSI.US,D,20230911,000000,50.624,50.645,50.624,50.645,754,0
FUSI.US,D,20230912,000000,50.645,50.645,50.645,50.645,32,0
FUSI.US,D,20230913,000000,50.75,50.75,50.6889,50.689,1490,0
FUSI.US,D,20230914,000000,50.7,50.7,50.7,50.7,1,0
FUSI.US,D,20230915,000000,50.705,50.705,50.705,50.705,12,0
FUSI.US,D,20230918,000000,50.74,50.74,50.715,50.715,367,0
FUSI.US,D,20230919,000000,50.72,50.72,50.72,50.72,53,0
FUSI.US,D,20230920,000000,50.7401,50.7401,50.7401,50.7401,11,0
FUSI.US,D,20230921,000000,50.755,50.755,50.755,50.755,11,0
FUSI.US,D,20230922,000000,50.76,50.7999,50.76,50.7851,440,0
FUSI.US,D,20230925,000000,50.81,50.8223,50.786,50.8223,5484,0
FUSI.US,D,20230926,000000,50.82,50.83,50.79,50.83,2595,0
FUSI.US,D,20230927,000000,50.83,50.83,50.8005,50.8005,1187,0
FUSI.US,D,20230928,000000,50.815,50.815,50.815,50.815,513,0
FUSI.US,D,20230929,000000,50.86,50.86,50.8154,50.8154,200,0
FUSI.US,D,20231002,000000,50.57,50.57,50.525,50.525,993,0
FUSI.US,D,20231003,000000,50.6,50.6,50.58,50.59,5033,0
FUSI.US,D,20231004,000000,50.58,50.6099,50.56,50.56,8521,0
FUSI.US,D,20231005,000000,50.6,50.6,50.596,50.596,611,0
FUSI.US,D,20231006,000000,50.57,50.57,50.57,50.57,210,0
FUSI.US,D,20231009,000000,50.615,50.615,50.615,50.615,4,0
FUSI.US,D,20231010,000000,50.645,50.655,50.645,50.655,103,0
FUSI.US,D,20231011,000000,50.71,50.71,50.645,50.645,387,0
FUSI.US,D,20231012,000000,50.71,50.73,50.63,50.68,2675,0
FUSI.US,D,20231013,000000,50.72,50.74,50.695,50.695,1331,0
FUSI.US,D,20231016,000000,50.729,50.74,50.63,50.685,4557,0
FUSI.US,D,20231017,000000,50.69,50.69,50.69,50.69,55,0
FUSI.US,D,20231018,000000,50.695,50.695,50.695,50.695,52,0
FUSI.US,D,20231019,000000,50.7799,50.7799,50.715,50.715,202,0
FUSI.US,D,20231020,000000,50.78,50.78,50.76,50.76,798,0
FUSI.US,D,20231023,000000,50.73,50.73,50.73,50.73,1435,0
FUSI.US,D,20231024,000000,50.74,50.78,50.74,50.77,206,0
FUSI.US,D,20231025,000000,50.7125,50.725,50.7125,50.725,465,0
FUSI.US,D,20231026,000000,50.74,50.74,50.74,50.74,11,0
FUSI.US,D,20231027,000000,50.755,50.755,50.755,50.755,122,0
FUSI.US,D,20231030,000000,50.72,50.775,50.72,50.775,400,0
FUSI.US,D,20231031,000000,50.785,50.785,50.785,50.785,18,0
FUSI.US,D,20231101,000000,50.5307,50.56,50.5307,50.535,439,0
FUSI.US,D,20231102,000000,50.535,50.535,50.535,50.535,53,0
FUSI.US,D,20231103,000000,50.58,50.5894,50.573,50.573,441,0
FUSI.US,D,20231106,000000,50.555,50.555,50.555,50.555,42,0
FUSI.US,D,20231107,000000,50.6,50.605,50.555,50.555,1412,0
FUSI.US,D,20231108,000000,50.59,50.59,50.56,50.56,110,0
FUSI.US,D,20231109,000000,50.63,50.63,50.5943,50.5943,2484,0
FUSI.US,D,20231110,000000,50.53,50.6491,50.52,50.575,3025,0
FUSI.US,D,20231113,000000,50.601,50.601,50.554,50.555,608,0
FUSI.US,D,20231114,000000,50.55,50.6333,50.5452,50.63,415,0
FUSI.US,D,20231115,000000,50.57,50.63,50.57,50.63,485,0
FUSI.US,D,20231116,000000,50.675,50.675,50.675,50.675,29,0
FUSI.US,D,20231117,000000,50.685,50.685,50.685,50.685,16,0
FUSI.US,D,20231120,000000,50.69,50.69,50.655,50.655,350,0
FUSI.US,D,20231121,000000,50.65,50.6519,50.5701,50.6503,2368,0
FUSI.US,D,20231122,000000,50.74,50.74,50.74,50.74,1,0
FUSI.US,D,20231124,000000,50.75,50.75,50.74,50.74,300,0
FUSI.US,D,20231127,000000,50.73,50.73,50.675,50.675,326,0
FUSI.US,D,20231128,000000,50.63,50.65,50.63,50.65,1341,0
FUSI.US,D,20231129,000000,50.72,50.72,50.72,50.72,38,0
