<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ISPY.US,D,20231221,000000,40.09,40.1289,39.75,40.1289,21427,0
ISPY.US,D,20231222,000000,40.32,40.32,40.14,40.1887,43536,0
ISPY.US,D,20231226,000000,40.35,40.454,40.2719,40.44,13939,0
ISPY.US,D,20231227,000000,40.45,40.78,40.32,40.4239,22871,0
ISPY.US,D,20231228,000000,40.62,40.735,40.5,40.55,14250,0
ISPY.US,D,20231229,000000,40.55,40.59,40.23,40.4,29425,0
ISPY.US,D,20240102,000000,40.24,40.27,40,40.1064,38785,0
ISPY.US,D,20240103,000000,40.025,40.0785,39.83,39.8534,27031,0
ISPY.US,D,20240104,000000,39.9,40,39.7,39.71,11006,0
ISPY.US,D,20240105,000000,39.61,39.95,39.61,39.7647,49208,0
ISPY.US,D,20240108,000000,40.18,40.22,39.76,40.219,15801,0
ISPY.US,D,20240109,000000,40.18,40.2399,39.9517,40.1652,30308,0
ISPY.US,D,20240110,000000,40.31,40.43,40.17,40.41,38381,0
ISPY.US,D,20240111,000000,40.62,40.62,40.15,40.3943,16119,0
ISPY.US,D,20240112,000000,40.66,40.66,40.38,40.4604,9143,0
ISPY.US,D,20240116,000000,40.42,40.4595,40.1701,40.37,15982,0
ISPY.US,D,20240117,000000,40.18,40.18,39.91,40.135,15142,0
ISPY.US,D,20240118,000000,40.16,40.38,40.129,40.34,10474,0
ISPY.US,D,20240119,000000,40.3499,40.58,40.325,40.58,16931,0
ISPY.US,D,20240122,000000,40.58,40.8,40.58,40.645,14555,0
ISPY.US,D,20240123,000000,40.76,40.8299,40.54,40.7659,10722,0
ISPY.US,D,20240124,000000,41.06,41.06,40.89,40.9,9679,0
ISPY.US,D,20240125,000000,41.03,41.1,40.79,41.1,23754,0
ISPY.US,D,20240126,000000,40.85,41.17,40.85,41.0335,30317,0
ISPY.US,D,20240129,000000,41,41.2905,41,41.2905,13163,0
ISPY.US,D,20240130,000000,41.3586,41.45,41.315,41.43,4450,0
ISPY.US,D,20240131,000000,41.28,41.28,40.83,40.83,85182,0
ISPY.US,D,20240201,000000,40.78,40.9,40.02,40.7,158002,0
ISPY.US,D,20240202,000000,40.815,41.16,40.815,41.13,37846,0
ISPY.US,D,20240205,000000,40.98,41.06,40.71,40.941,59157,0
ISPY.US,D,20240206,000000,41.12,41.12,40.88,41,16961,0
ISPY.US,D,20240207,000000,41.1,41.37,41.09,41.37,10401,0
ISPY.US,D,20240208,000000,41.39,41.4001,41.3173,41.3608,10615,0
ISPY.US,D,20240209,000000,41.47,41.66,41.4029,41.51,13013,0
ISPY.US,D,20240212,000000,41.69,41.81,41.57,41.63,21809,0
ISPY.US,D,20240213,000000,41.21,41.21,40.8,41.07,29404,0
ISPY.US,D,20240214,000000,41.31,41.6,41.1,41.3964,15921,0
ISPY.US,D,20240215,000000,41.46,41.65,41.32,41.6407,20876,0
ISPY.US,D,20240216,000000,41.7,41.71,41.43,41.49,18643,0
ISPY.US,D,20240220,000000,41.68,41.68,41.05,41.2,21279,0
ISPY.US,D,20240221,000000,41.17,41.29,40.92,41.29,20587,0
ISPY.US,D,20240222,000000,41.85,41.85,41.55,41.62,12507,0
ISPY.US,D,20240223,000000,41.75,41.8,41.6,41.65,26716,0
ISPY.US,D,20240226,000000,41.65,41.6986,41.45,41.46,43984,0
ISPY.US,D,20240227,000000,41.47,41.59,41.4059,41.59,13443,0
ISPY.US,D,20240228,000000,41.47,41.5699,41.385,41.51,18544,0
ISPY.US,D,20240229,000000,41.6,41.7999,41.47,41.76,13303,0
ISPY.US,D,20240301,000000,41.53,41.75,41.39,41.6752,26387,0
ISPY.US,D,20240304,000000,41.69,41.78,41.57,41.72,30763,0
ISPY.US,D,20240305,000000,41.3,41.49,41.03,41.11,26464,0
ISPY.US,D,20240306,000000,41.61,41.61,41.29,41.49,24837,0
ISPY.US,D,20240307,000000,41.77,41.92,41.695,41.8389,11478,0
ISPY.US,D,20240308,000000,42.08,42.18,41.61,41.7,30245,0
ISPY.US,D,20240311,000000,41.5,41.65,41.3444,41.63,30528,0
ISPY.US,D,20240312,000000,41.78,42.085,41.63,42.07,21208,0
ISPY.US,D,20240313,000000,42.1,42.249,41.86,41.86,36668,0
ISPY.US,D,20240314,000000,42.1,42.13,41.665,41.93,71593,0
ISPY.US,D,20240315,000000,41.66,41.77,41.51,41.63,28254,0
ISPY.US,D,20240318,000000,41.82,41.98,41.82,41.9,24588,0
ISPY.US,D,20240319,000000,41.85,42.13,41.6401,42.13,48539,0
ISPY.US,D,20240320,000000,42.17,42.45,42.045,42.45,38486,0
ISPY.US,D,20240321,000000,42.74,42.74,42.585,42.62,59008,0
ISPY.US,D,20240322,000000,42.67,42.67,42.525,42.65,22681,0
ISPY.US,D,20240325,000000,42.52,42.5988,42.43,42.43,33118,0
ISPY.US,D,20240326,000000,42.67,42.67,42.3625,42.3625,41141,0
ISPY.US,D,20240327,000000,42.56,42.64,42.4001,42.59,19169,0
ISPY.US,D,20240328,000000,42.78,42.8659,42.6489,42.8,42628,0
ISPY.US,D,20240401,000000,42.59,42.59,42.3,42.32,17317,0
ISPY.US,D,20240402,000000,42.07,42.1899,41.9,42.12,10220,0
ISPY.US,D,20240403,000000,42.07,42.32,42.06,42.09,22914,0
ISPY.US,D,20240404,000000,42.51,42.51,41.565,41.565,33635,0
ISPY.US,D,20240405,000000,41.86,42.1899,41.8,42.07,13583,0
ISPY.US,D,20240408,000000,42.25,42.25,42.063,42.0675,94555,0
ISPY.US,D,20240409,000000,42.3,42.3,41.72,42.02,32608,0
ISPY.US,D,20240410,000000,41.88,42.06,41.68,41.9,28866,0
ISPY.US,D,20240411,000000,41.89,42.2799,41.74,42.18,17343,0
ISPY.US,D,20240412,000000,41.97,41.97,41.4832,41.5443,19418,0
ISPY.US,D,20240415,000000,41.98,41.98,41.01,41.15,22076,0
