<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
WLGS.US,D,20230420,000000,5.8,5.9,2.88,3.1,2217600,0
WLGS.US,D,20230421,000000,4,5.09,2.93,3.14,11681900,0
WLGS.US,D,20230424,000000,2.36,2.77,2.3533,2.71,1481526,0
WLGS.US,D,20230425,000000,2.49,2.67,2.25,2.29,806516,0
WLGS.US,D,20230426,000000,2.12,2.1493,1.74,1.81,754414,0
WLGS.US,D,20230427,000000,1.92,2.16,1.81,1.84,1192357,0
WLGS.US,D,20230428,000000,2.25,2.56,2.15,2.22,5589810,0
WLGS.US,D,20230501,000000,1.85,3.22,1.7727,2.34,2366916,0
WLGS.US,D,20230502,000000,1.96,2.76,1.96,2.48,1183889,0
WLGS.US,D,20230503,000000,2.13,2.64,2.0801,2.36,945407,0
WLGS.US,D,20230504,000000,2.29,2.41,2.05,2.1,624613,0
WLGS.US,D,20230505,000000,2.02,2.11,1.86,1.88,361406,0
WLGS.US,D,20230508,000000,1.9,1.98,1.65,1.72,499389,0
WLGS.US,D,20230509,000000,1.65,1.75,1.6,1.619,418243,0
WLGS.US,D,20230510,000000,1.67,1.71,1.53,1.59,259924,0
WLGS.US,D,20230511,000000,1.57,1.65,1.44,1.4503,301947,0
WLGS.US,D,20230512,000000,1.47,1.5,1.36,1.3762,227137,0
WLGS.US,D,20230515,000000,1.35,1.47,1.33,1.35,227159,0
WLGS.US,D,20230516,000000,1.3531,1.44,1.32,1.32,186255,0
WLGS.US,D,20230517,000000,1.31,1.42,1.3,1.32,271636,0
WLGS.US,D,20230518,000000,2.09,2.45,1.65,1.91,34594387,0
WLGS.US,D,20230519,000000,1.83,1.86,1.62,1.75,803498,0
WLGS.US,D,20230522,000000,1.73,1.95,1.73,1.82,425938,0
WLGS.US,D,20230523,000000,1.96,2.13,1.75,1.92,585596,0
WLGS.US,D,20230524,000000,1.91,1.95,1.65,1.69,450044,0
WLGS.US,D,20230525,000000,1.69,1.74,1.58,1.63,591212,0
WLGS.US,D,20230526,000000,1.58,1.67,1.46,1.46,266709,0
WLGS.US,D,20230530,000000,1.47,1.49,1.39,1.39,112246,0
WLGS.US,D,20230531,000000,2.009,2.01,1.5002,1.7,11274917,0
WLGS.US,D,20230601,000000,1.56,1.7,1.51,1.65,486634,0
WLGS.US,D,20230602,000000,1.65,1.97,1.65,1.8,568803,0
WLGS.US,D,20230605,000000,1.73,1.9,1.71,1.72,167624,0
WLGS.US,D,20230606,000000,1.72,1.73,1.55,1.55,97631,0
WLGS.US,D,20230607,000000,1.72,1.94,1.7,1.93,807373,0
WLGS.US,D,20230608,000000,1.8303,1.95,1.75,1.81,152227,0
WLGS.US,D,20230609,000000,1.83,1.849,1.74,1.75,67081,0
WLGS.US,D,20230612,000000,1.77,1.85,1.6101,1.75,161912,0
WLGS.US,D,20230613,000000,1.75,1.84,1.68,1.78,233605,0
WLGS.US,D,20230614,000000,1.7932,1.7932,1.71,1.77,35292,0
WLGS.US,D,20230615,000000,1.73,1.79,1.68,1.72,60519,0
WLGS.US,D,20230616,000000,1.69,1.73,1.625,1.69,93119,0
WLGS.US,D,20230620,000000,1.6,1.65,1.59,1.64,74500,0
WLGS.US,D,20230621,000000,1.615,1.7,1.55,1.59,57688,0
WLGS.US,D,20230622,000000,1.56,1.64,1.45,1.48,75353,0
WLGS.US,D,20230623,000000,1.51,1.55,1.48,1.5097,38272,0
WLGS.US,D,20230626,000000,1.47,1.5483,1.45,1.5,31859,0
WLGS.US,D,20230627,000000,1.55,1.55,1.45,1.49,43848,0
WLGS.US,D,20230628,000000,1.47,1.4943,1.37,1.45,62637,0
WLGS.US,D,20230629,000000,1.42,1.48,1.37,1.39,58930,0
WLGS.US,D,20230630,000000,1.38,1.41,1.32,1.36,73675,0
WLGS.US,D,20230703,000000,1.41,1.44,1.3627,1.37,24379,0
WLGS.US,D,20230705,000000,1.37,1.42,1.36,1.37,18853,0
WLGS.US,D,20230706,000000,1.4057,1.4057,1.17,1.256,99060,0
WLGS.US,D,20230707,000000,1.3,1.45,1.245,1.3,127820,0
WLGS.US,D,20230710,000000,1.3,1.38,1.23,1.29,188831,0
WLGS.US,D,20230711,000000,1.26,1.57,1.26,1.56,590766,0
WLGS.US,D,20230712,000000,1.43,1.44,1.28,1.3,203868,0
WLGS.US,D,20230713,000000,1.33,1.33,1.2201,1.28,115286,0
WLGS.US,D,20230714,000000,1.28,1.28,1.22,1.22,61377,0
WLGS.US,D,20230717,000000,1.2491,1.27,1.2,1.24,42359,0
WLGS.US,D,20230718,000000,1.24,1.28,1.21,1.24,66492,0
WLGS.US,D,20230719,000000,1.255,1.27,1.15,1.22,59458,0
WLGS.US,D,20230720,000000,1.2,1.2399,1.16,1.2,56670,0
WLGS.US,D,20230721,000000,1.16,1.22,1.15,1.16,43718,0
WLGS.US,D,20230724,000000,1.15,1.18,1.03,1.12,61224,0
WLGS.US,D,20230725,000000,1.1,1.12,1.05,1.05,72681,0
WLGS.US,D,20230726,000000,1.12,1.1598,1.05,1.1,88477,0
