<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
QUBT.US,D,20210716,000000,7.09,7.3,7.05,7.17,343755,0
QUBT.US,D,20210719,000000,7.3,7.55,7.05,7.34,316031,0
QUBT.US,D,20210720,000000,7.54,9.75,7.51,9.1,2873074,0
QUBT.US,D,20210721,000000,9.47,10.35,9.31,9.62,1158410,0
QUBT.US,D,20210722,000000,9.7,10.43,8.74,8.84,644862,0
QUBT.US,D,20210723,000000,8.67,8.99,7.71,8.59,321280,0
QUBT.US,D,20210726,000000,8.3382,9.4664,8.0402,8.85,165079,0
QUBT.US,D,20210727,000000,9,9,8.5,8.8,145843,0
QUBT.US,D,20210728,000000,8.8,9.3,8.5,9.12,155390,0
QUBT.US,D,20210729,000000,9.5,9.605,9.04,9.18,278049,0
QUBT.US,D,20210730,000000,9.12,9.5,9.0091,9.34,128996,0
QUBT.US,D,20210802,000000,9.47,9.47,8.2643,8.5,234326,0
QUBT.US,D,20210803,000000,8.6,8.6,7.9806,8.09,331288,0
QUBT.US,D,20210804,000000,8.19,8.19,7.0501,7.36,554879,0
QUBT.US,D,20210805,000000,7.4,7.95,7.1701,7.43,245515,0
QUBT.US,D,20210806,000000,7.42,8,7.42,8,149263,0
QUBT.US,D,20210809,000000,8.25,8.4,8,8.14,180473,0
QUBT.US,D,20210810,000000,8.14,8.2288,7.71,8.05,171982,0
QUBT.US,D,20210811,000000,8.05,8.05,7.5,7.9,182562,0
QUBT.US,D,20210812,000000,7.75,7.8,7.22,7.66,257703,0
QUBT.US,D,20210813,000000,7.85,7.9,7.5,7.62,137689,0
QUBT.US,D,20210816,000000,7.5,7.65,6.55,6.7,412765,0
QUBT.US,D,20210817,000000,6.79,6.986,6.19,6.32,234225,0
QUBT.US,D,20210818,000000,6.32,7.08,6.29,6.49,197359,0
QUBT.US,D,20210819,000000,6.49,6.49,6.13,6.42,174149,0
QUBT.US,D,20210820,000000,6.36,6.8099,6.36,6.65,133625,0
QUBT.US,D,20210823,000000,6.8,7.57,6.7001,7.44,328048,0
QUBT.US,D,20210824,000000,7.42,7.5,6.94,7.25,197024,0
QUBT.US,D,20210825,000000,7.33,7.4,6.925,7.01,112075,0
QUBT.US,D,20210826,000000,7.04,7.16,6.77,6.93,144822,0
QUBT.US,D,20210827,000000,7.05,7.29,6.85,7.16,225883,0
QUBT.US,D,20210830,000000,7.07,7.7433,7,7.6,557110,0
QUBT.US,D,20210831,000000,7.63,8.0992,7.3304,7.56,287251,0
QUBT.US,D,20210901,000000,7.5,7.6399,7.25,7.42,179547,0
QUBT.US,D,20210902,000000,7.38,7.427,6.75,6.91,273230,0
QUBT.US,D,20210903,000000,7,7,6.75,6.85,124284,0
QUBT.US,D,20210907,000000,6.99,7.25,6.8,6.86,208847,0
QUBT.US,D,20210908,000000,6.87,7,6.5101,6.72,317025,0
QUBT.US,D,20210909,000000,6.77,6.9,6.7001,6.85,118266,0
QUBT.US,D,20210910,000000,6.85,6.85,6.48,6.51,170505,0
QUBT.US,D,20210913,000000,6.5,6.58,5.9275,6.05,276215,0
QUBT.US,D,20210914,000000,6,6,5.601,5.83,242536,0
QUBT.US,D,20210915,000000,5.84,6.3,5.8,6.17,352144,0
QUBT.US,D,20210916,000000,6.21,6.4399,5.95,6.37,303896,0
QUBT.US,D,20210917,000000,6.33,6.5,5.75,5.79,729743,0
QUBT.US,D,20210920,000000,5.67,6.2,5.6062,6.2,384010,0
QUBT.US,D,20210921,000000,6.2,6.23,5.89,6.23,360190,0
QUBT.US,D,20210922,000000,6.17,6.4,5.94,6.3,272070,0
QUBT.US,D,20210923,000000,6.25,6.69,6.2,6.6,221301,0
QUBT.US,D,20210924,000000,6.5,6.94,6.31,6.83,257983,0
QUBT.US,D,20210927,000000,6.74,7.1,6.5793,7.03,304444,0
QUBT.US,D,20210928,000000,6.99,6.99,6.4,6.73,173292,0
QUBT.US,D,20210929,000000,6.75,6.8335,6.42,6.46,139963,0
QUBT.US,D,20210930,000000,6.51,6.6605,6.085,6.225,175629,0
QUBT.US,D,20211001,000000,6.25,6.345,5.985,6.18,110265,0
QUBT.US,D,20211004,000000,6.16,6.1815,5.61,5.72,190459,0
QUBT.US,D,20211005,000000,5.86,6.19,5.8006,6.09,157608,0
QUBT.US,D,20211006,000000,6,6.05,5.8919,5.96,78929,0
QUBT.US,D,20211007,000000,6,6,5.83,5.87,60274,0
QUBT.US,D,20211008,000000,5.9,6,5.8,5.94,85542,0
QUBT.US,D,20211011,000000,5.94,5.94,5.59,5.64,158008,0
QUBT.US,D,20211012,000000,5.6,5.64,5.03,5.36,348313,0
QUBT.US,D,20211013,000000,5.42,5.87,5.2,5.87,260964,0
QUBT.US,D,20211014,000000,5.92,5.99,5.7945,5.88,106314,0
QUBT.US,D,20211015,000000,5.91,5.99,5.6,5.74,112684,0
QUBT.US,D,20211018,000000,5.75,5.753,5.39,5.53,133829,0
QUBT.US,D,20211019,000000,5.52,5.5873,5.41,5.43,128702,0
QUBT.US,D,20211020,000000,5.43,5.48,5.1835,5.41,164822,0
QUBT.US,D,20211021,000000,5.35,5.4,5.1,5.18,188738,0
QUBT.US,D,20211022,000000,5.13,5.4,5.11,5.28,153554,0
QUBT.US,D,20211025,000000,5.35,5.45,5.18,5.36,125133,0
QUBT.US,D,20211026,000000,5.32,5.39,5.03,5.12,245162,0
QUBT.US,D,20211027,000000,5.16,5.46,5.09,5.31,157286,0
QUBT.US,D,20211028,000000,5.46,6.55,5.3,6.36,1218821,0
QUBT.US,D,20211029,000000,6.44,6.89,6.01,6.25,736218,0
QUBT.US,D,20211101,000000,6.21,6.4,5.6583,5.91,412887,0
QUBT.US,D,20211102,000000,5.98,6.15,5.7,5.96,247544,0
QUBT.US,D,20211103,000000,6,6.29,5.95,6.07,320734,0
QUBT.US,D,20211104,000000,6.11,6.1932,5.75,5.81,197126,0
QUBT.US,D,20211105,000000,6.05,6.1056,5.8319,5.91,187761,0
QUBT.US,D,20211108,000000,6,6.3297,5.9,6.16,451256,0
QUBT.US,D,20211109,000000,6.82,8.9,6.59,7.52,30336177,0
QUBT.US,D,20211110,000000,6.98,7.143,6.6002,7.13,2053817,0
QUBT.US,D,20211111,000000,7.08,7.11,6.46,6.57,786006,0
QUBT.US,D,20211112,000000,6.6422,6.66,6.3,6.56,709469,0
QUBT.US,D,20211115,000000,6.62,6.75,6.34,6.37,453784,0
QUBT.US,D,20211116,000000,6.4,7.44,6.131,7.42,3063938,0
QUBT.US,D,20211117,000000,7.64,7.6965,6.7,7.26,3165460,0
QUBT.US,D,20211118,000000,7.35,7.66,6.52,6.67,2107979,0
QUBT.US,D,20211119,000000,6.64,6.76,6.42,6.59,548217,0
QUBT.US,D,20211122,000000,6.57,6.65,5.66,5.87,1338669,0
QUBT.US,D,20211123,000000,5.9,5.92,5.3,5.45,763975,0
QUBT.US,D,20211124,000000,5.47,5.9702,5.36,5.92,541561,0
QUBT.US,D,20211126,000000,5.77,5.86,5.5,5.79,218699,0
QUBT.US,D,20211129,000000,5.85,5.87,5.53,5.61,258244,0
QUBT.US,D,20211130,000000,5.5,5.66,5.1901,5.3,468253,0
QUBT.US,D,20211201,000000,5.354,5.55,4.73,4.85,638175,0
QUBT.US,D,20211202,000000,4.85,5.25,4.85,5.14,399148,0
QUBT.US,D,20211203,000000,5.19,5.19,4.41,4.45,588034,0
QUBT.US,D,20211206,000000,4.54,5.06,4.52,4.86,427681,0
QUBT.US,D,20211207,000000,5.1,5.24,4.87,4.94,354131,0
QUBT.US,D,20211208,000000,5.03,5.43,4.94,5.34,257289,0
QUBT.US,D,20211209,000000,5.36,5.42,4.045,4.3,1097369,0
QUBT.US,D,20211210,000000,4.41,4.563,3.97,4.03,831834,0
QUBT.US,D,20211213,000000,3.97,4,3.62,3.65,763310,0
QUBT.US,D,20211214,000000,3.61,3.82,3.4604,3.61,532127,0
QUBT.US,D,20211215,000000,3.65,3.77,3.24,3.7,818755,0
QUBT.US,D,20211216,000000,3.8,3.99,3.65,3.67,355322,0
QUBT.US,D,20211217,000000,3.6,3.75,3.35,3.66,487012,0
QUBT.US,D,20211220,000000,3.6,3.6,3.41,3.44,266308,0
QUBT.US,D,20211221,000000,3.55,3.79,3.48,3.7,512639,0
QUBT.US,D,20211222,000000,3.65,4.28,3.63,4.19,538589,0
QUBT.US,D,20211223,000000,4.13,4.1699,3.81,3.83,366783,0
QUBT.US,D,20211227,000000,3.88,3.95,3.76,3.79,376232,0
QUBT.US,D,20211228,000000,3.71,3.79,3.49,3.49,388079,0
QUBT.US,D,20211229,000000,3.53,3.5649,3.2701,3.34,371610,0
QUBT.US,D,20211230,000000,3.3,3.75,3.3,3.6,421074,0
QUBT.US,D,20211231,000000,3.66,3.76,3.37,3.41,402180,0
QUBT.US,D,20220103,000000,3.48,3.6948,3.3,3.69,242982,0
QUBT.US,D,20220104,000000,3.71,3.75,3.33,3.45,399625,0
QUBT.US,D,20220105,000000,3.44,3.49,3.15,3.22,337875,0
QUBT.US,D,20220106,000000,3.22,3.3588,2.9418,3.12,417219,0
QUBT.US,D,20220107,000000,3.08,3.2,2.91,3,321425,0
QUBT.US,D,20220110,000000,2.95,3.06,2.82,2.92,267725,0
QUBT.US,D,20220111,000000,3.02,3.33,2.97,3.22,338482,0
QUBT.US,D,20220112,000000,3.25,3.3,2.95,3.03,283224,0
QUBT.US,D,20220113,000000,3.01,3.11,2.91,2.95,191012,0
QUBT.US,D,20220114,000000,2.87,2.9692,2.78,2.95,182276,0
QUBT.US,D,20220118,000000,2.87,2.9399,2.69,2.71,205741,0
QUBT.US,D,20220119,000000,2.85,2.9,2.73,2.76,318734,0
QUBT.US,D,20220120,000000,2.79,2.94,2.7,2.72,319158,0
QUBT.US,D,20220121,000000,2.75,2.75,2.42,2.44,350819,0
QUBT.US,D,20220124,000000,2.28,2.4,2.05,2.4,576803,0
QUBT.US,D,20220125,000000,2.35,2.52,2.3301,2.42,173482,0
QUBT.US,D,20220126,000000,2.5,2.61,2.33,2.39,266572,0
QUBT.US,D,20220127,000000,2.34,2.42,2.15,2.21,148164,0
QUBT.US,D,20220128,000000,2.21,2.44,2.11,2.41,133871,0
QUBT.US,D,20220131,000000,2.43,2.8383,2.43,2.69,235862,0
QUBT.US,D,20220201,000000,2.73,2.89,2.65,2.81,145044,0
QUBT.US,D,20220202,000000,2.84,2.8699,2.6,2.65,151536,0
QUBT.US,D,20220203,000000,2.64,2.64,2.4,2.48,129232,0
QUBT.US,D,20220204,000000,2.5,2.6435,2.42,2.52,88847,0
QUBT.US,D,20220207,000000,2.58,2.8423,2.55,2.64,131313,0
QUBT.US,D,20220208,000000,2.63,2.65,2.4201,2.56,81656,0
QUBT.US,D,20220209,000000,2.64,2.84,2.53,2.84,200929,0
QUBT.US,D,20220210,000000,2.85,3.075,2.75,2.82,205691,0
QUBT.US,D,20220211,000000,2.82,2.9529,2.52,2.665,153139,0
QUBT.US,D,20220214,000000,2.72,2.88,2.69,2.81,87198,0
QUBT.US,D,20220215,000000,2.81,2.87,2.73,2.73,106171,0
QUBT.US,D,20220216,000000,2.78,2.95,2.7,2.89,95004,0
QUBT.US,D,20220217,000000,2.86,2.86,2.62,2.71,99338,0
QUBT.US,D,20220218,000000,2.66,2.77,2.5501,2.68,104476,0
QUBT.US,D,20220222,000000,2.65,2.65,2.46,2.59,110274,0
QUBT.US,D,20220223,000000,2.59,2.59,2.35,2.37,111040,0
QUBT.US,D,20220224,000000,2.36,2.75,2.3001,2.74,282783,0
QUBT.US,D,20220225,000000,2.74,2.8,2.65,2.72,112205,0
QUBT.US,D,20220228,000000,2.64,2.8819,2.63,2.74,87995,0
QUBT.US,D,20220301,000000,2.79,2.7902,2.6,2.63,94356,0
QUBT.US,D,20220302,000000,2.63,2.7,2.52,2.59,82099,0
QUBT.US,D,20220303,000000,2.59,2.69,2.46,2.55,60948,0
QUBT.US,D,20220304,000000,2.57,2.57,2.32,2.37,78840,0
QUBT.US,D,20220307,000000,2.35,2.38,2.2,2.22,116114,0
QUBT.US,D,20220308,000000,2.25,2.38,2.12,2.17,333932,0
QUBT.US,D,20220309,000000,2.35,2.37,2.2114,2.27,115646,0
QUBT.US,D,20220310,000000,2.22,2.34,2.2,2.31,60447,0
QUBT.US,D,20220311,000000,2.32,2.3598,2.12,2.18,91068,0
QUBT.US,D,20220314,000000,2.2,2.22,1.9327,1.97,175105,0
QUBT.US,D,20220315,000000,2.04,2.12,1.96,2.02,78984,0
QUBT.US,D,20220316,000000,2.02,2.35,2,2.29,203489,0
QUBT.US,D,20220317,000000,2.44,2.6,2.3,2.55,187340,0
QUBT.US,D,20220318,000000,2.56,2.7428,2.51,2.59,119453,0
QUBT.US,D,20220321,000000,2.65,2.68,2.5,2.58,88274,0
QUBT.US,D,20220322,000000,2.58,2.7,2.58,2.68,72115,0
QUBT.US,D,20220323,000000,2.7,2.7,2.5452,2.63,70168,0
QUBT.US,D,20220324,000000,2.7,3.09,2.56,2.98,229279,0
QUBT.US,D,20220325,000000,2.95,2.95,2.6,2.61,171731,0
QUBT.US,D,20220328,000000,2.6,2.75,2.49,2.56,114811,0
QUBT.US,D,20220329,000000,2.62,2.83,2.57,2.69,168946,0
QUBT.US,D,20220330,000000,2.6,2.79,2.57,2.62,128257,0
QUBT.US,D,20220331,000000,2.6,2.71,2.56,2.6,51071,0
QUBT.US,D,20220401,000000,2.6,2.75,2.58,2.71,65736,0
QUBT.US,D,20220404,000000,2.71,2.75,2.49,2.52,159304,0
QUBT.US,D,20220405,000000,2.5,2.55,2.46,2.46,76647,0
QUBT.US,D,20220406,000000,2.5,2.5001,2.22,2.43,111115,0
QUBT.US,D,20220407,000000,2.31,2.4213,2.17,2.26,82847,0
QUBT.US,D,20220408,000000,2.26,2.33,2.21,2.28,49142,0
QUBT.US,D,20220411,000000,2.36,2.36,2.15,2.27,59532,0
QUBT.US,D,20220412,000000,2.31,2.31,2.1,2.18,113414,0
QUBT.US,D,20220413,000000,2.22,2.22,2.14,2.21,45810,0
QUBT.US,D,20220414,000000,2.19,2.25,2.08,2.16,67554,0
QUBT.US,D,20220418,000000,2.11,2.21,2,2.04,74500,0
QUBT.US,D,20220419,000000,2.05,2.12,2.05,2.07,42915,0
QUBT.US,D,20220420,000000,2.27,2.42,2.01,2.04,66252,0
QUBT.US,D,20220421,000000,2.03,2.0838,1.87,1.87,238902,0
QUBT.US,D,20220422,000000,1.9,2.04,1.7,1.78,140018,0
QUBT.US,D,20220425,000000,1.84,1.9448,1.71,1.76,95545,0
QUBT.US,D,20220426,000000,1.76,1.77,1.59,1.63,149435,0
QUBT.US,D,20220427,000000,1.65,1.66,1.47,1.52,147585,0
QUBT.US,D,20220428,000000,1.58,1.6,1.5,1.56,103936,0
QUBT.US,D,20220429,000000,1.56,1.57,1.51,1.53,54198,0
QUBT.US,D,20220502,000000,1.54,1.56,1.45,1.52,134432,0
QUBT.US,D,20220503,000000,1.55,1.58,1.5,1.53,48984,0
QUBT.US,D,20220504,000000,1.59,1.6,1.42,1.54,199558,0
QUBT.US,D,20220505,000000,1.64,1.73,1.499,1.68,228923,0
QUBT.US,D,20220506,000000,1.69,2.1,1.69,1.78,391141,0
QUBT.US,D,20220509,000000,1.76,1.8,1.64,1.67,157174,0
QUBT.US,D,20220510,000000,1.75,1.75,1.5,1.53,146733,0
QUBT.US,D,20220511,000000,1.55,1.66,1.5,1.52,81930,0
QUBT.US,D,20220512,000000,1.5,1.62,1.48,1.54,86693,0
QUBT.US,D,20220513,000000,1.65,1.65,1.5401,1.62,86820,0
QUBT.US,D,20220516,000000,1.69,1.69,1.5101,1.52,67059,0
QUBT.US,D,20220517,000000,1.51,1.5922,1.5,1.55,89024,0
QUBT.US,D,20220518,000000,1.61,1.61,1.43,1.48,145150,0
QUBT.US,D,20220519,000000,1.5,1.59,1.4517,1.52,89293,0
QUBT.US,D,20220520,000000,1.58,1.58,1.4723,1.5,43210,0
QUBT.US,D,20220523,000000,1.55,1.62,1.5,1.57,65802,0
QUBT.US,D,20220524,000000,1.53,2.25,1.53,1.97,5139109,0
QUBT.US,D,20220525,000000,1.96,2.3,1.73,2.25,1101933,0
QUBT.US,D,20220526,000000,2.3,2.45,2.0316,2.1,645534,0
QUBT.US,D,20220527,000000,2.1,2.1687,2,2.07,181029,0
