config_id,year,start,end,top_n,market_ma_days,transaction_cost_bps,minimum_price,minimum_median_dollar_volume,minimum_eps_growth,minimum_relative_volume,minimum_52_week_high_ratio,maximum_financial_age_days,maximum_position_weight,signal_frequency,use_quarterly_fundamentals,minimum_revenue_growth,price_channel,keltner_window,keltner_atr_window,keltner_multiplier,selection_mode,ensemble_weight,strategy,nasdaq,excess_vs_nasdaq
0,2019,2019-01-01,2026-07-17,3,200,10.0,10.0,2000000.0,0.25,0.8,0.85,150,0.3333333333333333,monthly,True,0.1,none,20,14,1.5,growth,1.0,-0.17840768216935032,0.35225640371638733,-0.5306640858857377
0,2020,2019-01-01,2026-07-17,3,200,10.0,10.0,2000000.0,0.25,0.8,0.85,150,0.3333333333333333,monthly,True,0.1,none,20,14,1.5,growth,1.0,0.7895976364439619,0.4364044730135952,0.35319316343036666
0,2021,2019-01-01,2026-07-17,3,200,10.0,10.0,2000000.0,0.25,0.8,0.85,150,0.3333333333333333,monthly,True,0.1,none,20,14,1.5,growth,1.0,0.03772720201882995,0.21389107231062865,-0.1761638702917987
0,2022,2019-01-01,2026-07-17,3,200,10.0,10.0,2000000.0,0.25,0.8,0.85,150,0.3333333333333333,monthly,True,0.1,none,20,14,1.5,growth,1.0,-0.21081041989644878,-0.3310002555645566,0.12018983566810781
0,2023,2019-01-01,2026-07-17,3,200,10.0,10.0,2000000.0,0.25,0.8,0.85,150,0.3333333333333333,monthly,True,0.1,none,20,14,1.5,growth,1.0,0.08071449227211547,0.43423103966916465,-0.3535165473970492
0,2024,2019-01-01,2026-07-17,3,200,10.0,10.0,2000000.0,0.25,0.8,0.85,150,0.3333333333333333,monthly,True,0.1,none,20,14,1.5,growth,1.0,2.607566746094113,0.28641246683135235,2.3211542792627604
0,2025,2019-01-01,2026-07-17,3,200,10.0,10.0,2000000.0,0.25,0.8,0.85,150,0.3333333333333333,monthly,True,0.1,none,20,14,1.5,growth,1.0,-0.12890062964912063,0.20357524453555675,-0.3324758741846774
0,2026,2019-01-01,2026-07-17,3,200,10.0,10.0,2000000.0,0.25,0.8,0.85,150,0.3333333333333333,monthly,True,0.1,none,20,14,1.5,growth,1.0,0.23203257506267483,0.09802301782248235,0.13400955724019248
1,2019,2019-01-01,2026-07-17,3,200,10.0,10.0,2000000.0,0.25,0.8,0.85,365,0.3333333333333333,monthly,True,0.1,none,20,14,1.5,growth,1.0,-0.12730131986820703,0.35225640371638733,-0.47955772358459436
1,2020,2019-01-01,2026-07-17,3,200,10.0,10.0,2000000.0,0.25,0.8,0.85,365,0.3333333333333333,monthly,True,0.1,none,20,14,1.5,growth,1.0,0.7895976364439656,0.4364044730135952,0.35319316343037044
1,2021,2019-01-01,2026-07-17,3,200,10.0,10.0,2000000.0,0.25,0.8,0.85,365,0.3333333333333333,monthly,True,0.1,none,20,14,1.5,growth,1.0,0.037727202018833284,0.21389107231062865,-0.17616387029179537
1,2022,2019-01-01,2026-07-17,3,200,10.0,10.0,2000000.0,0.25,0.8,0.85,365,0.3333333333333333,monthly,True,0.1,none,20,14,1.5,growth,1.0,-0.2108104198964489,-0.3310002555645566,0.1201898356681077
1,2023,2019-01-01,2026-07-17,3,200,10.0,10.0,2000000.0,0.25,0.8,0.85,365,0.3333333333333333,monthly,True,0.1,none,20,14,1.5,growth,1.0,0.08071449227211591,0.43423103966916465,-0.35351654739704874
1,2024,2019-01-01,2026-07-17,3,200,10.0,10.0,2000000.0,0.25,0.8,0.85,365,0.3333333333333333,monthly,True,0.1,none,20,14,1.5,growth,1.0,2.6075667460941077,0.28641246683135235,2.321154279262755
1,2025,2019-01-01,2026-07-17,3,200,10.0,10.0,2000000.0,0.25,0.8,0.85,365,0.3333333333333333,monthly,True,0.1,none,20,14,1.5,growth,1.0,-0.1289006296491172,0.20357524453555675,-0.33247587418467395
1,2026,2019-01-01,2026-07-17,3,200,10.0,10.0,2000000.0,0.25,0.8,0.85,365,0.3333333333333333,monthly,True,0.1,none,20,14,1.5,growth,1.0,0.23203257506267105,0.09802301782248235,0.1340095572401887
2,2019,2019-01-01,2026-07-17,3,200,10.0,10.0,2000000.0,0.25,0.8,0.85,550,0.3333333333333333,monthly,True,0.1,none,20,14,1.5,growth,1.0,-0.12730131986820703,0.35225640371638733,-0.47955772358459436
2,2020,2019-01-01,2026-07-17,3,200,10.0,10.0,2000000.0,0.25,0.8,0.85,550,0.3333333333333333,monthly,True,0.1,none,20,14,1.5,growth,1.0,0.7895976364439656,0.4364044730135952,0.35319316343037044
2,2021,2019-01-01,2026-07-17,3,200,10.0,10.0,2000000.0,0.25,0.8,0.85,550,0.3333333333333333,monthly,True,0.1,none,20,14,1.5,growth,1.0,0.037727202018833284,0.21389107231062865,-0.17616387029179537
2,2022,2019-01-01,2026-07-17,3,200,10.0,10.0,2000000.0,0.25,0.8,0.85,550,0.3333333333333333,monthly,True,0.1,none,20,14,1.5,growth,1.0,-0.2108104198964489,-0.3310002555645566,0.1201898356681077
2,2023,2019-01-01,2026-07-17,3,200,10.0,10.0,2000000.0,0.25,0.8,0.85,550,0.3333333333333333,monthly,True,0.1,none,20,14,1.5,growth,1.0,0.08071449227211591,0.43423103966916465,-0.35351654739704874
2,2024,2019-01-01,2026-07-17,3,200,10.0,10.0,2000000.0,0.25,0.8,0.85,550,0.3333333333333333,monthly,True,0.1,none,20,14,1.5,growth,1.0,2.6075667460941077,0.28641246683135235,2.321154279262755
2,2025,2019-01-01,2026-07-17,3,200,10.0,10.0,2000000.0,0.25,0.8,0.85,550,0.3333333333333333,monthly,True,0.1,none,20,14,1.5,growth,1.0,-0.1289006296491172,0.20357524453555675,-0.33247587418467395
2,2026,2019-01-01,2026-07-17,3,200,10.0,10.0,2000000.0,0.25,0.8,0.85,550,0.3333333333333333,monthly,True,0.1,none,20,14,1.5,growth,1.0,0.23203257506267105,0.09802301782248235,0.1340095572401887
3,2019,2019-01-01,2026-07-17,3,200,10.0,10.0,10000000.0,0.25,0.8,0.85,150,0.3333333333333333,monthly,True,0.1,none,20,14,1.5,growth,1.0,-0.23262999175478982,0.35225640371638733,-0.5848863954711772
3,2020,2019-01-01,2026-07-17,3,200,10.0,10.0,10000000.0,0.25,0.8,0.85,150,0.3333333333333333,monthly,True,0.1,none,20,14,1.5,growth,1.0,0.9962908656983747,0.4364044730135952,0.5598863926847795
3,2021,2019-01-01,2026-07-17,3,200,10.0,10.0,10000000.0,0.25,0.8,0.85,150,0.3333333333333333,monthly,True,0.1,none,20,14,1.5,growth,1.0,0.1613649054919013,0.21389107231062865,-0.05252616681872735
3,2022,2019-01-01,2026-07-17,3,200,10.0,10.0,10000000.0,0.25,0.8,0.85,150,0.3333333333333333,monthly,True,0.1,none,20,14,1.5,growth,1.0,-0.18511262178252663,-0.3310002555645566,0.14588763378202996
3,2023,2019-01-01,2026-07-17,3,200,10.0,10.0,10000000.0,0.25,0.8,0.85,150,0.3333333333333333,monthly,True,0.1,none,20,14,1.5,growth,1.0,0.4085210636786476,0.43423103966916465,-0.025709975990517053
3,2024,2019-01-01,2026-07-17,3,200,10.0,10.0,10000000.0,0.25,0.8,0.85,150,0.3333333333333333,monthly,True,0.1,none,20,14,1.5,growth,1.0,2.598869927465645,0.28641246683135235,2.3124574606342927
3,2025,2019-01-01,2026-07-17,3,200,10.0,10.0,10000000.0,0.25,0.8,0.85,150,0.3333333333333333,monthly,True,0.1,none,20,14,1.5,growth,1.0,0.22847423969527347,0.20357524453555675,0.02489899515971672
