date,strategy,benchmark,invested,turnover,transaction_cost,holdings,stop_exits,stop_pending,portfolio_peak,portfolio_value,cash,qqq
2026-01-02,-0.00497512437810943,-0.00027364266140728066,1.0000000000000002,0.9950248756218907,0.0049751243781094535,5,0,0,0.9950248756218906,0.9950248756218906,-1.3444106938820255e-16,-0.0019371327180087716
2026-01-05,-0.0009587586660954051,0.006894153504768186,1.0000000000000002,0.0,0.0,5,0,0,0.9950248756218906,0.9940708868994076,-1.3444106938820255e-16,0.007942980167014335
2026-01-06,0.04730208176717943,0.006469104310086182,1.0000000000000002,0.0,0.0,5,0,0,1.0410925092738958,1.0410925092738958,-1.3444106938820255e-16,0.008786549944173716
2026-01-07,-0.005700139920380987,0.0015755608848113667,1.0000000000000002,0.0,0.0,5,0,0,1.0410925092738958,1.035158136300974,-1.3444106938820255e-16,0.0009624330307016482
2026-01-08,-0.040617786167588266,-0.004420319136441364,1.0000000000000002,0.0,0.0,5,0,0,1.0410925092738958,0.9931123044710619,-1.3444106938820255e-16,-0.005688920226915695
2026-01-09,0.021373754005167278,0.008148630197078122,1.0000000000000002,0.0,0.0,5,0,0,1.0410925092738958,1.0143388425663311,-1.3444106938820255e-16,0.009960191467758284
2026-01-12,-0.0018833365506769617,0.0026424348421194566,1.0000000000000002,0.0,0.0,5,0,0,1.0410925092738958,1.0124285011493546,-1.3444106938820255e-16,0.0008298093034391218
2026-01-13,0.005669269160245793,-0.001012475825717729,1.0000000000000002,0.0,0.0,5,0,0,1.0410925092738958,1.0181682308278746,-1.3444106938820255e-16,-0.0014828515394549324
2026-01-14,-0.021363536825048546,-0.010043074888221648,1.0000000000000002,0.0,0.0,5,0,0,1.0410925092738958,0.9964165563344888,-1.3444106938820255e-16,-0.010682805314256583
2026-01-15,0.012080343679585104,0.0024825588207100235,1.0000000000000002,0.0,0.0,5,0,0,1.0410925092738958,1.008453610783038,-1.3444106938820255e-16,0.003599386651601977
2026-01-16,0.003332340941775813,-0.0006217589275318014,1.0000000000000002,0.0,0.0,5,0,0,1.0410925092738958,1.011814122038132,-1.3444106938820255e-16,-0.0008363086622277249
2026-01-20,0.004337535481542476,-0.02385969358790141,1.0000000000000002,0.0,0.0,5,0,0,1.0410925092738958,1.0162029016931982,-1.3444106938820255e-16,-0.021247142903132454
2026-01-21,0.031823559923468636,0.011784274158415542,1.0000000000000002,0.0,0.0,5,0,0,1.0485420956296343,1.0485420956296343,-1.3444106938820255e-16,0.01351840278919858
2026-01-22,-0.004051460269521967,0.009093719563811442,1.0000000000000002,0.0,0.0,5,0,0,1.0485420956296343,1.0442939689882695,-1.3444106938820255e-16,0.007269422989550245
2026-01-23,-0.009102076311294893,0.0027828957305890967,1.0000000000000002,0.0,0.0,5,0,0,1.0485420956296343,1.0347887255911132,-1.3444106938820255e-16,0.003157419936851591
2026-01-26,-0.01095019355227489,0.004260200738343878,1.0000000000000002,0.0,0.0,5,0,0,1.0485420956296343,1.0234575887601787,-1.3444106938820255e-16,0.004400051387461579
2026-01-27,0.02504459018789107,0.009140998654314725,1.0000000000000002,0.0,0.0,5,0,0,1.0490896646453645,1.0490896646453645,-1.3444106938820255e-16,0.009065327918651889
2026-01-28,0.03070400281325192,0.0016941609179959016,1.0000000000000002,0.0,0.0,5,0,0,1.0813009166599892,1.0813009166599892,-1.3444106938820255e-16,0.0033115206058973445
2026-01-29,-0.0017876224110192629,-0.007223320178812109,1.0000000000000002,0.0,0.0,5,0,0,1.0813009166599892,1.079367958908312,-1.3444106938820255e-16,-0.005985281576703305
2026-01-30,-0.019756753544784456,-0.009427860192390836,1.0000000000000002,0.0,0.0,5,0,0,1.0813009166599892,1.0580431521600235,-1.3444106938820255e-16,-0.012010866974882073
2026-02-02,0.03509291743472254,0.005553277622963648,0.9999999999999983,1.20025133934199,0.0066120950186288946,5,0,0,1.0951729731411488,1.0951729731411488,1.6870185803874449e-15,0.006866386865421958
2026-02-03,0.01102000868778652,-0.014281045654670255,0.9999999999999984,0.0,0.0,5,0,0,1.1072417888197932,1.1072417888197932,1.6870185803874449e-15,-0.01536397610757978
2026-02-04,-0.047841633576271136,-0.015076634506103637,0.9999999999999983,0.0,0.0,5,0,0,1.1072417888197932,1.0542695328787417,1.6870185803874449e-15,-0.017469019658729712
2026-02-05,0.010408164364415384,-0.01589158150902581,0.9999999999999983,0.0,0.0,5,0,0,1.1072417888197932,1.065242543461339,1.6870185803874449e-15,-0.014395377631035933
2026-02-06,0.07234002480974278,0.021766067347837703,0.9999999999999984,0.0,0.0,5,0,0,1.142302215483726,1.142302215483726,1.6870185803874449e-15,0.02113796626635156
