<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BRIA.US,D,20241127,000000,3.88,4.34,3.21,4,456052,0
BRIA.US,D,20241129,000000,4,4.0499,3.86,3.94,45028,0
BRIA.US,D,20241202,000000,3.9,3.9737,3.81,3.81,22596,0
BRIA.US,D,20241203,000000,3.78,3.85,3.77,3.77,35524,0
BRIA.US,D,20241204,000000,3.78,3.98,3.76,3.9,14498,0
BRIA.US,D,20241205,000000,3.9083,4.1323,3.71,4.01,113209,0
BRIA.US,D,20241206,000000,4.18,4.18,3.58,3.89,70550,0
BRIA.US,D,20241209,000000,3.8799,3.88,3.81,3.81,11391,0
BRIA.US,D,20241210,000000,3.85,4.04,3.81,3.93,61774,0
BRIA.US,D,20241211,000000,3.96,4.02,3.6,3.95,67190,0
BRIA.US,D,20241212,000000,4.04,4.04,3.8,3.88,36000,0
BRIA.US,D,20241213,000000,3.82,4.06,3.8,3.9,60204,0
BRIA.US,D,20241216,000000,3.945,4.02,3.85,3.85,2505,0
BRIA.US,D,20241217,000000,3.9,3.9,3.86,3.86,1089,0
BRIA.US,D,20241218,000000,3.7623,4,3.7623,4,4028,0
BRIA.US,D,20241219,000000,4,4.15,3.82,4,111576,0
BRIA.US,D,20241220,000000,3.95,4.07,3.87,4.01,17188,0
BRIA.US,D,20241223,000000,3.91,4.02,3.8,4,22141,0
BRIA.US,D,20241224,000000,4.05,4.17,4.0046,4.15,16209,0
BRIA.US,D,20241226,000000,4,4.05,3.74,4.02,26863,0
BRIA.US,D,20241227,000000,3.95,4,3.9,3.99,2144,0
BRIA.US,D,20241230,000000,3.9812,4.38,3.6712,4.25,39333,0
BRIA.US,D,20241231,000000,4.24,4.36,3.81,3.81,29897,0
BRIA.US,D,20250102,000000,3.89,4.15,3.76,3.93,31045,0
BRIA.US,D,20250103,000000,3.85,4.04,3.67,3.97,39286,0
BRIA.US,D,20250106,000000,3.98,4.06,3.75,3.9911,26715,0
BRIA.US,D,20250107,000000,4,4.15,3.95,3.95,34321,0
BRIA.US,D,20250108,000000,3.96,4,3.95,3.96,8165,0
BRIA.US,D,20250110,000000,4,4.08,3.98,3.99,32143,0
BRIA.US,D,20250113,000000,3.9908,4,3.285,3.58,226871,0
BRIA.US,D,20250114,000000,3.8344,4,3.62,3.62,48343,0
BRIA.US,D,20250115,000000,3.69,3.93,3.62,3.65,18937,0
BRIA.US,D,20250116,000000,3.6663,3.92,3.65,3.73,25336,0
BRIA.US,D,20250117,000000,3.9785,3.9785,3.65,3.65,10812,0
BRIA.US,D,20250121,000000,3.99,3.99,3.66,3.77,22318,0
BRIA.US,D,20250122,000000,3.6985,3.95,3.67,3.76,7610,0
BRIA.US,D,20250123,000000,3.77,3.82,3.72,3.72,6054,0
BRIA.US,D,20250124,000000,3.67,3.68,3.465,3.6,8455,0
BRIA.US,D,20250127,000000,3.5841,3.72,3.34,3.46,37961,0
BRIA.US,D,20250128,000000,3.5485,3.87,3.34,3.43,51167,0
BRIA.US,D,20250129,000000,3.4491,3.7199,3.39,3.41,18713,0
BRIA.US,D,20250130,000000,3.4999,3.59,3.45,3.45,5801,0
BRIA.US,D,20250131,000000,3.6975,3.6975,3.4,3.45,4108,0
BRIA.US,D,20250203,000000,3.4901,3.5099,3.39,3.45,4958,0
BRIA.US,D,20250204,000000,3.4792,3.5,3.43,3.44,7493,0
BRIA.US,D,20250205,000000,3.4,3.44,3.18,3.35,30409,0
BRIA.US,D,20250206,000000,3.37,3.37,3.16,3.16,2473,0
BRIA.US,D,20250207,000000,3.3784,3.3899,2.9,2.99,44493,0
BRIA.US,D,20250210,000000,3.1,3.2,2.94,3.096,16548,0
BRIA.US,D,20250211,000000,3.06,3.22,3,3.19,18400,0
BRIA.US,D,20250212,000000,3.01,3.22,3.01,3.1,14934,0
BRIA.US,D,20250213,000000,3,3.3941,3,3.3941,2026,0
BRIA.US,D,20250214,000000,3.2,3.3227,3.0339,3.3227,7914,0
BRIA.US,D,20250218,000000,3.11,3.3975,3.11,3.18,14979,0
BRIA.US,D,20250219,000000,3.12,3.16,2.95,3.16,4959,0
BRIA.US,D,20250220,000000,3.02,3.06,3.0002,3.046,3214,0
BRIA.US,D,20250221,000000,3.19,3.2947,3.02,3.02,5344,0
BRIA.US,D,20250225,000000,3.2,3.2,3.01,3.092,3444,0
BRIA.US,D,20250226,000000,3.01,3.16,2.965,3.0594,7530,0
BRIA.US,D,20250227,000000,2.9778,3.0264,2.57,3.0253,2369,0
BRIA.US,D,20250228,000000,2.94,2.9413,2.92,2.92,3371,0
BRIA.US,D,20250303,000000,3,3.3216,2.76,3.2317,90743,0
BRIA.US,D,20250304,000000,3.08,3.13,2.71,3.0493,37253,0
BRIA.US,D,20250305,000000,2.95,3.15,2.59,2.93,49078,0
BRIA.US,D,20250306,000000,2.83,2.9501,2.72,2.93,2311,0
BRIA.US,D,20250307,000000,2.77,2.996,2.3,2.9019,42770,0
BRIA.US,D,20250310,000000,2.95,2.9968,2.55,2.698,62782,0
BRIA.US,D,20250311,000000,2.62,2.8,2.465,2.65,45517,0
BRIA.US,D,20250312,000000,2.82,2.9816,2.46,2.63,9533,0
BRIA.US,D,20250313,000000,2.7,2.8,2.4,2.46,12770,0
BRIA.US,D,20250314,000000,2.55,2.93,2.33,2.69,10130,0
BRIA.US,D,20250317,000000,2.7063,2.77,2.5,2.6197,31158,0
BRIA.US,D,20250318,000000,2.7,2.71,2.3,2.5802,13567,0
BRIA.US,D,20250319,000000,2.5795,2.6,2.465,2.5439,3322,0
BRIA.US,D,20250320,000000,2.6,3,2.39,2.57,52089,0
BRIA.US,D,20250321,000000,2.53,2.56,2.3,2.52,12537,0
BRIA.US,D,20250324,000000,2.61,2.91,2.43,2.54,14204,0
