<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PIPE.US,D,20250225,000000,24.35,24.35,23.9399,24.2531,435,0
PIPE.US,D,20250226,000000,24.47,24.71,24.32,24.4434,18072,0
PIPE.US,D,20250303,000000,25.1,25.24,24.6143,24.6143,10170,0
PIPE.US,D,20250304,000000,24.02,24.39,24.02,24.2402,10181,0
PIPE.US,D,20250305,000000,24.02,24.188,24.01,24.188,10817,0
PIPE.US,D,20250306,000000,23.89,23.89,23.5127,23.5127,100120,0
PIPE.US,D,20250307,000000,23.68,23.68,23.6116,23.6116,10001,0
PIPE.US,D,20250310,000000,23.58,23.6825,23.58,23.6825,10040,0
PIPE.US,D,20250311,000000,23.91,23.9591,23.9063,23.9063,10666,0
PIPE.US,D,20250312,000000,24.13,24.2281,24.13,24.2281,10011,0
PIPE.US,D,20250313,000000,24.12,24.12,24.0238,24.0238,10430,0
PIPE.US,D,20250314,000000,24.48,24.6,24.48,24.523,10106,0
PIPE.US,D,20250317,000000,25,25.08,24.993,24.993,10603,0
PIPE.US,D,20250318,000000,24.96,24.9714,24.93,24.9714,10161,0
PIPE.US,D,20250319,000000,25.13,25.2699,25.13,25.2699,10003,0
PIPE.US,D,20250320,000000,25.37,25.4225,25.37,25.4225,10021,0
PIPE.US,D,20250321,000000,25.21,25.21,25.1992,25.1992,10030,0
PIPE.US,D,20250324,000000,25.41,25.5478,25.41,25.5478,10764,0
PIPE.US,D,20250325,000000,25.6,25.72,25.5011,25.5011,10120,0
PIPE.US,D,20250326,000000,25.45,25.45,25.4101,25.4101,10520,0
PIPE.US,D,20250327,000000,25.28,25.385,25.28,25.385,10010,0
PIPE.US,D,20250328,000000,25.07,25.169,25.07,25.169,10691,0
PIPE.US,D,20250331,000000,25.25,25.25,25.24,25.245,10495,0
PIPE.US,D,20250401,000000,24.95,25.3802,24.95,25.3802,10090,0
PIPE.US,D,20250402,000000,25.47,25.6932,25.47,25.6932,12217,0
PIPE.US,D,20250403,000000,24.97,24.975,24.97,24.975,50005,0
PIPE.US,D,20250404,000000,23.04,23.04,23,23,100981,0
