<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SARO.US,D,20241002,000000,31,33.01,30.76,32.75,20299857,0
SARO.US,D,20241003,000000,32.24,33.25,32.12,32.97,5358388,0
SARO.US,D,20241004,000000,32.81,33.2,32.26,32.5,1748911,0
SARO.US,D,20241007,000000,32.37,33.23,32.2,32.41,2532225,0
SARO.US,D,20241008,000000,32.41,33.75,32.27,32.89,8476112,0
SARO.US,D,20241009,000000,32.95,34.38,32.41,32.41,1788224,0
SARO.US,D,20241010,000000,32.24,32.49,31.48,31.6,1449423,0
SARO.US,D,20241011,000000,31.6,32.05,30.73,30.75,1540758,0
SARO.US,D,20241014,000000,31.15,31.71,30.59,31.7,1216231,0
SARO.US,D,20241015,000000,31.66,32.6,31.545,32.34,1396970,0
SARO.US,D,20241016,000000,32.36,32.5899,31.43,32.08,797661,0
SARO.US,D,20241017,000000,32.27,33,32.13,32.69,580253,0
SARO.US,D,20241018,000000,32.5,32.58,31.3,31.52,838045,0
SARO.US,D,20241021,000000,31.35,32.38,31.02,32.05,1140915,0
SARO.US,D,20241022,000000,32.16,32.1898,30.88,31.17,744162,0
SARO.US,D,20241023,000000,30.99,31.8,30.99,31.36,434396,0
SARO.US,D,20241024,000000,31.25,32,31.11,31.17,867339,0
SARO.US,D,20241025,000000,31.1,31.42,30,30.25,1317125,0
SARO.US,D,20241028,000000,30,30.82,29.27,29.71,1773633,0
SARO.US,D,20241029,000000,29.3,29.59,28.41,29.2,2339134,0
SARO.US,D,20241030,000000,29.1,29.6,28.9753,29.39,429376,0
SARO.US,D,20241031,000000,29.19,29.65,28.71,28.85,452956,0
SARO.US,D,20241101,000000,29,29.2125,28.45,28.5,1388233,0
SARO.US,D,20241104,000000,28.5,29.08,28.25,28.61,1182052,0
SARO.US,D,20241105,000000,28.5,29.53,28.185,29.02,3160454,0
SARO.US,D,20241106,000000,29.56,30.57,29.2,30.04,1032470,0
SARO.US,D,20241107,000000,30.08,30.21,29.1,29.27,398942,0
SARO.US,D,20241108,000000,29.16,30.19,28.88,29.76,652386,0
SARO.US,D,20241111,000000,29.86,30.36,29.75,29.9,558226,0
SARO.US,D,20241112,000000,29.95,30.03,29.12,29.32,1072696,0
SARO.US,D,20241113,000000,29.275,29.475,28.27,29.07,1721947,0
SARO.US,D,20241114,000000,28.32,28.92,26.96,27.1,2488129,0
SARO.US,D,20241115,000000,27.19,28.16,26.78,28.15,1147273,0
SARO.US,D,20241118,000000,28.17,28.71,28.01,28.53,724443,0
SARO.US,D,20241119,000000,28.59,28.73,28,28.35,1597632,0
SARO.US,D,20241120,000000,28.395,28.63,28,28.52,544098,0
SARO.US,D,20241121,000000,28.415,29.23,28.32,28.88,1219138,0
SARO.US,D,20241122,000000,28.84,29.15,28.13,28.66,1594148,0
SARO.US,D,20241125,000000,28.48,29.3,28.32,29.24,790707,0
SARO.US,D,20241126,000000,28.92,29.79,28.85,29.37,878049,0
SARO.US,D,20241127,000000,29.055,29.75,28.49,28.5,896452,0
SARO.US,D,20241129,000000,28.61,28.91,28.4,28.66,574947,0
SARO.US,D,20241202,000000,28.825,28.825,27.75,28.05,869612,0
SARO.US,D,20241203,000000,27.84,28.81,27.84,28.26,891917,0
SARO.US,D,20241204,000000,28.055,28.63,27.86,28.4,414661,0
SARO.US,D,20241205,000000,28.14,28.71,28.07,28.31,1354905,0
SARO.US,D,20241206,000000,28.28,28.47,28,28.45,1000474,0
SARO.US,D,20241209,000000,28.44,29,27.09,27.21,1180875,0
SARO.US,D,20241210,000000,26.96,27.59,25.93,27,1303025,0
SARO.US,D,20241211,000000,26.9,27.385,26.63,27.28,693026,0
SARO.US,D,20241212,000000,27,27.19,25.55,25.61,1676853,0
SARO.US,D,20241213,000000,25.51,26.13,25.49,26.1,1328201,0
SARO.US,D,20241216,000000,26.32,26.87,25.9,26.19,1662698,0
SARO.US,D,20241217,000000,26,26.15,25.43,25.43,1338357,0
SARO.US,D,20241218,000000,25.445,25.73,24.55,24.98,2235547,0
SARO.US,D,20241219,000000,24.91,25.32,24.58,25.01,2368495,0
SARO.US,D,20241220,000000,25.22,26.18,24.96,26.07,12592158,0
SARO.US,D,20241223,000000,25.7391,25.74,25.12,25.4,2729202,0
SARO.US,D,20241224,000000,25.47,25.83,25.225,25.48,630692,0
SARO.US,D,20241226,000000,25.38,26.33,25.35,25.5,1117571,0
SARO.US,D,20241227,000000,25.43,25.81,25.175,25.58,1065730,0
SARO.US,D,20241230,000000,25.33,25.56,24.81,25.37,1066772,0
SARO.US,D,20241231,000000,25.495,25.98,24.63,24.76,1742204,0
SARO.US,D,20250102,000000,24.965,25.37,24.53,24.54,1274750,0
SARO.US,D,20250103,000000,24.72,24.72,24.03,24.04,1959745,0
SARO.US,D,20250106,000000,24.16,24.16,23.6068,23.8,3133573,0
SARO.US,D,20250107,000000,23.805,23.95,22.8,23,3527983,0
SARO.US,D,20250108,000000,22.84,23.06,22.5,23.04,2313444,0
SARO.US,D,20250110,000000,22.955,23.5806,22.825,23.21,2093678,0
SARO.US,D,20250113,000000,23,23.345,22.85,23.16,2147346,0
SARO.US,D,20250114,000000,23.37,24.165,23.01,24.01,1228077,0
SARO.US,D,20250115,000000,24.68,24.719,24.025,24.09,1593806,0
SARO.US,D,20250116,000000,24.32,24.62,23.81,23.82,915698,0
SARO.US,D,20250117,000000,23.81,24.66,23.77,24.64,1398133,0
SARO.US,D,20250121,000000,24.91,25.14,24.415,25.05,2091435,0
SARO.US,D,20250122,000000,25.18,25.21,24.61,24.9,2043490,0
SARO.US,D,20250123,000000,25.18,27.09,25.13,26.9,2117866,0
SARO.US,D,20250124,000000,26.53,27.07,26.02,26.04,1317947,0
SARO.US,D,20250127,000000,25.855,26.33,25.6501,26.13,910227,0
SARO.US,D,20250128,000000,26.7,26.7,25.82,26.03,494786,0
SARO.US,D,20250129,000000,26.12,26.51,25.91,26.09,730086,0
SARO.US,D,20250130,000000,26.32,27.17,26.22,26.9,760738,0
SARO.US,D,20250131,000000,27.18,27.28,26.7,26.84,845573,0
SARO.US,D,20250203,000000,26.46,27.395,26.113,27.1,1001346,0
SARO.US,D,20250204,000000,27.17,27.4,26.88,27.05,1201650,0
SARO.US,D,20250205,000000,26.98,27.97,26.98,27.17,866901,0
SARO.US,D,20250206,000000,27.21,27.38,26.66,27.05,966876,0
SARO.US,D,20250207,000000,27.33,27.68,26.995,27.42,789852,0
SARO.US,D,20250210,000000,27.12,27.46,27.03,27.35,354622,0
SARO.US,D,20250211,000000,27.3,27.72,27.04,27.59,779823,0
SARO.US,D,20250212,000000,27.26,27.925,27.205,27.81,585279,0
SARO.US,D,20250213,000000,28,28.05,26.82,26.99,848837,0
SARO.US,D,20250214,000000,27.01,27.27,25.76,26.58,968306,0
SARO.US,D,20250218,000000,26.9,27.015,26.265,26.88,610885,0
SARO.US,D,20250219,000000,27.02,27.23,26.64,27.1,1918504,0
SARO.US,D,20250220,000000,27.04,27.3,26.72,27.23,645866,0
SARO.US,D,20250221,000000,27.28,27.375,26.13,26.13,722737,0
SARO.US,D,20250224,000000,26.03,26.46,25.805,26.24,511570,0
SARO.US,D,20250225,000000,26.245,27.15,26.035,26.93,695507,0
SARO.US,D,20250226,000000,27.085,27.65,26.93,27.15,697959,0
SARO.US,D,20250227,000000,27.11,28.06,27.11,28.03,618710,0
SARO.US,D,20250228,000000,28.007,28.365,27.81,28.23,2264833,0
SARO.US,D,20250303,000000,28.245,28.3416,27,27.26,691309,0
SARO.US,D,20250304,000000,27.04,27.55,26.63,26.81,826626,0
SARO.US,D,20250305,000000,26.82,27.525,26.67,27.31,969791,0
SARO.US,D,20250306,000000,27.15,27.28,26.52,26.64,1839829,0
SARO.US,D,20250307,000000,26.44,26.99,25.66,26.85,1484369,0
SARO.US,D,20250310,000000,26.565,26.99,25.915,26.3,2013548,0
SARO.US,D,20250311,000000,25.82,28.92,25.805,28.54,3532875,0
SARO.US,D,20250312,000000,28.745,28.86,27.44,28.06,2061582,0
SARO.US,D,20250313,000000,28.12,29.1086,28,28.98,1658572,0
SARO.US,D,20250314,000000,28.98,29.61,28.36,28.62,1781966,0
SARO.US,D,20250317,000000,28.685,29.16,28.5,28.89,1435411,0
SARO.US,D,20250318,000000,28.825,29.04,28.38,28.74,1295310,0
SARO.US,D,20250319,000000,28.705,29.16,28.51,29.09,1764401,0
SARO.US,D,20250320,000000,28.81,29.59,28.72,29.13,1405273,0
SARO.US,D,20250321,000000,29.105,29.1961,28.39,28.59,6668204,0
SARO.US,D,20250324,000000,27.64,28.92,27.25,28.74,1909327,0
SARO.US,D,20250325,000000,28.51,29.99,28.2,29.32,2804758,0
SARO.US,D,20250326,000000,28.25,28.51,27.74,27.74,19158462,0
SARO.US,D,20250327,000000,27.695,28.29,27.5,28.04,8731442,0
SARO.US,D,20250328,000000,27.86,28.16,27.14,27.18,7988654,0
SARO.US,D,20250331,000000,26.28,27.13,26.21,26.64,4349845,0
SARO.US,D,20250401,000000,26.81,27.19,26.44,26.81,4203709,0
SARO.US,D,20250402,000000,26.345,27.35,26.29,27.19,4592698,0
SARO.US,D,20250403,000000,26.33,26.71,24.9807,25.6,4869983,0
SARO.US,D,20250404,000000,24.72,24.86,23.05,23.13,8416030,0
