<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
TXS.US,D,20230714,000000,25.12,25.12,24.86,24.9,21054,0
TXS.US,D,20230717,000000,24.9,24.97,24.869,24.92,10373,0
TXS.US,D,20230718,000000,25.21,25.22,25.1399,25.1984,5081,0
TXS.US,D,20230719,000000,25.31,25.45,25.31,25.36,6828,0
TXS.US,D,20230720,000000,25.28,25.28,25.07,25.1271,9814,0
TXS.US,D,20230721,000000,25.32,25.32,25.1298,25.1298,4712,0
TXS.US,D,20230724,000000,25.21,25.38,25.21,25.3245,3346,0
TXS.US,D,20230725,000000,25.36,25.37,25.3234,25.3234,1544,0
TXS.US,D,20230726,000000,25.3693,25.3693,25.2603,25.2853,2665,0
TXS.US,D,20230727,000000,25.38,25.38,24.88,24.9079,6260,0
TXS.US,D,20230728,000000,25.08,25.0977,25.08,25.0977,899,0
TXS.US,D,20230731,000000,25.25,25.3051,25.22,25.3051,1348,0
TXS.US,D,20230801,000000,25.28,25.28,25.0937,25.2588,2415,0
TXS.US,D,20230802,000000,25.11,25.11,24.99,25.0126,3178,0
TXS.US,D,20230803,000000,25,25.11,24.92,25.1061,3797,0
TXS.US,D,20230804,000000,24.91,25.41,24.91,24.9767,5255,0
TXS.US,D,20230807,000000,25.1,25.1,25.0401,25.0978,1732,0
TXS.US,D,20230808,000000,24.9,25.02,24.77,24.9944,3286,0
TXS.US,D,20230809,000000,25.0586,25.12,24.9733,24.9733,944,0
TXS.US,D,20230810,000000,25.19,25.23,24.8744,24.9487,894,0
TXS.US,D,20230811,000000,25.02,25.02,25.0139,25.0139,205,0
TXS.US,D,20230814,000000,24.95,24.96,24.9455,24.9455,998,0
TXS.US,D,20230815,000000,24.69,24.74,24.6774,24.6774,1565,0
TXS.US,D,20230816,000000,24.675,24.675,24.41,24.4117,2970,0
TXS.US,D,20230817,000000,24.48,24.48,24.2587,24.2587,841,0
TXS.US,D,20230818,000000,24.33,24.34,24.33,24.34,538,0
TXS.US,D,20230821,000000,24.48,24.48,24.3048,24.3916,5357,0
TXS.US,D,20230822,000000,24.37,24.37,24.253,24.253,483,0
TXS.US,D,20230823,000000,24.3864,24.3864,24.3864,24.3864,141,0
TXS.US,D,20230824,000000,24.37,24.37,24.17,24.24,27254,0
TXS.US,D,20230825,000000,25.01,25.01,24.1399,24.3136,12375,0
TXS.US,D,20230828,000000,26,26,24.41,24.4398,11894,0
TXS.US,D,20230829,000000,24.52,24.7799,24.44,24.7622,5991,0
TXS.US,D,20230830,000000,24.85,24.8746,24.84,24.8746,834,0
TXS.US,D,20230831,000000,24.9802,25,24.88,24.88,14759,0
TXS.US,D,20230901,000000,25.11,25.11,24.98,25.017,3859,0
TXS.US,D,20230905,000000,25.3,25.3,24.8566,24.8566,1881,0
TXS.US,D,20230906,000000,24.96,24.96,24.675,24.78,13151,0
TXS.US,D,20230907,000000,24.73,24.77,24.625,24.7377,10026,0
TXS.US,D,20230908,000000,24.84,24.8699,24.7493,24.7493,2543,0
TXS.US,D,20230911,000000,25.01,25.02,24.8278,24.8278,8395,0
TXS.US,D,20230912,000000,24.84,24.87,24.78,24.7897,8843,0
TXS.US,D,20230913,000000,24.67,24.69,24.6588,24.6588,1511,0
TXS.US,D,20230914,000000,24.89,24.9893,24.89,24.9893,6001,0
TXS.US,D,20230915,000000,24.78,24.86,24.77,24.7831,2002,0
TXS.US,D,20230918,000000,24.64,24.81,24.64,24.7231,1095,0
TXS.US,D,20230919,000000,24.78,24.78,24.6419,24.6419,191,0
TXS.US,D,20230920,000000,24.78,24.81,24.48,24.48,3520,0
TXS.US,D,20230921,000000,24.43,24.43,24.0817,24.0817,1031,0
TXS.US,D,20230922,000000,24.13,24.13,24.0074,24.0074,3348,0
TXS.US,D,20230925,000000,24,24.15,24,24.1122,825,0
TXS.US,D,20230926,000000,23.9601,23.9601,23.85,23.85,2144,0
TXS.US,D,20230927,000000,23.81,23.95,23.81,23.9036,844,0
TXS.US,D,20230928,000000,24.48,24.48,23.9,24.13,114251,0
TXS.US,D,20230929,000000,24.35,24.35,23.8765,24,45782,0
TXS.US,D,20231002,000000,24.07,24.07,23.5,23.6081,22626,0
TXS.US,D,20231003,000000,23.5,23.5042,23.16,23.2152,25952,0
TXS.US,D,20231004,000000,23.26,23.31,23.04,23.3021,7958,0
TXS.US,D,20231005,000000,23.29,23.3,23.11,23.24,4960,0
TXS.US,D,20231006,000000,23.18,23.53,23,23.4178,6085,0
TXS.US,D,20231009,000000,23.41,23.8,23.41,23.7405,6734,0
TXS.US,D,20231010,000000,23.8,24.0927,23.8,23.9339,9328,0
