<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PLTD.US,D,20241213,000000,24.05,24.23,23.294,23.294,21454,0
PLTD.US,D,20241216,000000,23.58,24.7,22.91,23.4,43281,0
PLTD.US,D,20241217,000000,24.16,24.58,23.565,23.7929,36850,0
PLTD.US,D,20241218,000000,23.83,24.97,22.75,24.7055,98926,0
PLTD.US,D,20241219,000000,24,24.0989,23.03,23.7646,204720,0
PLTD.US,D,20241220,000000,24.37,24.5,21.76,21.8,263648,0
PLTD.US,D,20241223,000000,21.78,22.59,21.391,21.76,320434,0
PLTD.US,D,20241224,000000,21.63,21.67,20.65,21.3247,241967,0
PLTD.US,D,20241226,000000,21.14,21.5457,21.02,21.38,130704,0
PLTD.US,D,20241227,000000,21.56,22.4495,21.48,22.19,275976,0
PLTD.US,D,20241230,000000,22.83,23,22.14,22.74,329192,0
PLTD.US,D,20241231,000000,22.55,23.31,22.55,23.18,176767,0
PLTD.US,D,20250102,000000,23.02,24.131,22.9515,23.33,242984,0
PLTD.US,D,20250103,000000,23.32,23.32,21.86,21.86,154629,0
PLTD.US,D,20250106,000000,22.2,23.319,21.85,22.98,152948,0
PLTD.US,D,20250107,000000,23.24,24.8293,23.24,24.75,230014,0
PLTD.US,D,20250108,000000,25.44,25.9563,24.98,25.4,269753,0
PLTD.US,D,20250110,000000,26.32,26.57,25.4,25.78,248563,0
PLTD.US,D,20250113,000000,27.01,27.23,26.38,26.68,179669,0
PLTD.US,D,20250114,000000,25.69,26.531,25.35,26.24,109620,0
PLTD.US,D,20250115,000000,25.26,25.69,25.106,25.36,127926,0
PLTD.US,D,20250116,000000,25.2,25.229,24.19,24.96,109295,0
PLTD.US,D,20250117,000000,24.39,24.7068,23.89,24.13,70540,0
PLTD.US,D,20250121,000000,23.56,24.43,23.5,23.64,158399,0
PLTD.US,D,20250122,000000,23.22,23.33,22.34,22.46,349258,0
PLTD.US,D,20250123,000000,22.6,22.6,21.81,21.86,290765,0
PLTD.US,D,20250124,000000,21.8,21.95,20.9575,21.85,907854,0
PLTD.US,D,20250127,000000,23.24,23.55,22.481,22.8,540282,0
PLTD.US,D,20250128,000000,22.72,23.235,21.245,21.4,292960,0
PLTD.US,D,20250129,000000,21.5,22.0114,21.27,21.55,246130,0
PLTD.US,D,20250130,000000,21.48,21.5805,20.9723,21.1,118047,0
PLTD.US,D,20250131,000000,21.15,21.15,20.1,20.83,398942,0
PLTD.US,D,20250203,000000,21.46,21.81,20.38,20.48,2090203,0
PLTD.US,D,20250204,000000,15.93,16.39,14.83,15.59,7901105,0
PLTD.US,D,20250205,000000,15.9,16.2599,15.6204,15.94,2688037,0
PLTD.US,D,20250206,000000,16,16.135,14.38,14.4,5296207,0
PLTD.US,D,20250207,000000,14.36,14.52,13.77,14.46,7875710,0
PLTD.US,D,20250210,000000,14.32,14.73,13.7,13.72,4796366,0
PLTD.US,D,20250211,000000,13.76,14.25,13.49,14.19,4060054,0
PLTD.US,D,20250212,000000,14.51,14.53,13.571,13.58,3905493,0
PLTD.US,D,20250213,000000,13.63,13.83,13.48,13.53,3069289,0
PLTD.US,D,20250214,000000,13.57,13.67,13.2336,13.41,3906909,0
PLTD.US,D,20250218,000000,13.22,13.4902,12.76,12.8,7589827,0
PLTD.US,D,20250219,000000,12.86,14.44,12.7205,14.09,13721249,0
PLTD.US,D,20250220,000000,15.21,16.1224,14.67,14.81,14121728,0
PLTD.US,D,20250221,000000,14.62,15.65,14.44,15.51,6646371,0
PLTD.US,D,20250224,000000,16.38,17.37,15.88,17.14,7385897,0
PLTD.US,D,20250225,000000,17.18,18.1861,16.98,17.68,4207167,0
PLTD.US,D,20250226,000000,17.44,17.75,16.94,17.39,1803605,0
PLTD.US,D,20250227,000000,16.91,18.41,16.581,18.3,2943758,0
PLTD.US,D,20250228,000000,19.32,19.64,18.27,18.28,2972684,0
PLTD.US,D,20250303,000000,17.5,18.7901,17.1,18.59,3466514,0
PLTD.US,D,20250304,000000,19.36,19.54,17.5,18.39,2873080,0
PLTD.US,D,20250305,000000,17.99,18.79,17.12,17.15,3059886,0
PLTD.US,D,20250306,000000,17.62,19.09,17.51,18.99,3858001,0
PLTD.US,D,20250307,000000,19.09,19.3188,17.91,17.96,2842235,0
PLTD.US,D,20250310,000000,18.6,20.1488,18.5,19.77,3029549,0
PLTD.US,D,20250311,000000,19.92,19.99,18.681,19.35,1879310,0
