<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MTSR.US,D,20250131,000000,25.5,28.87,25.5,26.5,4476344,0
MTSR.US,D,20250203,000000,26.955,30.02,25.06,27.8,920528,0
MTSR.US,D,20250204,000000,28.16,28.759,27.02,28.01,608435,0
MTSR.US,D,20250205,000000,27.73,29.265,27.73,29.25,857433,0
MTSR.US,D,20250206,000000,29.25,30,28.0885,29.53,2260137,0
MTSR.US,D,20250207,000000,28.89,30.26,28.77,29.5,383931,0
MTSR.US,D,20250210,000000,29.6,31.64,29,30.08,167054,0
MTSR.US,D,20250211,000000,29.77,31.16,29.655,30.76,166958,0
MTSR.US,D,20250212,000000,30.96,31.78,30.8,31.65,267612,0
MTSR.US,D,20250213,000000,32.01,32.0485,29.2,30.03,460405,0
MTSR.US,D,20250214,000000,30.32,31,29.9406,30.58,294355,0
MTSR.US,D,20250218,000000,30.61,32.33,30.61,32.08,319401,0
MTSR.US,D,20250219,000000,32.58,32.8082,31.36,31.91,414442,0
MTSR.US,D,20250220,000000,32.05,32.3475,31.2126,31.64,362856,0
MTSR.US,D,20250221,000000,31.66,32.01,31.13,31.65,151503,0
MTSR.US,D,20250224,000000,31.64,31.795,29.14,29.84,779279,0
MTSR.US,D,20250225,000000,30.39,31.17,27,27.33,910032,0
MTSR.US,D,20250226,000000,27.7,28.78,26.86,27.21,756031,0
MTSR.US,D,20250227,000000,27.08,27.49,24.701,25.01,980440,0
MTSR.US,D,20250228,000000,24.83,25.51,24.19,24.78,632299,0
MTSR.US,D,20250303,000000,24.78,29.07,24.78,28.5,719227,0
MTSR.US,D,20250304,000000,28.45,28.8,27.1,27.49,580726,0
MTSR.US,D,20250305,000000,27.25,28.87,26.42,26.42,256600,0
MTSR.US,D,20250306,000000,26,27.3,25.34,26.92,374242,0
MTSR.US,D,20250307,000000,26.99,27.29,24.8638,25.47,495470,0
MTSR.US,D,20250310,000000,25.47,25.77,24.66,25.03,454455,0
MTSR.US,D,20250311,000000,24.84,25.8199,23.91,24.96,468147,0
MTSR.US,D,20250312,000000,25.58,26.01,24.63,25.78,570248,0
MTSR.US,D,20250313,000000,25.73,26.03,23.08,24.26,596799,0
MTSR.US,D,20250314,000000,24.3,25.26,23.97,25.21,523902,0
MTSR.US,D,20250317,000000,25.21,29.01,25.21,28.38,521260,0
MTSR.US,D,20250318,000000,28.3,31.16,28.195,30.33,723871,0
MTSR.US,D,20250319,000000,30.14,32.22,29.82,29.86,705505,0
MTSR.US,D,20250320,000000,29.35,29.76,27.38,27.82,744319,0
MTSR.US,D,20250321,000000,27.31,28.84,26.895,28.02,4006154,0
MTSR.US,D,20250324,000000,27.64,30.44,27.64,30.07,558486,0
MTSR.US,D,20250325,000000,29.82,30.96,28.62,29.16,555310,0
MTSR.US,D,20250326,000000,28,28.99,27.58,28.11,539474,0
MTSR.US,D,20250327,000000,28.35,30.4,27.9,30.01,317248,0
MTSR.US,D,20250328,000000,29.82,29.82,27.3,28,627547,0
MTSR.US,D,20250331,000000,27.26,27.71,26.145,27.22,534290,0
MTSR.US,D,20250401,000000,27,27.31,23.96,24.51,979806,0
MTSR.US,D,20250402,000000,24.53,24.53,21.8307,22.66,1425229,0
MTSR.US,D,20250403,000000,21.71,21.8,20.04,21.15,1500143,0
MTSR.US,D,20250404,000000,20.41,20.44,16.29,16.8,1369979,0
