<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
LBGJ.US,D,20241023,000000,4.7,5.5,4.06,4.1,1576542,0
LBGJ.US,D,20241024,000000,4.17,4.2999,3.9,3.93,415533,0
LBGJ.US,D,20241025,000000,3.8,4.05,3.73,3.81,377086,0
LBGJ.US,D,20241028,000000,3.945,4.6,3.945,4.3,135121,0
LBGJ.US,D,20241029,000000,4.27,4.49,4,4.26,79824,0
LBGJ.US,D,20241030,000000,4.152,4.42,4.15,4.31,33888,0
LBGJ.US,D,20241031,000000,4.0995,4.41,4.0995,4.25,43082,0
LBGJ.US,D,20241101,000000,4,4.2389,4,4.12,9967,0
LBGJ.US,D,20241104,000000,4.1321,4.2,4.07,4.2,8614,0
LBGJ.US,D,20241105,000000,4.28,4.47,4.2,4.283,36856,0
LBGJ.US,D,20241106,000000,4.33,4.4064,4.17,4.2101,8007,0
LBGJ.US,D,20241107,000000,4.16,4.3782,4,4.05,46910,0
LBGJ.US,D,20241108,000000,4.04,4.0715,3.91,3.98,10791,0
LBGJ.US,D,20241111,000000,3.98,4.01,3.91,4,9020,0
LBGJ.US,D,20241112,000000,3.94,4.01,3.91,4.01,19080,0
LBGJ.US,D,20241113,000000,3.91,4.226,3.91,4.15,7954,0
LBGJ.US,D,20241114,000000,4.08,4.1,4.019,4.025,22240,0
LBGJ.US,D,20241115,000000,4.1,4.1,3.6,3.7,64850,0
LBGJ.US,D,20241118,000000,3.609,3.609,3.03,3.19,43097,0
LBGJ.US,D,20241119,000000,3.272,4,3.2,3.99,112242,0
LBGJ.US,D,20241120,000000,3.99,4.365,3.5,3.5,370475,0
LBGJ.US,D,20241121,000000,3.5,3.86,3.4758,3.4801,30852,0
LBGJ.US,D,20241122,000000,3.433,3.7,3.3304,3.6999,10333,0
LBGJ.US,D,20241125,000000,3.8246,4.2599,3.47,3.49,344916,0
LBGJ.US,D,20241126,000000,3.54,3.804,3.33,3.4,313218,0
LBGJ.US,D,20241127,000000,3.39,3.61,3.3,3.3,119141,0
LBGJ.US,D,20241129,000000,3.35,3.401,3.14,3.17,46827,0
LBGJ.US,D,20241202,000000,3.29,3.455,3.16,3.21,121619,0
LBGJ.US,D,20241203,000000,3.25,3.56,3.25,3.31,63378,0
LBGJ.US,D,20241204,000000,3.528,4.14,3.43,3.77,230548,0
LBGJ.US,D,20241205,000000,3.76,3.975,3.3,3.57,212968,0
LBGJ.US,D,20241206,000000,3.51,3.79,3.5,3.56,32592,0
LBGJ.US,D,20241209,000000,3.62,4.13,3.6,4.11,275693,0
LBGJ.US,D,20241210,000000,3.99,4.5,3.9,4.2,917788,0
