<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
OOQB.US,D,20250219,000000,15.41,15.41,15.3296,15.4091,1622,0
OOQB.US,D,20250220,000000,15.63,15.7022,15.4,15.7022,1749,0
OOQB.US,D,20250221,000000,15.8,15.8,14.7658,14.7658,780,0
OOQB.US,D,20250224,000000,14.511,14.511,14.511,14.511,354,0
OOQB.US,D,20250225,000000,13.06,13.3459,13.06,13.3459,346,0
OOQB.US,D,20250226,000000,12.689,12.7423,12.5,12.7423,512,0
OOQB.US,D,20250227,000000,12.65,12.65,12.214,12.214,215,0
OOQB.US,D,20250228,000000,11.8263,12.4581,11.8263,12.4581,169,0
OOQB.US,D,20250303,000000,13.41,13.41,12.4463,12.4463,293,0
OOQB.US,D,20250304,000000,11.95,12.5396,11.8,12.5396,560,0
OOQB.US,D,20250305,000000,13.159,13.2201,13.159,13.2201,593,0
OOQB.US,D,20250306,000000,12.98,12.98,12.5293,12.6777,3109,0
OOQB.US,D,20250307,000000,12.45,12.4756,12.43,12.4756,442,0
OOQB.US,D,20250310,000000,11.65,11.65,10.481,10.7943,7127,0
OOQB.US,D,20250311,000000,11.14,11.3876,11.08,11.3876,3519,0
OOQB.US,D,20250312,000000,11.59,11.59,11.079,11.4968,2832,0
OOQB.US,D,20250314,000000,11.719,11.7938,11.7,11.7938,2580,0
OOQB.US,D,20250317,000000,11.91,11.9199,11.8289,11.8289,1023,0
OOQB.US,D,20250318,000000,11.1,11.2919,11.1,11.2919,2774,0
OOQB.US,D,20250319,000000,11.55,11.9065,11.55,11.9065,252,0
OOQB.US,D,20250320,000000,11.87,11.87,11.6767,11.6767,239,0
OOQB.US,D,20250321,000000,11.55,11.6859,11.55,11.6859,304,0
OOQB.US,D,20250324,000000,12.53,12.5692,12.51,12.5692,649,0
OOQB.US,D,20250325,000000,12.21,13.43,12.21,12.82,1383,0
OOQB.US,D,20250326,000000,12.16,12.16,12.15,12.1522,1415,0
OOQB.US,D,20250327,000000,11.89,12.25,11.89,12.14,2030,0
OOQB.US,D,20250328,000000,11.79,11.79,11.28,11.3136,3242,0
OOQB.US,D,20250331,000000,10.98,11.1355,10.769,11.1355,1063,0
OOQB.US,D,20250401,000000,11.04,11.5697,11.04,11.5697,310,0
OOQB.US,D,20250402,000000,11.79,11.969,11.79,11.969,348,0
OOQB.US,D,20250403,000000,10.6046,10.69,10.581,10.5915,1168,0
OOQB.US,D,20250404,000000,10.2699,10.2699,10.1953,10.1953,453,0
