<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PCSC.US,D,20240612,000000,10.06,10.1199,10.05,10.05,1910500,0
PCSC.US,D,20240613,000000,10.06,10.09,10.04,10.08,104077,0
PCSC.US,D,20240614,000000,10.1,10.1,10.06,10.07,47668,0
PCSC.US,D,20240617,000000,10.08,10.1,10.08,10.09,116487,0
PCSC.US,D,20240618,000000,10.09,10.1,10.08,10.09,24331,0
PCSC.US,D,20240620,000000,10.1,10.1,10.08,10.1,22263,0
PCSC.US,D,20240621,000000,10.09,10.09,10.08,10.09,15220,0
PCSC.US,D,20240624,000000,10.06,10.09,10.05,10.09,9398,0
PCSC.US,D,20240625,000000,10.07,10.08,10.03,10.04,40687,0
PCSC.US,D,20240626,000000,10.0475,10.05,10.03,10.03,79006,0
PCSC.US,D,20240627,000000,10.06,10.09,10.06,10.08,25444,0
PCSC.US,D,20240628,000000,10.05,10.08,10.05,10.06,3919,0
PCSC.US,D,20240701,000000,10.0464,10.09,10.03,10.08,35873,0
PCSC.US,D,20240702,000000,10.06,10.06,10.05,10.05,2720,0
PCSC.US,D,20240703,000000,10.06,10.06,10.05,10.05,10124,0
PCSC.US,D,20240705,000000,10.0703,10.0703,10.0703,10.0703,214,0
PCSC.US,D,20240708,000000,10.09,10.09,10.06,10.06,750,0
PCSC.US,D,20240709,000000,10.09,10.09,10.09,10.09,423,0
PCSC.US,D,20240710,000000,10.0896,10.09,10.0896,10.09,2121,0
PCSC.US,D,20240711,000000,10.065,10.065,10.06,10.06,2384,0
PCSC.US,D,20240712,000000,10.0605,10.0605,10.06,10.0602,1457,0
PCSC.US,D,20240715,000000,10.085,10.09,10.08,10.085,3922,0
PCSC.US,D,20240716,000000,10.08,10.0801,10.08,10.08,4141,0
PCSC.US,D,20240717,000000,10.08,10.08,10.06,10.06,13069,0
PCSC.US,D,20240718,000000,10.08,10.08,10.0601,10.0601,2245,0
PCSC.US,D,20240722,000000,10.08,10.08,10.07,10.07,1151,0
PCSC.US,D,20240725,000000,10.06,10.09,10.06,10.09,2955,0
PCSC.US,D,20240731,000000,10.08,10.08,10.08,10.08,1562,0
PCSC.US,D,20240802,000000,10.07,10.07,10.07,10.07,1007,0
PCSC.US,D,20240805,000000,10.07,10.07,10.07,10.07,187,0
PCSC.US,D,20240806,000000,10.07,10.07,10.06,10.06,21305,0
PCSC.US,D,20240808,000000,10.06,10.06,10.06,10.06,1649,0
PCSC.US,D,20240809,000000,10.09,10.09,10.09,10.09,38809,0
PCSC.US,D,20240815,000000,10.08,10.08,10.07,10.08,1486,0
PCSC.US,D,20240816,000000,10.07,10.07,10.06,10.07,33835,0
PCSC.US,D,20240822,000000,10.07,10.07,10.065,10.07,160865,0
PCSC.US,D,20240823,000000,10.07,10.07,10.07,10.07,20010,0
PCSC.US,D,20240826,000000,10.06,10.07,10.06,10.07,10322,0
PCSC.US,D,20240827,000000,10.06,10.06,10.0598,10.0598,38178,0
PCSC.US,D,20240828,000000,10.06,10.06,10.05,10.05,34734,0
PCSC.US,D,20240829,000000,10.06,10.06,10.06,10.06,330657,0
PCSC.US,D,20240830,000000,10.06,10.06,10.05,10.05,8110,0
PCSC.US,D,20240903,000000,10.06,10.06,10.05,10.05,17837,0
PCSC.US,D,20240904,000000,10.06,10.06,10.06,10.06,1100,0
PCSC.US,D,20240905,000000,10.06,10.06,10.05,10.05,744,0
PCSC.US,D,20240909,000000,10.07,10.07,10.0588,10.0588,1712,0
PCSC.US,D,20240911,000000,10.06,10.06,10.05,10.05,182008,0
PCSC.US,D,20240912,000000,10.06,10.06,10.05,10.05,356,0
PCSC.US,D,20240913,000000,10.06,10.06,10.05,10.05,10126,0
PCSC.US,D,20240916,000000,10.05,10.05,10.0445,10.05,14932,0
PCSC.US,D,20240917,000000,10.05,10.05,10.05,10.05,1200,0
PCSC.US,D,20240918,000000,10.04,10.04,10.04,10.04,15088,0
PCSC.US,D,20240919,000000,10.05,10.055,10.038,10.04,22982,0
PCSC.US,D,20240920,000000,10.03,10.03,10.025,10.03,14760,0
PCSC.US,D,20240923,000000,10.02,10.02,10.02,10.02,3122,0
PCSC.US,D,20240924,000000,10.02,10.02,10.02,10.02,26905,0
PCSC.US,D,20240925,000000,10.02,10.02,10.02,10.02,441,0
PCSC.US,D,20240926,000000,10.02,10.02,10.02,10.02,24530,0
PCSC.US,D,20240927,000000,10.02,10.02,10.02,10.02,12831,0
PCSC.US,D,20241001,000000,10.03,10.03,10.02,10.02,35130,0
PCSC.US,D,20241002,000000,10.02,10.02,10.02,10.02,5186,0
PCSC.US,D,20241003,000000,10.02,10.0208,10.02,10.0208,245,0
PCSC.US,D,20241007,000000,10.03,10.04,10.03,10.04,2152,0
PCSC.US,D,20241008,000000,10.05,10.05,10.05,10.05,1096,0
PCSC.US,D,20241009,000000,10.07,10.07,10.07,10.07,162,0
PCSC.US,D,20241010,000000,10.07,10.07,10.07,10.07,170,0
PCSC.US,D,20241014,000000,10.05,10.05,10.05,10.05,10008,0
PCSC.US,D,20241016,000000,10.05,10.05,10.05,10.05,99916,0
PCSC.US,D,20241018,000000,10.07,10.07,10.07,10.07,531,0
PCSC.US,D,20241030,000000,10.07,10.07,10.07,10.07,20010,0
PCSC.US,D,20241106,000000,10.1,10.1,10.08,10.08,21310,0
PCSC.US,D,20241107,000000,10.08,10.08,10.08,10.08,100052,0
PCSC.US,D,20241115,000000,10.12,10.12,10.1,10.12,7216,0
PCSC.US,D,20241118,000000,10.15,10.15,10.15,10.15,462,0
PCSC.US,D,20241120,000000,10.15,10.15,10.1298,10.1299,2456,0
PCSC.US,D,20241121,000000,10.1,10.1,10.1,10.1,153,0
PCSC.US,D,20241125,000000,10.11,10.11,10.11,10.11,50014,0
PCSC.US,D,20241129,000000,10.15,10.15,10.1071,10.125,312131,0
PCSC.US,D,20241202,000000,10.125,10.125,10.125,10.125,19338,0
PCSC.US,D,20241203,000000,10.13,10.13,10.13,10.13,5402,0
PCSC.US,D,20241204,000000,10.13,10.17,10.13,10.13,20250,0
PCSC.US,D,20241209,000000,10.14,10.15,10.13,10.13,51347,0
PCSC.US,D,20241210,000000,10.13,10.13,10.13,10.13,100,0
PCSC.US,D,20241212,000000,10.18,10.22,10.18,10.19,37935,0
PCSC.US,D,20241220,000000,10.17,10.17,10.17,10.17,200,0
PCSC.US,D,20241223,000000,10.13,10.13,10.13,10.13,89110,0
PCSC.US,D,20241227,000000,10.13,10.13,10.13,10.13,24900,0
PCSC.US,D,20241231,000000,10.14,10.18,10.14,10.18,5390,0
PCSC.US,D,20250102,000000,10.18,10.18,10.18,10.18,49969,0
PCSC.US,D,20250106,000000,10.18,10.18,10.18,10.18,11300,0
PCSC.US,D,20250107,000000,10.2,10.2,10.165,10.17,63972,0
PCSC.US,D,20250108,000000,10.2,10.2,10.15,10.18,1418,0
PCSC.US,D,20250110,000000,10.18,10.19,10.18,10.19,15316,0
PCSC.US,D,20250113,000000,10.19,10.2,10.19,10.2,3785,0
PCSC.US,D,20250122,000000,10.18,10.18,10.18,10.18,201,0
PCSC.US,D,20250124,000000,10.24,10.25,10.24,10.25,3587,0
PCSC.US,D,20250127,000000,10.26,10.26,10.18,10.18,1006,0
PCSC.US,D,20250128,000000,10.18,10.18,10.18,10.18,1004,0
PCSC.US,D,20250131,000000,10.18,10.18,10.18,10.18,2966,0
PCSC.US,D,20250203,000000,10.2,10.2412,10.2,10.2,1020,0
PCSC.US,D,20250210,000000,10.25,10.3,10.25,10.28,6617,0
PCSC.US,D,20250212,000000,10.3,10.3,10.3,10.3,1835,0
PCSC.US,D,20250225,000000,10.28,10.28,10.28,10.28,5077,0
PCSC.US,D,20250226,000000,10.28,10.28,10.28,10.28,29922,0
PCSC.US,D,20250303,000000,10.29,10.31,10.29,10.31,123614,0
PCSC.US,D,20250304,000000,10.3,10.3,10.3,10.3,5018,0
PCSC.US,D,20250307,000000,10.3,10.3,10.3,10.3,261,0
PCSC.US,D,20250310,000000,10.32,10.32,10.32,10.32,10154,0
PCSC.US,D,20250311,000000,10.32,10.32,10.32,10.32,338,0
PCSC.US,D,20250314,000000,10.3,10.3,10.3,10.3,2809,0
PCSC.US,D,20250317,000000,10.3,10.3,10.3,10.3,2160,0
PCSC.US,D,20250318,000000,10.3,10.3,10.28,10.28,52946,0
PCSC.US,D,20250328,000000,10.31,10.31,10.3,10.3,254,0
PCSC.US,D,20250404,000000,10.3,10.3,10.23,10.23,15468,0
