<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SDST.US,D,20240710,000000,8.06,8.425,6.9,7.3,130690,0
SDST.US,D,20240711,000000,7.48,8.2,6.9,7.12,56873,0
SDST.US,D,20240712,000000,6.74,9.9,6.74,7.63,132890,0
SDST.US,D,20240715,000000,7.24,9.8,6.5923,9.58,116778,0
SDST.US,D,20240716,000000,8.88,11.42,8.3,10,67066,0
SDST.US,D,20240717,000000,11.41,27.9899,10.345,24.47,5004735,0
SDST.US,D,20240718,000000,24.9,28.38,19.02,20.68,844702,0
SDST.US,D,20240719,000000,18.52,19.0799,15.45,15.9,213475,0
SDST.US,D,20240722,000000,16.59,18.93,14.77,14.77,132398,0
SDST.US,D,20240723,000000,15.875,16.098,13.28,13.34,76715,0
SDST.US,D,20240724,000000,14.67,15.5,12.5001,13.29,76277,0
SDST.US,D,20240725,000000,13.5,13.75,12.73,13.57,77569,0
SDST.US,D,20240726,000000,13.81,17,13.12,13.12,225542,0
SDST.US,D,20240729,000000,13.58,14.94,12,12.32,95302,0
SDST.US,D,20240730,000000,11.97,12.79,11.23,11.82,93820,0
SDST.US,D,20240731,000000,12.39,17.62,11.85,14.9,388634,0
SDST.US,D,20240801,000000,14.75,16.36,13.34,14.98,298873,0
SDST.US,D,20240802,000000,15,15.62,13.78,15.09,76119,0
SDST.US,D,20240805,000000,13.51,13.965,11.215,11.82,100652,0
SDST.US,D,20240806,000000,13,13.49,11.4001,11.72,66942,0
SDST.US,D,20240807,000000,11.69,13,11.66,12.49,60372,0
SDST.US,D,20240808,000000,11.72,12.85,11.72,12.71,69431,0
SDST.US,D,20240809,000000,12.5,13.12,11.76,12.9,51442,0
SDST.US,D,20240812,000000,11.66,12.01,8.75,8.85,94329,0
SDST.US,D,20240813,000000,9.35,10.48,9,10.12,68691,0
SDST.US,D,20240814,000000,10,10.44,9.85,9.92,36486,0
SDST.US,D,20240815,000000,9.9,10.23,8.992,9.45,21681,0
SDST.US,D,20240816,000000,9.36,9.6,8.6,9,66064,0
SDST.US,D,20240819,000000,8.9,9.49,8.64,8.92,28171,0
SDST.US,D,20240820,000000,8.86,9.5,8.86,9.2,26343,0
SDST.US,D,20240821,000000,9.12,10.3599,8.7001,10.08,43131,0
SDST.US,D,20240822,000000,9.88,9.91,9.49,9.65,20171,0
SDST.US,D,20240823,000000,9.5,9.5,8.5,8.86,16108,0
SDST.US,D,20240826,000000,8.87,8.89,7.52,8.01,75644,0
SDST.US,D,20240827,000000,7.99,9.02,7.99,8.77,65376,0
SDST.US,D,20240828,000000,8.67,9.23,8.6,8.81,26712,0
SDST.US,D,20240829,000000,8.52,8.98,8.52,8.68,3867,0
SDST.US,D,20240830,000000,8.72,8.97,8.46,8.65,19338,0
SDST.US,D,20240903,000000,8.25,8.515,8.04,8.13,7079,0
SDST.US,D,20240904,000000,8.22,8.595,8.07,8.29,36479,0
SDST.US,D,20240905,000000,8.17,8.445,7.53,8.09,19197,0
SDST.US,D,20240906,000000,7.49,7.86,6.6,6.93,29096,0
SDST.US,D,20240909,000000,7.21,8.5,7.21,7.93,52923,0
SDST.US,D,20240910,000000,8,9.99,7.2,9.16,36301,0
SDST.US,D,20240911,000000,9.25,10,9.25,10,34220,0
SDST.US,D,20240912,000000,9.52,12.14,9.148,10.17,70066,0
SDST.US,D,20240913,000000,9.76,11.5,9.74,10.61,29367,0
SDST.US,D,20240916,000000,10.79,12.1,10.66,11.62,107498,0
SDST.US,D,20240917,000000,11.61,12.5,11.61,12.43,44306,0
SDST.US,D,20240918,000000,12.15,12.25,11.17,11.63,48448,0
SDST.US,D,20240919,000000,11.4,11.98,10.01,11.67,131477,0
SDST.US,D,20240920,000000,11.67,12.56,11.135,12.51,436128,0
SDST.US,D,20240923,000000,12.37,12.406744,11.12,11.47,44652,0
SDST.US,D,20240924,000000,11.52,11.71,11.41,11.56,13199,0
SDST.US,D,20240925,000000,11.46,11.46,10.63,10.63,18784,0
SDST.US,D,20240926,000000,10.17,11.42,10.17,10.6,41434,0
SDST.US,D,20240927,000000,10.67,10.7,9.2,9.65,39708,0
SDST.US,D,20240930,000000,9.66,9.66,7.8,8.14,61680,0
SDST.US,D,20241001,000000,8.28,8.34,7.41,7.41,16981,0
SDST.US,D,20241002,000000,7.51,7.5666,7,7.16,42454,0
SDST.US,D,20241003,000000,8.25,8.25,7.37,7.95,124517,0
SDST.US,D,20241004,000000,8.09,8.3045,7.74,7.85,48822,0
SDST.US,D,20241007,000000,8.03,10.12,8.01,8.9,193828,0
SDST.US,D,20241008,000000,8.41,9.13,8.41,8.97,34917,0
SDST.US,D,20241009,000000,9.19,9.19,8.7021,8.87,30453,0
SDST.US,D,20241010,000000,8.84,9,8.57,8.7,21827,0
SDST.US,D,20241011,000000,8.7,8.7173,7.83,8,26016,0
SDST.US,D,20241014,000000,8.36,8.37,6.79,7.16,102682,0
SDST.US,D,20241015,000000,7.47,7.95,7.25,7.88,68581,0
SDST.US,D,20241016,000000,8,8,7.64,7.92,17767,0
SDST.US,D,20241017,000000,7.625,8.3,7.5,7.54,47383,0
SDST.US,D,20241018,000000,7.46,7.7,7.46,7.7,16796,0
SDST.US,D,20241021,000000,7.65,7.65,7.35,7.5,28400,0
SDST.US,D,20241022,000000,7.31,7.5099,7.21,7.39,34047,0
SDST.US,D,20241023,000000,7.54,7.575,7.2766,7.5,22636,0
SDST.US,D,20241024,000000,7.33,7.5,7.33,7.5,18210,0
SDST.US,D,20241025,000000,7.4,7.6,7.3229,7.5,7919,0
SDST.US,D,20241028,000000,7.69,7.98,7.31,7.7,27581,0
SDST.US,D,20241029,000000,7.7,7.7588,7.43,7.5,15659,0
SDST.US,D,20241030,000000,7.7262,7.75,7.35,7.65,53764,0
SDST.US,D,20241031,000000,7.6,7.62,7.48,7.56,9121,0
SDST.US,D,20241101,000000,7.6,7.85,7.3,7.44,21374,0
SDST.US,D,20241104,000000,7.44,7.7199,7.17,7.6,67940,0
SDST.US,D,20241105,000000,7.61,7.7,7.19,7.46,96227,0
SDST.US,D,20241106,000000,7.59,7.6,7.32,7.6,16458,0
SDST.US,D,20241107,000000,7.6,7.65,7.5,7.59,26670,0
SDST.US,D,20241108,000000,7.32,7.6,7.14,7.6,68832,0
SDST.US,D,20241111,000000,7.46,7.71,7.38,7.71,7753,0
SDST.US,D,20241112,000000,7.51,7.8,7.5006,7.66,8464,0
SDST.US,D,20241113,000000,7.97,7.97,7.5418,7.68,17386,0
SDST.US,D,20241114,000000,7.97,7.97,7.11,7.44,8140,0
SDST.US,D,20241115,000000,7.38,7.38,6.64,6.93,25114,0
SDST.US,D,20241118,000000,6.58,6.9611,6.58,6.81,5306,0
SDST.US,D,20241119,000000,6.8,7,6.8,6.94,17519,0
SDST.US,D,20241120,000000,7,7.35,6.665,6.74,13852,0
SDST.US,D,20241121,000000,6.96,7.4999,6.91,7.04,13994,0
SDST.US,D,20241122,000000,6.91,7,6.75,6.8,9318,0
SDST.US,D,20241125,000000,6.98,7,6.737,6.86,15347,0
SDST.US,D,20241126,000000,6.68,6.99,6.64,6.91,8315,0
SDST.US,D,20241127,000000,7,7,6.66,6.79,6370,0
SDST.US,D,20241129,000000,6.96,6.96,6.65,6.65,12790,0
SDST.US,D,20241202,000000,6.53,6.9,6.3271,6.83,27161,0
SDST.US,D,20241203,000000,6.7,6.87,6.44,6.75,18905,0
SDST.US,D,20241204,000000,6.58,6.7032,6.51,6.52,13801,0
SDST.US,D,20241205,000000,6.55,6.7606,6.5,6.65,26819,0
SDST.US,D,20241206,000000,6.53,6.91,6.41,6.88,9530,0
SDST.US,D,20241209,000000,6.8218,7.025,6.61,6.75,10721,0
SDST.US,D,20241210,000000,6.89,6.89,6.41,6.41,31373,0
SDST.US,D,20241211,000000,6.33,6.34,5.85,6.01,11484,0
SDST.US,D,20241212,000000,5.72,6.15,5.21,5.485,32819,0
SDST.US,D,20241213,000000,5.2,6.09,5.12,5.33,12922,0
SDST.US,D,20241216,000000,5.34,5.7052,5.23,5.26,14929,0
SDST.US,D,20241217,000000,5.52,5.52,4.9,4.9,25246,0
SDST.US,D,20241218,000000,5.1,5.3262,4.73,4.88,18059,0
SDST.US,D,20241219,000000,5.08,5.15,4.62,4.62,10796,0
SDST.US,D,20241220,000000,4.63,4.7911,4.13,4.5,18333,0
SDST.US,D,20241223,000000,4.3201,4.49,4.32,4.49,8384,0
SDST.US,D,20241224,000000,4.76,4.99,4.315,4.45,92877,0
SDST.US,D,20241226,000000,4.4994,4.88,4.35,4.73,32740,0
SDST.US,D,20241227,000000,4.66,4.68,4.48,4.55,16139,0
SDST.US,D,20241230,000000,5.41,5.5,4.03,4.51,1017904,0
SDST.US,D,20241231,000000,4.51,4.68,3.53,3.58,239139,0
SDST.US,D,20250102,000000,4.09,4.09,3.58,3.67,72264,0
SDST.US,D,20250103,000000,3.7,4.1999,3.501,3.69,154230,0
SDST.US,D,20250106,000000,3.61,4.01,3.57,3.88,75766,0
SDST.US,D,20250107,000000,3.88,3.98,3.75,3.79,77900,0
SDST.US,D,20250108,000000,3.79,3.795,3.55,3.55,31557,0
SDST.US,D,20250110,000000,3.76,3.76,2.94,3.23,59551,0
SDST.US,D,20250113,000000,3.16,3.23,2.64,2.69,77393,0
SDST.US,D,20250114,000000,2.65,2.69,2.3719,2.64,35298,0
