<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
TCRX.US,D,20210716,000000,12,12.32,10.5,10.5,1949799,0
TCRX.US,D,20210719,000000,10.08,10.74,10.01,10.01,144514,0
TCRX.US,D,20210720,000000,10.26,10.84,9.65,10.61,86900,0
TCRX.US,D,20210721,000000,10.9,10.9,9.65,9.86,123522,0
TCRX.US,D,20210722,000000,10.03,10.3,9.64,9.97,58031,0
TCRX.US,D,20210723,000000,10.45,10.45,9.66,10.04,92953,0
TCRX.US,D,20210726,000000,9.88,10.24,9.6,9.61,67978,0
TCRX.US,D,20210727,000000,9.61,9.97,9.3801,9.6,59835,0
TCRX.US,D,20210728,000000,9.61,9.92,9.53,9.66,57721,0
TCRX.US,D,20210729,000000,9.8,10,9.5987,9.72,58506,0
TCRX.US,D,20210730,000000,9.65,10.02,9.65,9.7,43818,0
TCRX.US,D,20210802,000000,9.81,10.2,9.72,10,102308,0
TCRX.US,D,20210803,000000,10.07,11,9.9987,10.86,64087,0
TCRX.US,D,20210804,000000,10.87,11,10.77,10.96,61756,0
TCRX.US,D,20210805,000000,10.96,11,10.65,10.75,36218,0
TCRX.US,D,20210806,000000,10.85,11,10.18,10.46,83083,0
TCRX.US,D,20210809,000000,10.53,10.6,9.95,10.15,65038,0
TCRX.US,D,20210810,000000,10.72,10.9,9.91,9.95,91950,0
TCRX.US,D,20210811,000000,9.9,10.11,9.65,9.93,39391,0
TCRX.US,D,20210812,000000,10,10.28,9.7365,10.09,15467,0
TCRX.US,D,20210813,000000,10.49,10.8386,9.95,10.32,39233,0
TCRX.US,D,20210816,000000,10.24,11.98,10.24,11.25,164850,0
TCRX.US,D,20210817,000000,11.37,12.32,11,12.08,160907,0
TCRX.US,D,20210818,000000,12.28,14.71,12.27,13.48,163406,0
TCRX.US,D,20210819,000000,13.71,13.98,10.52,10.62,113748,0
TCRX.US,D,20210820,000000,10.57,11.5,10.24,11.03,74815,0
